X (g),Y (g),Z (g),Timestamp
0.97,0.22,0.01,2025-02-11 14:47:01.516313
0.96,0.23,0.0,2025-02-11 14:47:01.545035
0.95,0.23,0.0,2025-02-11 14:47:01.545957
0.95,0.23,-0.0,2025-02-11 14:47:01.548051
0.95,0.23,-0.0,2025-02-11 14:47:01.559609
0.95,0.22,-0.0,2025-02-11 14:47:01.574779
0.95,0.22,-0.0,2025-02-11 14:47:01.575691
0.95,0.22,-0.0,2025-02-11 14:47:01.589574
0.96,0.23,0.0,2025-02-11 14:47:01.590707
0.96,0.22,0.0,2025-02-11 14:47:01.604748
0.96,0.22,0.0,2025-02-11 14:47:01.619595
0.96,0.22,0.0,2025-02-11 14:47:01.620702
0.96,0.21,0.0,2025-02-11 14:47:01.621885
0.96,0.22,0.0,2025-02-11 14:47:01.634723
0.96,0.23,0.0,2025-02-11 14:47:01.649742
0.96,0.23,0.01,2025-02-11 14:47:01.650951
0.96,0.23,0.01,2025-02-11 14:47:01.664864
0.96,0.23,0.01,2025-02-11 14:47:01.679643
0.96,0.23,0.0,2025-02-11 14:47:01.680768
0.96,0.21,0.0,2025-02-11 14:47:01.694533
0.96,0.25,-0.0,2025-02-11 14:47:01.709649
0.97,0.21,0.0,2025-02-11 14:47:01.710520
0.96,0.22,0.01,2025-02-11 14:47:01.711922
0.98,0.21,0.01,2025-02-11 14:47:01.739537
0.97,0.21,0.01,2025-02-11 14:47:01.754569
0.98,0.21,0.01,2025-02-11 14:47:01.755542
0.97,0.21,0.01,2025-02-11 14:47:01.756746
0.97,0.19,0.01,2025-02-11 14:47:01.758604
0.96,0.2,0.01,2025-02-11 14:47:01.769620
0.96,0.2,0.01,2025-02-11 14:47:01.784620
0.95,0.2,0.01,2025-02-11 14:47:01.799630
0.94,0.2,0.01,2025-02-11 14:47:01.800632
0.94,0.2,0.01,2025-02-11 14:47:01.802469
0.94,0.2,0.01,2025-02-11 14:47:01.814559
0.94,0.2,0.01,2025-02-11 14:47:01.829748
0.95,0.2,0.01,2025-02-11 14:47:01.830719
0.96,0.2,0.01,2025-02-11 14:47:01.845011
0.97,0.19,0.01,2025-02-11 14:47:01.846090
0.97,0.19,0.01,2025-02-11 14:47:01.859569
0.98,0.18,0.01,2025-02-11 14:47:01.874554
0.98,0.17,0.0,2025-02-11 14:47:01.888824
0.98,0.17,0.01,2025-02-11 14:47:01.889907
0.98,0.16,0.01,2025-02-11 14:47:01.891814
0.98,0.16,0.01,2025-02-11 14:47:01.904556
0.98,0.16,0.01,2025-02-11 14:47:01.905735
0.98,0.16,0.01,2025-02-11 14:47:01.920802
0.98,0.16,0.01,2025-02-11 14:47:01.934596
0.98,0.17,0.01,2025-02-11 14:47:01.964047
0.98,0.17,0.01,2025-02-11 14:47:01.964980
0.97,0.18,0.0,2025-02-11 14:47:01.980018
0.97,0.18,0.0,2025-02-11 14:47:01.980935
0.97,0.19,0.0,2025-02-11 14:47:01.981782
0.97,0.19,0.01,2025-02-11 14:47:01.983248
0.96,0.19,0.01,2025-02-11 14:47:01.994997
0.96,0.18,0.01,2025-02-11 14:47:02.009596
0.96,0.18,0.01,2025-02-11 14:47:02.009993
0.97,0.18,0.01,2025-02-11 14:47:02.011970
0.97,0.17,0.01,2025-02-11 14:47:02.024756
0.97,0.16,0.01,2025-02-11 14:47:02.039766
0.96,0.15,0.01,2025-02-11 14:47:02.040887
0.96,0.15,0.0,2025-02-11 14:47:02.069521
0.96,0.15,0.01,2025-02-11 14:47:02.070579
