X (g),Y (g),Z (g),Timestamp
0.95,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.08,0.26,2025-02-11 11:06:33
0.94,-0.08,0.26,2025-02-11 11:06:33
0.94,-0.07,0.25,2025-02-11 11:06:33
0.94,-0.07,0.26,2025-02-11 11:06:33
0.94,-0.07,0.26,2025-02-11 11:06:33
0.94,-0.07,0.26,2025-02-11 11:06:33
0.94,-0.07,0.27,2025-02-11 11:06:33
0.95,-0.07,0.27,2025-02-11 11:06:33
0.95,-0.07,0.27,2025-02-11 11:06:33
0.95,-0.08,0.27,2025-02-11 11:06:33
0.95,-0.08,0.27,2025-02-11 11:06:33
0.95,-0.09,0.27,2025-02-11 11:06:33
0.95,-0.09,0.27,2025-02-11 11:06:33
0.95,-0.08,0.27,2025-02-11 11:06:33
0.95,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.08,0.27,2025-02-11 11:06:33
0.93,-0.08,0.27,2025-02-11 11:06:33
0.93,-0.08,0.27,2025-02-11 11:06:33
0.93,-0.08,0.27,2025-02-11 11:06:33
0.94,-0.09,0.27,2025-02-11 11:06:33
0.94,-0.09,0.27,2025-02-11 11:06:33
0.95,-0.09,0.28,2025-02-11 11:06:33
0.95,-0.09,0.28,2025-02-11 11:06:33
0.94,-0.09,0.28,2025-02-11 11:06:33
0.94,-0.09,0.28,2025-02-11 11:06:33
0.94,-0.08,0.28,2025-02-11 11:06:33
0.95,-0.08,0.29,2025-02-11 11:06:33
0.95,-0.08,0.29,2025-02-11 11:06:33
0.95,-0.08,0.3,2025-02-11 11:06:33
0.95,-0.07,0.3,2025-02-11 11:06:33
0.95,-0.07,0.3,2025-02-11 11:06:33
0.95,-0.07,0.3,2025-02-11 11:06:33
0.95,-0.08,0.31,2025-02-11 11:06:33
0.95,-0.07,0.31,2025-02-11 11:06:33
0.95,-0.08,0.31,2025-02-11 11:06:33
0.94,-0.08,0.3,2025-02-11 11:06:34
0.94,-0.09,0.3,2025-02-11 11:06:34
0.93,-0.09,0.29,2025-02-11 11:06:34
0.93,-0.09,0.28,2025-02-11 11:06:34
0.92,-0.1,0.26,2025-02-11 11:06:34
0.92,-0.1,0.26,2025-02-11 11:06:34
0.92,-0.1,0.26,2025-02-11 11:06:34
0.92,-0.1,0.26,2025-02-11 11:06:34
0.92,-0.1,0.27,2025-02-11 11:06:34
0.93,-0.09,0.27,2025-02-11 11:06:34
0.93,-0.09,0.27,2025-02-11 11:06:34
0.93,-0.09,0.28,2025-02-11 11:06:34
0.94,-0.09,0.29,2025-02-11 11:06:34
0.94,-0.09,0.29,2025-02-11 11:06:34
0.94,-0.1,0.29,2025-02-11 11:06:34
0.95,-0.09,0.29,2025-02-11 11:06:34
0.95,-0.09,0.3,2025-02-11 11:06:34
0.95,-0.09,0.3,2025-02-11 11:06:34
0.95,-0.08,0.3,2025-02-11 11:06:34
0.95,-0.08,0.29,2025-02-11 11:06:34
0.95,-0.08,0.29,2025-02-11 11:06:34
0.95,-0.08,0.29,2025-02-11 11:06:34
0.94,-0.07,0.28,2025-02-11 11:06:34
0.93,-0.07,0.28,2025-02-11 11:06:34
0.94,-0.07,0.28,2025-02-11 11:06:34
0.93,-0.07,0.28,2025-02-11 11:06:34
0.94,-0.06,0.27,2025-02-11 11:06:34
0.94,-0.06,0.27,2025-02-11 11:06:34
0.94,-0.05,0.28,2025-02-11 11:06:34
0.94,-0.05,0.28,2025-02-11 11:06:34
0.94,-0.04,0.28,2025-02-11 11:06:34
0.94,-0.05,0.28,2025-02-11 11:06:34
0.94,-0.05,0.28,2025-02-11 11:06:34
0.93,-0.05,0.29,2025-02-11 11:06:34
0.93,-0.05,0.29,2025-02-11 11:06:34
0.92,-0.05,0.29,2025-02-11 11:06:34
0.92,-0.04,0.3,2025-02-11 11:06:34
0.92,-0.04,0.3,2025-02-11 11:06:34
0.93,-0.03,0.31,2025-02-11 11:06:34
0.94,-0.02,0.32,2025-02-11 11:06:34
0.95,-0.01,0.34,2025-02-11 11:06:34
0.94,-0.0,0.35,2025-02-11 11:06:34
0.92,0.01,0.35,2025-02-11 11:06:34
0.91,-0.0,0.32,2025-02-11 11:06:34
0.92,-0.03,0.3,2025-02-11 11:06:34
0.93,-0.06,0.27,2025-02-11 11:06:34
0.93,-0.09,0.25,2025-02-11 11:06:34
0.95,-0.11,0.23,2025-02-11 11:06:34
0.96,-0.13,0.24,2025-02-11 11:06:34
0.97,-0.14,0.25,2025-02-11 11:06:34
0.97,-0.13,0.26,2025-02-11 11:06:34
0.96,-0.14,0.27,2025-02-11 11:06:34
0.96,-0.13,0.27,2025-02-11 11:06:34
0.95,-0.13,0.27,2025-02-11 11:06:34
0.92,-0.11,0.27,2025-02-11 11:06:34
0.91,-0.09,0.26,2025-02-11 11:06:34
0.87,-0.07,0.26,2025-02-11 11:06:34
0.85,-0.04,0.25,2025-02-11 11:06:34
0.83,-0.04,0.24,2025-02-11 11:06:34
0.82,-0.02,0.24,2025-02-11 11:06:34
0.79,0.02,0.23,2025-02-11 11:06:34
0.78,0.02,0.23,2025-02-11 11:06:34
0.79,-0.0,0.23,2025-02-11 11:06:34
0.81,-0.02,0.23,2025-02-11 11:06:34
0.83,-0.06,0.24,2025-02-11 11:06:34
0.85,-0.08,0.25,2025-02-11 11:06:34
0.88,-0.12,0.26,2025-02-11 11:06:34
0.9,-0.15,0.29,2025-02-11 11:06:34
0.92,-0.2,0.3,2025-02-11 11:06:34
0.95,-0.21,0.31,2025-02-11 11:06:34
0.94,-0.22,0.33,2025-02-11 11:06:34
0.95,-0.25,0.33,2025-02-11 11:06:34
0.95,-0.23,0.33,2025-02-11 11:06:34
0.95,-0.24,0.32,2025-02-11 11:06:34
0.96,-0.22,0.31,2025-02-11 11:06:34
0.97,-0.2,0.32,2025-02-11 11:06:34
0.97,-0.19,0.32,2025-02-11 11:06:34
0.97,-0.18,0.32,2025-02-11 11:06:34
0.97,-0.17,0.32,2025-02-11 11:06:34
0.97,-0.15,0.33,2025-02-11 11:06:34
0.96,-0.13,0.33,2025-02-11 11:06:34
0.95,-0.11,0.32,2025-02-11 11:06:34
0.94,-0.09,0.32,2025-02-11 11:06:34
0.93,-0.08,0.31,2025-02-11 11:06:34
0.92,-0.06,0.31,2025-02-11 11:06:34
0.93,-0.06,0.3,2025-02-11 11:06:34
0.92,-0.06,0.31,2025-02-11 11:06:34
0.93,-0.06,0.31,2025-02-11 11:06:34
0.94,-0.09,0.32,2025-02-11 11:06:34
0.94,-0.09,0.32,2025-02-11 11:06:34
0.94,-0.12,0.32,2025-02-11 11:06:34
0.94,-0.12,0.32,2025-02-11 11:06:34
0.95,-0.14,0.32,2025-02-11 11:06:34
0.93,-0.14,0.33,2025-02-11 11:06:34
0.92,-0.13,0.34,2025-02-11 11:06:34
0.92,-0.13,0.34,2025-02-11 11:06:34
0.91,-0.13,0.35,2025-02-11 11:06:34
0.93,-0.11,0.36,2025-02-11 11:06:34
0.91,-0.11,0.37,2025-02-11 11:06:34
0.94,-0.11,0.38,2025-02-11 11:06:34
0.95,-0.1,0.39,2025-02-11 11:06:34
0.96,-0.11,0.4,2025-02-11 11:06:34
0.96,-0.12,0.4,2025-02-11 11:06:34
0.95,-0.13,0.4,2025-02-11 11:06:34
0.96,-0.13,0.4,2025-02-11 11:06:34
0.94,-0.14,0.4,2025-02-11 11:06:34
0.94,-0.13,0.4,2025-02-11 11:06:34
0.94,-0.11,0.4,2025-02-11 11:06:34
0.94,-0.1,0.41,2025-02-11 11:06:34
0.94,-0.09,0.41,2025-02-11 11:06:34
0.95,-0.1,0.4,2025-02-11 11:06:34
0.96,-0.09,0.4,2025-02-11 11:06:34
0.96,-0.11,0.4,2025-02-11 11:06:34
0.98,-0.1,0.4,2025-02-11 11:06:34
0.99,-0.11,0.39,2025-02-11 11:06:35
1.02,-0.11,0.39,2025-02-11 11:06:35
1.03,-0.1,0.38,2025-02-11 11:06:35
1.03,-0.09,0.38,2025-02-11 11:06:35
1.1,-0.06,0.36,2025-02-11 11:06:35
1.14,-0.07,0.3,2025-02-11 11:06:35
1.11,-0.05,0.21,2025-02-11 11:06:35
1.16,-0.0,0.11,2025-02-11 11:06:35
1.2,-0.02,0.1,2025-02-11 11:06:35
1.22,-0.04,0.09,2025-02-11 11:06:35
1.21,-0.03,0.1,2025-02-11 11:06:35
1.2,-0.04,0.1,2025-02-11 11:06:35
1.17,-0.03,0.11,2025-02-11 11:06:35
1.12,-0.03,0.12,2025-02-11 11:06:35
1.07,-0.02,0.11,2025-02-11 11:06:35
1.03,-0.0,0.11,2025-02-11 11:06:35
0.99,-0.02,0.09,2025-02-11 11:06:35
0.95,-0.02,0.09,2025-02-11 11:06:35
0.95,-0.03,0.08,2025-02-11 11:06:35
0.93,-0.02,0.08,2025-02-11 11:06:35
0.92,-0.05,0.08,2025-02-11 11:06:35
0.94,-0.03,0.08,2025-02-11 11:06:35
0.93,-0.05,0.08,2025-02-11 11:06:35
0.97,-0.05,0.08,2025-02-11 11:06:35
0.97,-0.06,0.09,2025-02-11 11:06:35
0.98,-0.06,0.1,2025-02-11 11:06:35
0.98,-0.06,0.1,2025-02-11 11:06:35
0.96,-0.06,0.11,2025-02-11 11:06:35
0.95,-0.04,0.13,2025-02-11 11:06:35
0.91,-0.04,0.14,2025-02-11 11:06:35
0.88,-0.02,0.15,2025-02-11 11:06:35
0.85,-0.03,0.16,2025-02-11 11:06:35
0.82,-0.02,0.16,2025-02-11 11:06:35
0.79,-0.03,0.15,2025-02-11 11:06:35
0.75,-0.03,0.16,2025-02-11 11:06:35
0.73,-0.05,0.17,2025-02-11 11:06:35
0.7,-0.04,0.16,2025-02-11 11:06:35
0.68,-0.04,0.16,2025-02-11 11:06:35
0.67,-0.04,0.16,2025-02-11 11:06:35
0.67,-0.04,0.16,2025-02-11 11:06:35
0.66,-0.03,0.16,2025-02-11 11:06:35
0.67,-0.04,0.16,2025-02-11 11:06:35
0.67,-0.04,0.17,2025-02-11 11:06:35
0.68,-0.04,0.17,2025-02-11 11:06:35
0.69,-0.04,0.17,2025-02-11 11:06:35
0.71,-0.04,0.18,2025-02-11 11:06:35
0.73,-0.04,0.19,2025-02-11 11:06:35
0.75,-0.05,0.21,2025-02-11 11:06:35
0.77,-0.04,0.24,2025-02-11 11:06:35
0.79,-0.04,0.26,2025-02-11 11:06:35
0.81,-0.05,0.27,2025-02-11 11:06:35
0.82,-0.05,0.28,2025-02-11 11:06:35
0.83,-0.05,0.28,2025-02-11 11:06:35
0.84,-0.06,0.29,2025-02-11 11:06:35
0.87,-0.06,0.3,2025-02-11 11:06:35
0.84,-0.08,0.32,2025-02-11 11:06:35
0.86,-0.08,0.34,2025-02-11 11:06:35
0.87,-0.05,0.37,2025-02-11 11:06:35
0.88,-0.03,0.38,2025-02-11 11:06:35
0.9,-0.03,0.39,2025-02-11 11:06:35
0.92,-0.01,0.41,2025-02-11 11:06:35
0.95,-0.0,0.43,2025-02-11 11:06:35
0.97,0.01,0.45,2025-02-11 11:06:35
0.99,0.01,0.45,2025-02-11 11:06:35
1.0,0.02,0.45,2025-02-11 11:06:35
1.0,0.01,0.45,2025-02-11 11:06:35
1.0,0.0,0.44,2025-02-11 11:06:35
1.0,-0.02,0.42,2025-02-11 11:06:35
1.01,-0.04,0.41,2025-02-11 11:06:35
1.01,-0.05,0.42,2025-02-11 11:06:35
1.01,-0.06,0.42,2025-02-11 11:06:35
1.0,-0.07,0.43,2025-02-11 11:06:35
1.0,-0.07,0.43,2025-02-11 11:06:35
1.0,-0.07,0.43,2025-02-11 11:06:35
1.03,-0.08,0.42,2025-02-11 11:06:35
1.05,-0.08,0.42,2025-02-11 11:06:35
1.08,-0.09,0.42,2025-02-11 11:06:35
1.1,-0.11,0.42,2025-02-11 11:06:35
1.12,-0.12,0.42,2025-02-11 11:06:35
1.15,-0.14,0.42,2025-02-11 11:06:35
1.18,-0.16,0.42,2025-02-11 11:06:35
1.2,-0.18,0.42,2025-02-11 11:06:35
1.2,-0.19,0.42,2025-02-11 11:06:35
1.2,-0.2,0.43,2025-02-11 11:06:35
1.18,-0.21,0.43,2025-02-11 11:06:35
1.16,-0.22,0.43,2025-02-11 11:06:35
1.14,-0.23,0.42,2025-02-11 11:06:35
1.13,-0.23,0.4,2025-02-11 11:06:35
1.13,-0.23,0.38,2025-02-11 11:06:35
1.12,-0.23,0.36,2025-02-11 11:06:35
1.12,-0.22,0.33,2025-02-11 11:06:35
1.13,-0.21,0.32,2025-02-11 11:06:35
1.13,-0.2,0.3,2025-02-11 11:06:35
1.14,-0.19,0.29,2025-02-11 11:06:35
1.14,-0.19,0.28,2025-02-11 11:06:35
1.15,-0.19,0.27,2025-02-11 11:06:35
1.14,-0.17,0.26,2025-02-11 11:06:35
1.12,-0.17,0.25,2025-02-11 11:06:35
1.1,-0.17,0.24,2025-02-11 11:06:35
1.07,-0.17,0.23,2025-02-11 11:06:35
0.95,-0.15,0.2,2025-02-11 11:06:35
0.91,-0.14,0.19,2025-02-11 11:06:36
0.88,-0.14,0.19,2025-02-11 11:06:36
0.85,-0.15,0.18,2025-02-11 11:06:36
0.82,-0.15,0.17,2025-02-11 11:06:36
0.8,-0.13,0.16,2025-02-11 11:06:36
0.8,-0.13,0.15,2025-02-11 11:06:36
0.78,-0.15,0.14,2025-02-11 11:06:36
0.78,-0.14,0.14,2025-02-11 11:06:36
0.78,-0.15,0.14,2025-02-11 11:06:36
0.78,-0.16,0.13,2025-02-11 11:06:36
0.78,-0.15,0.13,2025-02-11 11:06:36
0.78,-0.15,0.12,2025-02-11 11:06:36
0.77,-0.14,0.12,2025-02-11 11:06:36
0.77,-0.14,0.12,2025-02-11 11:06:36
0.77,-0.13,0.12,2025-02-11 11:06:36
0.76,-0.13,0.13,2025-02-11 11:06:36
0.76,-0.12,0.14,2025-02-11 11:06:36
0.75,-0.12,0.15,2025-02-11 11:06:36
0.74,-0.1,0.17,2025-02-11 11:06:36
0.73,-0.1,0.19,2025-02-11 11:06:36
0.73,-0.09,0.19,2025-02-11 11:06:36
0.74,-0.08,0.18,2025-02-11 11:06:36
0.75,-0.07,0.18,2025-02-11 11:06:36
0.76,-0.06,0.18,2025-02-11 11:06:36
0.78,-0.05,0.19,2025-02-11 11:06:36
