X (g),Y (g),Z (g),Timestamp
0.95,-0.09,0.26,2025-02-11 11:07:44
0.95,-0.08,0.25,2025-02-11 11:07:44
0.95,-0.08,0.25,2025-02-11 11:07:44
0.95,-0.09,0.25,2025-02-11 11:07:44
0.95,-0.09,0.24,2025-02-11 11:07:44
0.94,-0.09,0.24,2025-02-11 11:07:44
0.94,-0.09,0.23,2025-02-11 11:07:44
0.94,-0.09,0.22,2025-02-11 11:07:44
0.94,-0.1,0.22,2025-02-11 11:07:44
0.95,-0.1,0.21,2025-02-11 11:07:44
0.94,-0.1,0.21,2025-02-11 11:07:44
0.94,-0.1,0.21,2025-02-11 11:07:44
0.94,-0.1,0.22,2025-02-11 11:07:44
0.94,-0.1,0.22,2025-02-11 11:07:44
0.94,-0.1,0.22,2025-02-11 11:07:44
0.95,-0.09,0.22,2025-02-11 11:07:44
0.95,-0.07,0.23,2025-02-11 11:07:44
0.95,-0.06,0.25,2025-02-11 11:07:44
0.95,-0.07,0.24,2025-02-11 11:07:44
0.96,-0.08,0.24,2025-02-11 11:07:44
0.96,-0.08,0.24,2025-02-11 11:07:44
0.96,-0.08,0.24,2025-02-11 11:07:44
0.96,-0.08,0.24,2025-02-11 11:07:44
0.97,-0.06,0.24,2025-02-11 11:07:44
0.96,-0.05,0.25,2025-02-11 11:07:44
0.96,-0.05,0.25,2025-02-11 11:07:44
0.96,-0.04,0.25,2025-02-11 11:07:44
0.96,-0.05,0.26,2025-02-11 11:07:44
0.96,-0.04,0.26,2025-02-11 11:07:44
0.96,-0.04,0.25,2025-02-11 11:07:44
0.96,-0.05,0.25,2025-02-11 11:07:44
0.95,-0.05,0.25,2025-02-11 11:07:44
0.95,-0.05,0.25,2025-02-11 11:07:44
0.95,-0.06,0.24,2025-02-11 11:07:44
0.94,-0.06,0.23,2025-02-11 11:07:44
0.94,-0.06,0.23,2025-02-11 11:07:44
0.94,-0.06,0.23,2025-02-11 11:07:44
0.94,-0.06,0.22,2025-02-11 11:07:44
0.94,-0.06,0.22,2025-02-11 11:07:44
0.94,-0.06,0.22,2025-02-11 11:07:44
0.94,-0.06,0.22,2025-02-11 11:07:44
0.95,-0.06,0.23,2025-02-11 11:07:44
0.95,-0.06,0.23,2025-02-11 11:07:44
0.95,-0.07,0.24,2025-02-11 11:07:44
0.96,-0.08,0.26,2025-02-11 11:07:44
0.95,-0.07,0.26,2025-02-11 11:07:44
0.95,-0.05,0.26,2025-02-11 11:07:44
0.95,-0.05,0.26,2025-02-11 11:07:44
0.94,-0.05,0.27,2025-02-11 11:07:44
0.94,-0.05,0.26,2025-02-11 11:07:44
0.94,-0.05,0.26,2025-02-11 11:07:44
0.94,-0.06,0.26,2025-02-11 11:07:45
0.94,-0.06,0.25,2025-02-11 11:07:45
0.94,-0.07,0.25,2025-02-11 11:07:45
0.94,-0.07,0.24,2025-02-11 11:07:45
0.94,-0.08,0.24,2025-02-11 11:07:45
0.94,-0.08,0.24,2025-02-11 11:07:45
0.95,-0.09,0.24,2025-02-11 11:07:45
0.95,-0.09,0.24,2025-02-11 11:07:45
0.95,-0.09,0.24,2025-02-11 11:07:45
0.95,-0.09,0.24,2025-02-11 11:07:45
0.95,-0.09,0.25,2025-02-11 11:07:45
0.95,-0.09,0.25,2025-02-11 11:07:45
0.95,-0.08,0.25,2025-02-11 11:07:45
0.95,-0.08,0.25,2025-02-11 11:07:45
0.94,-0.08,0.25,2025-02-11 11:07:45
