X (g),Y (g),Z (g),Timestamp
0.96,-0.18,0.11,2025-02-11 14:55:20.065960
0.96,-0.2,0.12,2025-02-11 14:55:20.080280
0.97,-0.21,0.12,2025-02-11 14:55:20.098781
0.96,-0.2,0.13,2025-02-11 14:55:20.098901
0.97,-0.2,0.14,2025-02-11 14:55:20.098987
0.97,-0.18,0.14,2025-02-11 14:55:20.113647
0.98,-0.18,0.14,2025-02-11 14:55:20.125331
0.97,-0.17,0.15,2025-02-11 14:55:20.126071
0.97,-0.16,0.15,2025-02-11 14:55:20.139723
0.97,-0.16,0.15,2025-02-11 14:55:20.140789
0.97,-0.16,0.15,2025-02-11 14:55:20.154759
0.97,-0.15,0.15,2025-02-11 14:55:20.169160
0.96,-0.15,0.15,2025-02-11 14:55:20.199810
0.96,-0.15,0.14,2025-02-11 14:55:20.200687
0.96,-0.15,0.14,2025-02-11 14:55:20.202491
0.97,-0.18,0.14,2025-02-11 14:55:20.214841
0.97,-0.18,0.14,2025-02-11 14:55:20.245029
0.97,-0.19,0.14,2025-02-11 14:55:20.304157
0.96,-0.19,0.14,2025-02-11 14:55:20.305107
0.96,-0.2,0.13,2025-02-11 14:55:20.306305
0.96,-0.21,0.13,2025-02-11 14:55:20.308243
0.96,-0.21,0.12,2025-02-11 14:55:20.319797
0.96,-0.21,0.1,2025-02-11 14:55:20.320903
0.96,-0.21,0.12,2025-02-11 14:55:20.335042
0.96,-0.2,0.12,2025-02-11 14:55:20.335889
0.96,-0.2,0.12,2025-02-11 14:55:20.349797
0.96,-0.2,0.12,2025-02-11 14:55:20.364844
0.96,-0.2,0.12,2025-02-11 14:55:20.366021
0.97,-0.2,0.13,2025-02-11 14:55:20.395141
0.97,-0.2,0.13,2025-02-11 14:55:20.396051
0.97,-0.2,0.13,2025-02-11 14:55:20.396940
0.97,-0.2,0.13,2025-02-11 14:55:20.410130
0.96,-0.21,0.12,2025-02-11 14:55:20.411269
0.97,-0.21,0.12,2025-02-11 14:55:20.425050
0.97,-0.22,0.12,2025-02-11 14:55:20.454684
0.97,-0.22,0.12,2025-02-11 14:55:20.455670
0.97,-0.22,0.13,2025-02-11 14:55:20.456867
0.97,-0.21,0.13,2025-02-11 14:55:20.458844
0.97,-0.21,0.13,2025-02-11 14:55:20.469830
0.97,-0.21,0.14,2025-02-11 14:55:20.484987
0.97,-0.2,0.14,2025-02-11 14:55:20.485949
0.96,-0.2,0.13,2025-02-11 14:55:20.500011
0.96,-0.2,0.14,2025-02-11 14:55:20.514826
0.96,-0.19,0.14,2025-02-11 14:55:20.515999
0.95,-0.19,0.14,2025-02-11 14:55:20.530168
0.95,-0.18,0.14,2025-02-11 14:55:20.545201
0.95,-0.17,0.15,2025-02-11 14:55:20.546207
0.95,-0.17,0.15,2025-02-11 14:55:20.547660
0.95,-0.17,0.16,2025-02-11 14:55:20.620376
0.95,-0.16,0.17,2025-02-11 14:55:20.621209
0.96,-0.16,0.17,2025-02-11 14:55:20.622312
0.96,-0.17,0.17,2025-02-11 14:55:20.624178
0.96,-0.19,0.15,2025-02-11 14:55:20.635012
0.96,-0.2,0.16,2025-02-11 14:55:20.635928
0.96,-0.18,0.16,2025-02-11 14:55:20.649780
0.96,-0.17,0.16,2025-02-11 14:55:20.650841
0.95,-0.17,0.15,2025-02-11 14:55:20.664995
0.95,-0.18,0.15,2025-02-11 14:55:20.680052
0.94,-0.18,0.15,2025-02-11 14:55:20.680883
0.95,-0.19,0.15,2025-02-11 14:55:20.695020
0.94,-0.19,0.16,2025-02-11 14:55:20.710152
0.94,-0.2,0.16,2025-02-11 14:55:20.724086
0.95,-0.2,0.16,2025-02-11 14:55:20.725010
0.94,-0.19,0.15,2025-02-11 14:55:20.726207
0.94,-0.21,0.14,2025-02-11 14:55:20.727711
0.94,-0.23,0.13,2025-02-11 14:55:20.754909
0.94,-0.22,0.13,2025-02-11 14:55:20.755748
0.94,-0.22,0.12,2025-02-11 14:55:20.757535
0.94,-0.21,0.12,2025-02-11 14:55:20.769865
0.94,-0.21,0.12,2025-02-11 14:55:20.784843
0.94,-0.19,0.12,2025-02-11 14:55:20.785873
0.94,-0.18,0.12,2025-02-11 14:55:20.799907
0.94,-0.18,0.11,2025-02-11 14:55:20.800989
0.95,-0.19,0.1,2025-02-11 14:55:20.815072
0.95,-0.21,0.1,2025-02-11 14:55:20.815979
0.95,-0.21,0.1,2025-02-11 14:55:20.845166
0.95,-0.21,0.11,2025-02-11 14:55:20.846188
0.94,-0.21,0.11,2025-02-11 14:55:20.846941
0.95,-0.21,0.12,2025-02-11 14:55:20.848835
0.95,-0.2,0.12,2025-02-11 14:55:20.889839
0.95,-0.22,0.12,2025-02-11 14:55:20.904875
0.95,-0.21,0.13,2025-02-11 14:55:20.905774
0.95,-0.2,0.12,2025-02-11 14:55:20.907022
0.95,-0.2,0.11,2025-02-11 14:55:20.919163
0.95,-0.19,0.11,2025-02-11 14:55:20.920113
0.95,-0.19,0.11,2025-02-11 14:55:20.921949
0.95,-0.19,0.12,2025-02-11 14:55:20.934837
0.95,-0.17,0.13,2025-02-11 14:55:20.949853
0.95,-0.17,0.13,2025-02-11 14:55:20.964938
0.95,-0.17,0.15,2025-02-11 14:55:20.979532
0.95,-0.18,0.16,2025-02-11 14:55:20.980523
0.95,-0.18,0.17,2025-02-11 14:55:20.981571
0.95,-0.18,0.17,2025-02-11 14:55:21.009790
0.96,-0.19,0.18,2025-02-11 14:55:21.010729
0.96,-0.2,0.18,2025-02-11 14:55:21.012481
0.96,-0.19,0.18,2025-02-11 14:55:21.025172
0.95,-0.18,0.17,2025-02-11 14:55:21.040123
0.96,-0.18,0.17,2025-02-11 14:55:21.041083
0.96,-0.18,0.17,2025-02-11 14:55:21.043045
0.96,-0.18,0.16,2025-02-11 14:55:21.054755
0.95,-0.17,0.16,2025-02-11 14:55:21.055841
0.95,-0.17,0.16,2025-02-11 14:55:21.069842
0.95,-0.17,0.15,2025-02-11 14:55:21.084766
0.95,-0.18,0.16,2025-02-11 14:55:21.099943
0.95,-0.17,0.16,2025-02-11 14:55:21.100965
0.95,-0.16,0.16,2025-02-11 14:55:21.144674
0.95,-0.15,0.16,2025-02-11 14:55:21.145484
0.94,-0.14,0.16,2025-02-11 14:55:21.146599
0.94,-0.15,0.16,2025-02-11 14:55:21.147777
0.93,-0.15,0.14,2025-02-11 14:55:21.150231
0.93,-0.16,0.14,2025-02-11 14:55:21.159875
0.92,-0.17,0.13,2025-02-11 14:55:21.174925
0.92,-0.17,0.12,2025-02-11 14:55:21.189813
0.93,-0.19,0.12,2025-02-11 14:55:21.190920
0.93,-0.19,0.11,2025-02-11 14:55:21.204754
0.93,-0.2,0.1,2025-02-11 14:55:21.206145
0.94,-0.21,0.1,2025-02-11 14:55:21.265227
0.94,-0.21,0.11,2025-02-11 14:55:21.279785
0.94,-0.21,0.1,2025-02-11 14:55:21.310139
0.94,-0.2,0.1,2025-02-11 14:55:21.311086
0.92,-0.19,0.12,2025-02-11 14:55:21.312338
0.92,-0.21,0.13,2025-02-11 14:55:21.313740
0.92,-0.23,0.15,2025-02-11 14:55:21.324898
0.91,-0.25,0.18,2025-02-11 14:55:21.339823
0.9,-0.27,0.19,2025-02-11 14:55:21.341155
0.9,-0.27,0.18,2025-02-11 14:55:21.354849
0.9,-0.27,0.18,2025-02-11 14:55:21.355918
0.91,-0.27,0.17,2025-02-11 14:55:21.369850
0.92,-0.27,0.17,2025-02-11 14:55:21.370847
0.94,-0.28,0.17,2025-02-11 14:55:21.399808
0.96,-0.27,0.17,2025-02-11 14:55:21.414519
0.98,-0.28,0.17,2025-02-11 14:55:21.415157
1.0,-0.28,0.17,2025-02-11 14:55:21.416962
1.01,-0.28,0.19,2025-02-11 14:55:21.429893
1.02,-0.28,0.21,2025-02-11 14:55:21.430936
1.01,-0.29,0.23,2025-02-11 14:55:21.459871
