X (g),Y (g),Z (g),Timestamp
0.96,-0.22,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.22,0.17,2025-02-11 10:51:18
0.95,-0.22,0.17,2025-02-11 10:51:18
0.95,-0.22,0.16,2025-02-11 10:51:18
0.95,-0.22,0.16,2025-02-11 10:51:18
0.95,-0.23,0.15,2025-02-11 10:51:18
0.95,-0.23,0.15,2025-02-11 10:51:18
0.94,-0.23,0.15,2025-02-11 10:51:18
0.94,-0.23,0.16,2025-02-11 10:51:18
0.94,-0.23,0.16,2025-02-11 10:51:18
0.94,-0.23,0.16,2025-02-11 10:51:18
0.94,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.24,0.16,2025-02-11 10:51:18
0.95,-0.24,0.17,2025-02-11 10:51:18
0.95,-0.24,0.17,2025-02-11 10:51:18
0.95,-0.24,0.17,2025-02-11 10:51:18
0.96,-0.24,0.17,2025-02-11 10:51:18
0.96,-0.24,0.17,2025-02-11 10:51:18
0.95,-0.24,0.17,2025-02-11 10:51:18
0.96,-0.24,0.17,2025-02-11 10:51:18
0.96,-0.24,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.94,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.17,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.24,0.16,2025-02-11 10:51:18
0.95,-0.24,0.16,2025-02-11 10:51:18
0.95,-0.24,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.96,-0.23,0.15,2025-02-11 10:51:18
0.96,-0.24,0.15,2025-02-11 10:51:18
0.96,-0.24,0.15,2025-02-11 10:51:18
0.95,-0.24,0.15,2025-02-11 10:51:18
0.94,-0.24,0.15,2025-02-11 10:51:18
0.94,-0.24,0.15,2025-02-11 10:51:18
0.94,-0.23,0.15,2025-02-11 10:51:18
0.94,-0.23,0.15,2025-02-11 10:51:18
0.94,-0.22,0.15,2025-02-11 10:51:18
0.95,-0.22,0.16,2025-02-11 10:51:18
0.95,-0.22,0.16,2025-02-11 10:51:18
0.95,-0.22,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:18
0.95,-0.23,0.16,2025-02-11 10:51:19
0.96,-0.23,0.16,2025-02-11 10:51:19
0.96,-0.23,0.16,2025-02-11 10:51:19
0.97,-0.23,0.16,2025-02-11 10:51:19
0.97,-0.24,0.16,2025-02-11 10:51:19
0.97,-0.24,0.16,2025-02-11 10:51:19
0.98,-0.24,0.15,2025-02-11 10:51:19
0.99,-0.24,0.15,2025-02-11 10:51:19
1.0,-0.23,0.16,2025-02-11 10:51:19
1.0,-0.23,0.16,2025-02-11 10:51:19
1.01,-0.23,0.16,2025-02-11 10:51:19
1.01,-0.24,0.15,2025-02-11 10:51:19
1.01,-0.24,0.16,2025-02-11 10:51:19
0.99,-0.24,0.16,2025-02-11 10:51:19
0.98,-0.23,0.16,2025-02-11 10:51:19
0.97,-0.23,0.16,2025-02-11 10:51:19
