X (g),Y (g),Z (g),Timestamp
0.9,-0.01,0.24,2025-02-11 11:14:24
0.89,-0.02,0.24,2025-02-11 11:14:24
0.88,-0.02,0.23,2025-02-11 11:14:24
0.89,-0.03,0.22,2025-02-11 11:14:24
0.9,-0.02,0.21,2025-02-11 11:14:24
0.92,-0.02,0.22,2025-02-11 11:14:24
0.93,-0.01,0.22,2025-02-11 11:14:24
0.93,-0.02,0.21,2025-02-11 11:14:24
0.94,-0.01,0.21,2025-02-11 11:14:24
0.95,-0.01,0.2,2025-02-11 11:14:24
0.96,-0.01,0.19,2025-02-11 11:14:24
0.97,-0.01,0.18,2025-02-11 11:14:24
0.98,0.0,0.18,2025-02-11 11:14:24
0.98,0.0,0.18,2025-02-11 11:14:24
0.98,0.0,0.18,2025-02-11 11:14:24
0.98,0.0,0.18,2025-02-11 11:14:24
0.97,0.0,0.18,2025-02-11 11:14:24
0.97,0.01,0.19,2025-02-11 11:14:24
0.96,0.01,0.19,2025-02-11 11:14:24
0.96,0.02,0.2,2025-02-11 11:14:24
0.95,0.01,0.2,2025-02-11 11:14:24
0.95,0.01,0.2,2025-02-11 11:14:24
0.95,0.02,0.2,2025-02-11 11:14:24
0.95,0.02,0.21,2025-02-11 11:14:24
0.95,0.02,0.21,2025-02-11 11:14:24
0.95,0.02,0.21,2025-02-11 11:14:24
0.95,0.03,0.2,2025-02-11 11:14:24
0.96,0.03,0.2,2025-02-11 11:14:24
0.96,0.03,0.2,2025-02-11 11:14:24
0.97,0.03,0.21,2025-02-11 11:14:24
0.97,0.03,0.22,2025-02-11 11:14:24
0.98,0.04,0.22,2025-02-11 11:14:24
0.97,0.04,0.22,2025-02-11 11:14:24
0.97,0.04,0.22,2025-02-11 11:14:24
0.96,0.04,0.23,2025-02-11 11:14:24
0.96,0.04,0.23,2025-02-11 11:14:24
0.95,0.04,0.23,2025-02-11 11:14:24
0.94,0.03,0.23,2025-02-11 11:14:24
0.93,0.03,0.23,2025-02-11 11:14:24
0.94,0.04,0.23,2025-02-11 11:14:24
0.94,0.04,0.23,2025-02-11 11:14:24
0.94,0.05,0.24,2025-02-11 11:14:24
0.93,0.05,0.24,2025-02-11 11:14:24
0.93,0.05,0.24,2025-02-11 11:14:24
0.93,0.05,0.24,2025-02-11 11:14:24
0.93,0.05,0.23,2025-02-11 11:14:24
0.93,0.04,0.22,2025-02-11 11:14:24
0.94,0.03,0.22,2025-02-11 11:14:24
0.95,0.03,0.22,2025-02-11 11:14:24
0.96,0.04,0.22,2025-02-11 11:14:25
0.96,0.03,0.22,2025-02-11 11:14:25
0.96,0.03,0.23,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.96,0.02,0.22,2025-02-11 11:14:25
0.96,0.02,0.22,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.96,0.02,0.23,2025-02-11 11:14:25
0.97,0.02,0.22,2025-02-11 11:14:25
0.98,0.03,0.22,2025-02-11 11:14:25
0.98,0.03,0.22,2025-02-11 11:14:25
0.98,0.03,0.22,2025-02-11 11:14:25
0.97,0.03,0.22,2025-02-11 11:14:25
0.97,0.03,0.22,2025-02-11 11:14:25
0.97,0.02,0.22,2025-02-11 11:14:25
0.96,0.02,0.22,2025-02-11 11:14:25
0.95,0.03,0.22,2025-02-11 11:14:25
0.95,0.03,0.23,2025-02-11 11:14:25
0.94,0.04,0.23,2025-02-11 11:14:25
0.93,0.04,0.23,2025-02-11 11:14:25
0.93,0.05,0.22,2025-02-11 11:14:25
0.92,0.05,0.22,2025-02-11 11:14:25
0.92,0.04,0.22,2025-02-11 11:14:25
0.92,0.04,0.21,2025-02-11 11:14:25
0.92,0.04,0.22,2025-02-11 11:14:25
0.92,0.04,0.21,2025-02-11 11:14:25
0.92,0.04,0.21,2025-02-11 11:14:25
0.92,0.03,0.2,2025-02-11 11:14:25
0.93,0.03,0.2,2025-02-11 11:14:25
0.95,0.02,0.2,2025-02-11 11:14:25
0.96,0.02,0.21,2025-02-11 11:14:25
0.96,0.02,0.22,2025-02-11 11:14:25
0.96,0.03,0.23,2025-02-11 11:14:25
0.95,0.03,0.23,2025-02-11 11:14:25
0.93,0.02,0.24,2025-02-11 11:14:25
0.92,0.02,0.24,2025-02-11 11:14:25
0.92,0.03,0.24,2025-02-11 11:14:25
0.92,0.03,0.24,2025-02-11 11:14:25
0.92,0.03,0.24,2025-02-11 11:14:25
0.93,0.03,0.24,2025-02-11 11:14:25
0.93,0.02,0.23,2025-02-11 11:14:25
0.93,0.02,0.23,2025-02-11 11:14:25
0.93,0.01,0.22,2025-02-11 11:14:25
0.93,0.01,0.22,2025-02-11 11:14:25
0.92,-0.0,0.21,2025-02-11 11:14:25
0.92,-0.0,0.22,2025-02-11 11:14:25
0.91,0.03,0.25,2025-02-11 11:14:25
0.91,0.03,0.26,2025-02-11 11:14:25
0.89,0.02,0.25,2025-02-11 11:14:25
0.88,0.01,0.23,2025-02-11 11:14:25
0.87,0.0,0.21,2025-02-11 11:14:25
0.86,-0.01,0.19,2025-02-11 11:14:25
0.86,-0.01,0.18,2025-02-11 11:14:25
0.86,-0.03,0.18,2025-02-11 11:14:25
0.82,0.0,0.2,2025-02-11 11:14:25
0.83,-0.02,0.2,2025-02-11 11:14:25
0.82,-0.03,0.21,2025-02-11 11:14:25
0.8,-0.03,0.21,2025-02-11 11:14:25
0.8,-0.03,0.21,2025-02-11 11:14:25
0.79,-0.05,0.18,2025-02-11 11:14:25
0.81,-0.05,0.17,2025-02-11 11:14:25
0.84,-0.08,0.16,2025-02-11 11:14:25
0.89,-0.11,0.15,2025-02-11 11:14:25
0.92,-0.09,0.16,2025-02-11 11:14:25
1.01,-0.1,0.16,2025-02-11 11:14:25
