X (g),Y (g),Z (g),Timestamp
0.96,-0.09,0.22,2025-02-04 13:47:53
0.96,-0.08,0.22,2025-02-04 13:47:53
0.96,-0.08,0.22,2025-02-04 13:47:53
0.96,-0.08,0.22,2025-02-04 13:47:53
0.96,-0.08,0.22,2025-02-04 13:47:53
0.95,-0.08,0.22,2025-02-04 13:47:53
0.95,-0.08,0.22,2025-02-04 13:47:53
0.95,-0.08,0.22,2025-02-04 13:47:53
0.96,-0.08,0.22,2025-02-04 13:47:53
0.95,-0.08,0.22,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.22,2025-02-04 13:47:53
0.96,-0.08,0.22,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.09,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.09,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.09,0.21,2025-02-04 13:47:53
0.96,-0.09,0.21,2025-02-04 13:47:53
0.96,-0.09,0.21,2025-02-04 13:47:53
0.95,-0.09,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.09,0.21,2025-02-04 13:47:53
0.96,-0.09,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.09,0.21,2025-02-04 13:47:53
0.97,-0.08,0.22,2025-02-04 13:47:53
0.97,-0.08,0.22,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.96,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.95,-0.08,0.21,2025-02-04 13:47:53
0.94,-0.08,0.21,2025-02-04 13:47:53
0.94,-0.08,0.21,2025-02-04 13:47:53
0.94,-0.08,0.21,2025-02-04 13:47:53
0.94,-0.09,0.22,2025-02-04 13:47:53
0.93,-0.09,0.22,2025-02-04 13:47:53
0.92,-0.08,0.21,2025-02-04 13:47:53
0.92,-0.08,0.21,2025-02-04 13:47:53
0.93,-0.09,0.22,2025-02-04 13:47:53
0.93,-0.09,0.23,2025-02-04 13:47:53
0.93,-0.1,0.24,2025-02-04 13:47:53
0.91,-0.11,0.25,2025-02-04 13:47:53
0.89,-0.12,0.23,2025-02-04 13:47:53
0.87,-0.12,0.22,2025-02-04 13:47:53
0.88,-0.12,0.21,2025-02-04 13:47:53
0.9,-0.13,0.21,2025-02-04 13:47:53
0.95,-0.13,0.22,2025-02-04 13:47:53
1.0,-0.13,0.24,2025-02-04 13:47:53
1.03,-0.15,0.26,2025-02-04 13:47:53
1.05,-0.16,0.28,2025-02-04 13:47:53
1.06,-0.16,0.28,2025-02-04 13:47:53
1.06,-0.17,0.28,2025-02-04 13:47:53
