time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.96,0.21,0.28,1.0218121158021176
0.01,0.97,0.21,0.28,1.031212878119741
0.02,0.97,0.21,0.28,1.031212878119741
0.03,0.97,0.21,0.28,1.031212878119741
0.04,0.97,0.21,0.28,1.031212878119741
0.05,0.97,0.21,0.28,1.031212878119741
0.06,0.96,0.21,0.28,1.0218121158021176
0.07,0.96,0.2,0.28,1.019803902718557
0.08,0.95,0.2,0.27,1.007670581092849
0.09,0.94,0.2,0.27,0.9982484660644363
0.1,0.93,0.2,0.27,0.9888377015466189
0.11,0.93,0.19,0.27,0.9868637190615531
0.12,0.92,0.19,0.27,0.9774456506629922
0.13,0.92,0.19,0.27,0.9774456506629922
0.14,0.92,0.19,0.26,0.9747307320486002
0.15,0.92,0.19,0.26,0.9747307320486002
0.16,0.93,0.18,0.26,0.9822932352408826
0.17,0.93,0.18,0.27,0.9849873095629202
0.18,0.93,0.17,0.27,0.9832090316916338
0.19,0.94,0.16,0.27,0.9910095862301231
0.2,0.94,0.16,0.27,0.9910095862301231
0.21,0.94,0.16,0.27,0.9910095862301231
0.22,0.95,0.17,0.27,1.0021476937058729
0.23,0.95,0.17,0.27,1.0021476937058729
0.24,0.96,0.18,0.27,1.0133607452432722
0.25,0.96,0.18,0.27,1.0133607452432722
0.26,0.96,0.18,0.27,1.0133607452432722
0.27,0.955,0.17,0.27,1.0068887724073599
0.28,0.95,0.17,0.27,1.0021476937058729
0.29,0.94,0.17,0.27,0.9926731586982696
0.3,0.94,0.17,0.27,0.9926731586982696
0.31,0.94,0.17,0.27,0.9926731586982696
0.32,0.94,0.18,0.27,0.9944345126754199
0.33,0.93,0.17,0.27,0.9832090316916338
0.34,0.92,0.17,0.27,0.973755616158387
0.35,0.9166666666666667,0.17,0.2733333333333334,0.9715394427859783
0.36,0.9133333333333333,0.17,0.27666666666666667,0.9693411278916325
0.37,0.91,0.17,0.28,0.9671607932500159
0.38,0.91,0.17,0.28,0.9671607932500159
0.39,0.91,0.17,0.28,0.9671607932500159
0.4,0.91,0.17,0.29,0.970103087305674
0.41,0.9,0.17,0.29,0.960728889958036
0.42,0.89,0.17,0.29,0.9513674369033239
0.43,0.87,0.17,0.29,0.9326842981416595
0.44,0.85,0.17,0.29,0.9140568910084317
0.45,0.8566666666666667,0.17500000000000002,0.29166666666666663,0.921722421460074
0.46,0.8633333333333333,0.18000000000000002,0.2933333333333333,0.9294024364552144
0.47,0.89,0.2,0.31,0.963431367560762
0.48,0.91,0.2,0.31,0.9819368615140182
0.49,0.915,0.20500000000000002,0.31,0.9875980963934672
0.5,0.92,0.21,0.31,0.9932774033471213
0.51,0.92,0.22,0.31,0.9954396013822235
0.52,0.92,0.23916666666666667,0.315,1.0014118505612186
0.53,0.92,0.25833333333333336,0.32,1.0077381163333612
0.54,0.92,0.2775,0.325,1.0144117753654085
0.55,0.92,0.2966666666666667,0.33,1.0214260184228279
0.56,0.93,0.33,0.35,1.0470434565957614
0.57,0.9450000000000001,0.345,0.35,1.065152571230995
0.58,0.96,0.36,0.35,1.0833743581975714
0.59,0.975,0.375,0.3516666666666666,1.1022338429046916
0.6,0.9899999999999999,0.39,0.35333333333333333,1.1211799340179274
0.61,1.005,0.405,0.355,1.1402083143005053
0.62,1.01,0.41,0.36,1.147954702939101
0.63,1.0,0.4,0.36,1.1356055653262713
0.64,0.99,0.39666666666666667,0.35666666666666663,1.1245690532624288
0.65,0.98,0.39333333333333337,0.35333333333333333,1.1135329162425132
0.66,0.97,0.39,0.35,1.1024971655292362
0.67,0.9299999999999999,0.39,0.345,1.065844735409431
0.68,0.89,0.39,0.33,1.0262066068779718
0.69,0.885,0.39,0.33,1.021873279815066
0.7,0.88,0.39,0.33,1.0175460677532
0.71,0.87,0.39,0.32,1.0056838469419702
0.72,0.86,0.4,0.32,1.000999500499376
0.73,0.87,0.4,0.315,1.0080302574823834
0.74,0.87,0.39,0.31,1.002546757014355
0.75,0.87,0.38,0.31,0.9986991538997116
0.76,0.8725,0.3775,0.3075,0.9991590213774783
0.77,0.875,0.375,0.305,0.9996374342730469
0.78,0.8775,0.37249999999999994,0.3025,1.0001343659728925
0.79,0.88,0.36999999999999994,0.3,1.000649788887201
0.8,0.88,0.37,0.3,1.000649788887201
0.81,0.88,0.38,0.3,1.0043903623591774
0.82,0.87,0.38,0.31,0.9986991538997116
0.83,0.87,0.39,0.31,1.002546757014355
0.84,0.87,0.4,0.32,1.009603882718366
0.85,0.87,0.4,0.32,1.009603882718366
0.86,0.87,0.4,0.33,1.0128178513434685
0.87,0.86,0.4,0.33,1.0042410069301093
0.88,0.86,0.4,0.34,1.0075713374247999
0.89,0.85,0.4,0.34,0.9990495483208027
0.9,0.845,0.405,0.3425,0.9976754231712838
0.91,0.84,0.41,0.345,0.9963558601222757
0.92,0.84,0.42,0.35,1.0022474744293446
0.93,0.83,0.43,0.36,1.0016985574512922
0.94,0.825,0.44,0.36,1.0019106746611697
0.95,0.8233333333333333,0.44333333333333336,0.36333333333333334,1.0032115097691678
0.96,0.8216666666666667,0.44666666666666666,0.36666666666666664,1.0045355477366973
0.97,0.82,0.45,0.37,1.0058826969383656
0.98,0.81,0.45,0.36,0.9940824915468536
0.99,0.81,0.44,0.35,0.9860020283954796
1.0,0.81,0.44,0.345,0.9842382841568398
1.01,0.8133333333333334,0.44666666666666666,0.33999999999999997,0.9882419856605072
1.02,0.8166666666666667,0.45333333333333337,0.335,0.9923107152276224
1.03,0.82,0.46,0.33,0.9964436762808021
1.04,0.83,0.47,0.33,1.0093066927351666
1.05,0.84,0.48,0.33,1.0222035022440492
1.06,0.84,0.49,0.33,1.0269371937952194
1.07,0.84,0.49,0.32,1.0237675517420934
1.08,0.83,0.48,0.31,1.007670581092849
1.09,0.825,0.48,0.295,0.9990245242235047
1.1,0.8233333333333333,0.475,0.28833333333333333,0.9932969792005253
1.11,0.8216666666666667,0.47,0.2816666666666667,0.9876093469698544
1.12,0.82,0.46499999999999997,0.275,0.9819623210693982
1.13,0.83,0.45,0.26,0.9792854537876073
1.14,0.8633333333333333,0.44333333333333336,0.25,1.0021920419205537
1.15,0.8966666666666666,0.4366666666666667,0.24,1.025811332014269
1.16,0.9455555555555555,0.42888888888888893,0.23333333333333334,1.064173591148909
1.17,0.9944444444444444,0.4211111111111111,0.22666666666666666,1.103463682576564
1.18,1.0433333333333332,0.41333333333333333,0.22,1.143585977917222
1.19,1.09,0.4,0.22,1.1817360111293893
1.2,1.09,0.4,0.215,1.180815396241089
1.21,1.09,0.4,0.21,1.1799152511939153
1.22,1.0750000000000002,0.3875,0.20500000000000002,1.1609505803435392
1.23,1.06,0.375,0.2,1.1420267072183559
1.24,1.03,0.36,0.17,1.1042644610780517
1.25,1.02,0.355,0.16,1.0917989741706118
1.26,1.01,0.35,0.15,1.0793979803575695
1.27,1.01,0.35,0.15,1.0793979803575695
1.28,1.01,0.35,0.15,1.0793979803575695
1.29,1.02,0.34,0.15,1.0855873986004074
1.3,1.0350000000000001,0.31,0.15,1.0907909973959267
1.31,1.03,0.29,0.15,1.0805091392487154
1.32,1.02,0.27,0.14,1.064377752492037
1.33,1.01,0.255,0.135,1.0504046839194883
1.34,1.0,0.24,0.13,1.0365809182114052
1.35,0.97,0.22,0.12,1.0018482919085105
1.36,0.945,0.18,0.11499999999999999,0.9688395119936015
1.37,0.93,0.16,0.11,0.9500526301210896
1.38,0.9275,0.155,0.10750000000000001,0.946486925424752
1.39,0.925,0.15,0.10500000000000001,0.9429475064922755
1.4,0.9233333333333333,0.155,0.10083333333333334,0.9416670353981579
1.41,0.9216666666666667,0.16,0.09666666666666666,0.9404328199764665
1.42,0.92,0.165,0.0925,0.9392450425740879
1.43,0.9083333333333333,0.17166666666666666,0.09166666666666666,0.9289465359570843
1.44,0.8966666666666667,0.17833333333333334,0.09083333333333334,0.9187298750630315
1.45,0.885,0.185,0.09,0.9085978208206313
1.46,0.8674999999999999,0.1875,0.095,0.8926015348407148
1.47,0.85,0.19,0.1,0.8766983517721474
1.48,0.82,0.2,0.1,0.849941174435031
1.49,0.78,0.2,0.09,0.810246875958186
1.5,0.76,0.2,0.1,0.7922120928135344
1.51,0.76,0.2,0.1,0.7922120928135344
1.52,0.76,0.2,0.11,0.793536388579629
1.53,0.76,0.19,0.11,0.7910752176626443
1.54,0.77,0.19,0.11,0.8006872048434395
1.55,0.7775000000000001,0.1875,0.11499999999999999,0.808014541948349
1.56,0.785,0.185,0.12,0.8153833454271677
1.57,0.8,0.19,0.13,0.8324662155306966
1.58,0.8025,0.195,0.13666666666666666,0.8370836444333253
1.59,0.805,0.2,0.14333333333333334,0.8417656707448009
1.6,0.8075,0.20500000000000002,0.15,0.8465112226072374
1.61,0.8216666666666667,0.20666666666666667,0.15833333333333333,0.8619261375933942
1.62,0.8358333333333333,0.20833333333333334,0.16666666666666666,0.8773812835174151
1.63,0.85,0.21,0.175,0.8928745712584719
1.64,0.88,0.21,0.18,0.9224424101265075
1.65,0.9,0.21,0.19,0.9435041070392858
1.66,0.93,0.22,0.2,0.9763708311906907
1.67,0.96,0.22,0.21,1.0070253224224304
1.68,0.99,0.22,0.23,1.0399038417084534
1.69,1.02,0.22,0.24,1.0707007051459339
1.7,1.03,0.22,0.2425,1.0807896418822673
1.71,1.04,0.22,0.245,1.0908826701346026
1.72,1.05,0.22,0.2475,1.1009796773782885
1.73,1.06,0.22,0.25,1.1110805551354053
1.74,1.1133333333333333,0.22999999999999998,0.24,1.161899785313308
1.75,1.19,0.25,0.24,1.2394353553130555
1.76,1.23,0.26,0.25,1.2817956155331474
1.77,1.26,0.28,0.26,1.3166624472506232
1.78,1.27,0.28500000000000003,0.265,1.3282883723047492
1.79,1.28,0.29,0.27,1.3399253710561645
1.8,1.3,0.3,0.28500000000000003,1.3642672025670046
1.81,1.31,0.3,0.28,1.3727709204379295
1.82,1.3266666666666667,0.3,0.28,1.3886844293951182
1.83,1.3433333333333333,0.3,0.28,1.4046154080190223
1.84,1.3599999999999999,0.3,0.28,1.420563268566381
1.85,1.4249999999999998,0.31,0.295,1.487867601636651
1.86,1.4149999999999998,0.32499999999999996,0.31,1.4845706450014424
1.87,1.4049999999999998,0.33999999999999997,0.325,1.4816376075140638
