time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.96,0.23,0.0,0.9871676655968833
0.000922,0.95,0.23,0.0,0.9774456506629922
0.003016,0.95,0.23,-0.0,0.9774456506629922
0.014574,0.95,0.23,-0.0,0.9774456506629922
0.029744,0.95,0.22,-0.0,0.9751410154434075
0.030656,0.95,0.22,-0.0,0.9751410154434075
0.044539,0.95,0.22,-0.0,0.9751410154434075
0.045672,0.96,0.23,0.0,0.9871676655968833
0.059713,0.96,0.22,0.0,0.9848857801796105
0.07456,0.96,0.22,0.0,0.9848857801796105
0.075667,0.96,0.22,0.0,0.9848857801796105
0.07685,0.96,0.21,0.0,0.982700361249552
0.089688,0.96,0.22,0.0,0.9848857801796105
0.104707,0.96,0.23,0.0,0.9871676655968833
0.105916,0.96,0.23,0.01,0.9872183142547548
0.119829,0.96,0.23,0.01,0.9872183142547548
0.134608,0.96,0.23,0.01,0.9872183142547548
0.135733,0.96,0.23,0.0,0.9871676655968833
0.149498,0.96,0.21,0.0,0.982700361249552
0.164614,0.96,0.25,-0.0,0.9920181449953422
0.165485,0.97,0.21,0.0,0.9924716620639604
0.166887,0.96,0.22,0.01,0.9849365461794988
0.194502,0.98,0.21,0.01,1.002297361066066
0.209534,0.97,0.21,0.01,0.9925220400575495
0.210507,0.98,0.21,0.01,1.002297361066066
0.211711,0.97,0.21,0.01,0.9925220400575495
0.213569,0.97,0.19,0.01,0.9884836872705588
0.224585,0.96,0.2,0.01,0.9806630410084801
0.239585,0.96,0.2,0.01,0.9806630410084801
0.254595,0.95,0.2,0.01,0.9708758932015976
0.255597,0.94,0.2,0.01,0.9610931276416453
0.257434,0.94,0.2,0.01,0.9610931276416453
0.269524,0.94,0.2,0.01,0.9610931276416453
0.284713,0.94,0.2,0.01,0.9610931276416453
0.285684,0.95,0.2,0.01,0.9708758932015976
0.299976,0.96,0.2,0.01,0.9806630410084801
0.301055,0.97,0.19,0.01,0.9884836872705588
0.314534,0.97,0.19,0.01,0.9884836872705588
0.329519,0.98,0.18,0.01,0.9964436762808021
0.343789,0.98,0.17,0.0,0.9946356116689167
0.344872,0.98,0.17,0.01,0.9946858800646564
0.346779,0.98,0.16,0.01,0.9930256794262673
0.359521,0.98,0.16,0.01,0.9930256794262673
0.3607,0.98,0.16,0.01,0.9930256794262673
0.375767,0.98,0.16,0.01,0.9930256794262673
0.389561,0.98,0.16,0.01,0.9930256794262673
