X (g),Y (g),Z (g),Timestamp,acceleration (g),time (s)
0.94,-0.03,0.27,2025-02-11 11:08:11,0.9784681905918046,0.0
0.94,-0.02,0.27,2025-02-11 11:08:11,0.9782126558167196,0.009615384615384616
0.95,-0.01,0.28,2025-02-11 11:08:11,0.9904544411531506,0.019230769230769232
0.96,-0.01,0.28,2025-02-11 11:08:11,1.0000499987500624,0.028846153846153848
0.97,-0.01,0.27,2025-02-11 11:08:11,1.0069260151570223,0.038461538461538464
0.98,-0.02,0.26,2025-02-11 11:08:11,1.0141005867269774,0.04807692307692308
0.98,-0.01,0.26,2025-02-11 11:08:11,1.0139526616169021,0.057692307692307696
0.98,-0.0,0.26,2025-02-11 11:08:11,1.0139033484509261,0.06730769230769232
0.98,0.01,0.28,2025-02-11 11:08:11,1.0192644406629714,0.07692307692307693
0.97,0.02,0.29,2025-02-11 11:08:11,1.0126203632161461,0.08653846153846154
0.96,0.02,0.29,2025-02-11 11:08:11,1.0030453628824572,0.09615384615384616
0.95,0.04,0.28,2025-02-11 11:08:11,0.9912113800799505,0.10576923076923078
0.94,0.06,0.28,2025-02-11 11:08:11,0.9826494797230597,0.11538461538461539
0.93,0.09,0.27,2025-02-11 11:08:11,0.9725739046468397,0.125
0.93,0.11,0.26,2025-02-11 11:08:11,0.971905345185425,0.13461538461538464
0.93,0.08,0.25,2025-02-11 11:08:11,0.9663332758422428,0.14423076923076925
0.93,0.04,0.24,2025-02-11 11:08:11,0.9613012014972208,0.15384615384615385
0.94,0.01,0.23,2025-02-11 11:08:11,0.9677809669548166,0.16346153846153846
0.93,-0.0,0.22,2025-02-11 11:08:11,0.9556673061269806,0.17307692307692307
0.94,-0.02,0.22,2025-02-11 11:08:11,0.9656086163658648,0.1826923076923077
0.93,-0.03,0.22,2025-02-11 11:08:11,0.9561380653441218,0.19230769230769232
0.93,-0.04,0.21,2025-02-11 11:08:11,0.9542536350467836,0.20192307692307693
0.93,-0.05,0.21,2025-02-11 11:08:11,0.9547250913221041,0.21153846153846156
0.92,-0.05,0.21,2025-02-11 11:08:11,0.944986772394196,0.22115384615384617
0.93,-0.04,0.21,2025-02-11 11:08:11,0.9542536350467836,0.23076923076923078
0.93,-0.02,0.22,2025-02-11 11:08:11,0.9558765610684259,0.2403846153846154
