time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.96,-0.22666666666666668,0.12,0.993679455245279
0.01,0.96,-0.22833333333333333,0.12,0.9940569839603495
0.02,0.96,-0.23,0.12,0.9944345126754199
0.03,0.96,-0.23,0.12,0.9944345126754199
0.04,0.96,-0.23,0.12,0.9944345126754199
0.05,0.96,-0.23,0.12,0.9944345126754199
0.06,0.96,-0.23,0.12,0.9944345126754199
0.07,0.96,-0.2275,0.12,0.9938682196028141
0.08,0.96,-0.22833333333333333,0.11666666666666667,0.9936712808509165
0.09,0.96,-0.22916666666666669,0.11333333333333333,0.993474342099019
0.1,0.96,-0.23,0.11,0.9932774033471213
0.11,0.96,-0.23,0.11,0.9932774033471213
0.12,0.96,-0.22,0.11,0.9910095862301231
0.13,0.95,-0.22,0.11,0.9813256340277675
0.14,0.95,-0.22,0.11,0.9813256340277675
0.15,0.95,-0.22,0.11,0.9813256340277675
0.16,0.95,-0.22,0.11,0.9813256340277675
0.17,0.95,-0.22,0.11,0.9813256340277675
0.18,0.95,-0.22,0.11,0.9813256340277675
0.19,0.95,-0.22,0.11,0.9813256340277675
0.2,0.95,-0.22,0.11,0.9813256340277675
0.21,0.96,-0.22,0.11,0.9910095862301231
0.22,0.96,-0.22,0.1125,0.9912995247688416
0.23,0.96,-0.22,0.11499999999999999,0.99158946330756
0.24,0.96,-0.22,0.1175,0.9918794018462784
0.25,0.96,-0.22,0.12,0.9921693403849969
0.26,0.96,-0.22,0.12,0.9921693403849969
0.27,0.96,-0.225,0.11499999999999999,0.9927220494527715
0.28,0.96,-0.23,0.11,0.9932774033471213
0.29,0.96,-0.22,0.11,0.9910095862301231
0.3,0.96,-0.23,0.11,0.9932774033471213
0.31,0.955,-0.23,0.11499999999999999,0.9890308218379679
0.32,0.95375,-0.23,0.11624999999999999,0.9879691764606795
0.33,0.9524999999999999,-0.23,0.1175,0.9869075310833911
0.34,0.9512499999999999,-0.23,0.11875,0.9858458857061028
0.35,0.95,-0.23,0.12,0.9847842403288144
0.36,0.95,-0.23,0.12,0.9847842403288144
0.37,0.95,-0.23,0.12,0.9847842403288144
0.38,0.95,-0.23,0.12,0.9847842403288144
0.39,0.95375,-0.23,0.12,0.9884030924587914
0.4,0.9575,-0.23,0.12,0.9920219445887686
0.41,0.96,-0.23,0.12,0.9944345126754199
