X (g),Y (g),Z (g),Timestamp,time (s)
0.97,-0.22,0.13,2025-02-11 14:57:52.917300,0
0.97,-0.23,0.12,2025-02-11 14:57:52.918460,1
0.96,-0.23,0.12,2025-02-11 14:57:52.932238,2
0.96,-0.23,0.13,2025-02-11 14:57:52.933363,3
0.96,-0.23,0.13,2025-02-11 14:57:53.037271,4
0.96,-0.22,0.13,2025-02-11 14:57:53.038262,5
0.96,-0.22,0.13,2025-02-11 14:57:53.039506,6
0.96,-0.21,0.13,2025-02-11 14:57:53.041384,7
0.96,-0.2,0.13,2025-02-11 14:57:53.052413,8
0.96,-0.22,0.12,2025-02-11 14:57:53.067353,9
0.96,-0.22,0.12,2025-02-11 14:57:53.068458,10
0.96,-0.22,0.12,2025-02-11 14:57:53.141732,11
0.97,-0.23,0.12,2025-02-11 14:57:53.157784,12
0.96,-0.23,0.11,2025-02-11 14:57:53.158736,13
0.96,-0.22,0.11,2025-02-11 14:57:53.159890,14
0.95,-0.2,0.11,2025-02-11 14:57:53.162113,15
0.95,-0.22,0.1,2025-02-11 14:57:53.172724,16
0.95,-0.22,0.1,2025-02-11 14:57:53.173780,17
0.95,-0.22,0.11,2025-02-11 14:57:53.187807,18
0.96,-0.22,0.12,2025-02-11 14:57:53.217420,19
0.96,-0.22,0.12,2025-02-11 14:57:53.247166,20
0.96,-0.23,0.11,2025-02-11 14:57:53.248071,21
0.96,-0.23,0.11,2025-02-11 14:57:53.262471,22
0.96,-0.22,0.11,2025-02-11 14:57:53.263319,23
0.96,-0.21,0.12,2025-02-11 14:57:53.264476,24
0.95,-0.21,0.11,2025-02-11 14:57:53.292292,25
0.95,-0.22,0.11,2025-02-11 14:57:53.293150,26
0.96,-0.22,0.11,2025-02-11 14:57:53.294205,27
0.96,-0.22,0.12,2025-02-11 14:57:53.296086,28
0.96,-0.22,0.12,2025-02-11 14:57:53.307967,29
0.96,-0.22,0.13,2025-02-11 14:57:53.322943,30
0.96,-0.22,0.13,2025-02-11 14:57:53.336664,31
0.96,-0.22,0.12,2025-02-11 14:57:53.337672,32
0.96,-0.22,0.12,2025-02-11 14:57:53.339048,33
0.96,-0.22,0.12,2025-02-11 14:57:53.367422,34
0.96,-0.22,0.12,2025-02-11 14:57:53.368421,35
0.96,-0.22,0.13,2025-02-11 14:57:53.369522,36
0.96,-0.22,0.13,2025-02-11 14:57:53.371333,37
0.95,-0.22,0.13,2025-02-11 14:57:53.412768,38
0.95,-0.22,0.12,2025-02-11 14:57:53.413546,39
0.95,-0.21,0.12,2025-02-11 14:57:53.442530,40
0.96,-0.21,0.12,2025-02-11 14:57:53.443432,41
0.96,-0.21,0.12,2025-02-11 14:57:53.487316,42
0.96,-0.21,0.12,2025-02-11 14:57:53.488097,43
0.96,-0.21,0.12,2025-02-11 14:57:53.489202,44
0.96,-0.21,0.13,2025-02-11 14:57:53.491187,45
0.96,-0.22,0.12,2025-02-11 14:57:53.516870,46
0.96,-0.22,0.12,2025-02-11 14:57:53.517649,47
0.96,-0.22,0.12,2025-02-11 14:57:53.577240,48
0.96,-0.22,0.12,2025-02-11 14:57:53.577728,49
0.96,-0.22,0.12,2025-02-11 14:57:53.579118,50
0.96,-0.22,0.12,2025-02-11 14:57:53.592813,51
0.95,-0.22,0.12,2025-02-11 14:57:53.593604,52
0.95,-0.22,0.11,2025-02-11 14:57:53.607246,53
0.95,-0.22,0.11,2025-02-11 14:57:53.608073,54
0.95,-0.21,0.11,2025-02-11 14:57:53.621920,55
0.95,-0.21,0.11,2025-02-11 14:57:53.622926,56
0.96,-0.21,0.11,2025-02-11 14:57:53.652362,57
0.96,-0.21,0.12,2025-02-11 14:57:53.666856,58
0.96,-0.22,0.11,2025-02-11 14:57:53.667686,59
0.96,-0.22,0.11,2025-02-11 14:57:53.668931,60
0.95,-0.22,0.11,2025-02-11 14:57:53.670031,61
0.95,-0.21,0.1,2025-02-11 14:57:53.671960,62
0.95,-0.21,0.1,2025-02-11 14:57:53.697789,63
0.95,-0.21,0.1,2025-02-11 14:57:53.698838,64
0.96,-0.21,0.1,2025-02-11 14:57:53.700521,65
0.96,-0.21,0.1,2025-02-11 14:57:53.712729,66
0.96,-0.2,0.1,2025-02-11 14:57:53.713506,67
0.96,-0.2,0.1,2025-02-11 14:57:53.727953,68
