X (g),Y (g),Z (g),Timestamp,time (s)
0.95,-0.23,0.16,2025-02-11 10:51:19,0.0
0.96,-0.23,0.16,2025-02-11 10:51:19,0.011111111111111112
0.96,-0.23,0.16,2025-02-11 10:51:19,0.022222222222222223
0.97,-0.23,0.16,2025-02-11 10:51:19,0.03333333333333333
0.97,-0.24,0.16,2025-02-11 10:51:19,0.044444444444444446
0.97,-0.24,0.16,2025-02-11 10:51:19,0.05555555555555556
0.98,-0.24,0.15,2025-02-11 10:51:19,0.06666666666666667
0.99,-0.24,0.15,2025-02-11 10:51:19,0.07777777777777778
1.0,-0.23,0.16,2025-02-11 10:51:19,0.08888888888888889
1.0,-0.23,0.16,2025-02-11 10:51:19,0.1
1.01,-0.23,0.16,2025-02-11 10:51:19,0.11111111111111112
1.01,-0.24,0.15,2025-02-11 10:51:19,0.12222222222222223
1.01,-0.24,0.16,2025-02-11 10:51:19,0.13333333333333333
0.99,-0.24,0.16,2025-02-11 10:51:19,0.14444444444444446
0.98,-0.23,0.16,2025-02-11 10:51:19,0.15555555555555556
0.97,-0.23,0.16,2025-02-11 10:51:19,0.16666666666666669
0.96,-0.23,0.17,2025-02-11 10:51:19,0.17777777777777778
0.96,-0.19,0.2,2025-02-11 10:51:19,0.18888888888888888
0.97,-0.18,0.21,2025-02-11 10:51:19,0.2
0.98,-0.17,0.22,2025-02-11 10:51:19,0.2111111111111111
0.98,-0.16,0.23,2025-02-11 10:51:19,0.22222222222222224
0.98,-0.15,0.24,2025-02-11 10:51:19,0.23333333333333334
0.98,-0.14,0.24,2025-02-11 10:51:19,0.24444444444444446
0.97,-0.14,0.23,2025-02-11 10:51:19,0.2555555555555556
0.95,-0.13,0.22,2025-02-11 10:51:19,0.26666666666666666
0.93,-0.12,0.21,2025-02-11 10:51:19,0.2777777777777778
0.91,-0.11,0.2,2025-02-11 10:51:19,0.2888888888888889
0.9,-0.11,0.18,2025-02-11 10:51:19,0.3
0.91,-0.1,0.17,2025-02-11 10:51:19,0.3111111111111111
0.92,-0.09,0.16,2025-02-11 10:51:19,0.32222222222222224
0.94,-0.09,0.15,2025-02-11 10:51:19,0.33333333333333337
0.96,-0.07,0.12,2025-02-11 10:51:19,0.34444444444444444
0.97,-0.07,0.12,2025-02-11 10:51:19,0.35555555555555557
0.97,-0.07,0.11,2025-02-11 10:51:19,0.3666666666666667
0.97,-0.08,0.12,2025-02-11 10:51:19,0.37777777777777777
0.93,-0.08,0.11,2025-02-11 10:51:19,0.3888888888888889
0.92,-0.07,0.11,2025-02-11 10:51:19,0.4
0.93,-0.07,0.12,2025-02-11 10:51:19,0.41111111111111115
0.95,-0.08,0.12,2025-02-11 10:51:19,0.4222222222222222
0.98,-0.09,0.14,2025-02-11 10:51:19,0.43333333333333335
0.99,-0.1,0.14,2025-02-11 10:51:19,0.4444444444444445
1.0,-0.11,0.14,2025-02-11 10:51:19,0.45555555555555555
0.98,-0.15,0.14,2025-02-11 10:51:19,0.4666666666666667
0.97,-0.16,0.14,2025-02-11 10:51:19,0.4777777777777778
0.95,-0.18,0.13,2025-02-11 10:51:19,0.48888888888888893
0.94,-0.18,0.14,2025-02-11 10:51:19,0.5
0.92,-0.18,0.14,2025-02-11 10:51:19,0.5111111111111112
0.93,-0.19,0.14,2025-02-11 10:51:19,0.5222222222222223
0.94,-0.19,0.14,2025-02-11 10:51:19,0.5333333333333333
0.93,-0.2,0.15,2025-02-11 10:51:19,0.5444444444444445
0.94,-0.2,0.15,2025-02-11 10:51:19,0.5555555555555556
0.95,-0.19,0.16,2025-02-11 10:51:19,0.5666666666666667
0.95,-0.2,0.15,2025-02-11 10:51:19,0.5777777777777778
0.98,-0.18,0.16,2025-02-11 10:51:19,0.5888888888888889
