X (g),Y (g),Z (g),Timestamp,acceleration (g),time (s)
0.96,0.04,0.22,2025-02-11 11:14:25,0.9856977224281286,0.0
0.96,0.03,0.22,2025-02-11 11:14:25,0.9853425800197615,0.009009009009009009
0.96,0.03,0.23,2025-02-11 11:14:25,0.9876234100101111,0.018018018018018018
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.02702702702702703
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.036036036036036036
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.04504504504504504
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.05405405405405406
0.96,0.02,0.22,2025-02-11 11:14:25,0.9850888284819801,0.06306306306306306
0.96,0.02,0.22,2025-02-11 11:14:25,0.9850888284819801,0.07207207207207207
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.08108108108108109
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.09009009009009009
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.0990990990990991
0.96,0.02,0.23,2025-02-11 11:14:25,0.9873702446397703,0.10810810810810811
0.97,0.02,0.22,2025-02-11 11:14:25,0.994836670011716,0.11711711711711711
0.98,0.03,0.22,2025-02-11 11:14:25,1.0048382954485762,0.12612612612612611
0.98,0.03,0.22,2025-02-11 11:14:25,1.0048382954485762,0.13513513513513514
0.98,0.03,0.22,2025-02-11 11:14:25,1.0048382954485762,0.14414414414414414
0.97,0.03,0.22,2025-02-11 11:14:25,0.9950879358127099,0.15315315315315314
0.97,0.03,0.22,2025-02-11 11:14:25,0.9950879358127099,0.16216216216216217
0.97,0.02,0.22,2025-02-11 11:14:25,0.994836670011716,0.17117117117117117
0.96,0.02,0.22,2025-02-11 11:14:25,0.9850888284819801,0.18018018018018017
0.95,0.03,0.22,2025-02-11 11:14:25,0.975602378020882,0.1891891891891892
0.95,0.03,0.23,2025-02-11 11:14:25,0.9779059259458447,0.1981981981981982
0.94,0.04,0.23,2025-02-11 11:14:25,0.9685556256612213,0.2072072072072072
0.93,0.04,0.23,2025-02-11 11:14:25,0.9588534820294496,0.21621621621621623
0.93,0.05,0.22,2025-02-11 11:14:25,0.9569743988216195,0.22522522522522523
0.92,0.05,0.22,2025-02-11 11:14:25,0.9472592042308167,0.23423423423423423
0.92,0.04,0.22,2025-02-11 11:14:25,0.94678403028357,0.24324324324324323
0.92,0.04,0.21,2025-02-11 11:14:25,0.94451045520947,0.25225225225225223
0.92,0.04,0.22,2025-02-11 11:14:25,0.94678403028357,0.26126126126126126
0.92,0.04,0.21,2025-02-11 11:14:25,0.94451045520947,0.2702702702702703
0.92,0.04,0.21,2025-02-11 11:14:25,0.94451045520947,0.27927927927927926
0.92,0.03,0.2,2025-02-11 11:14:25,0.9419660291114538,0.2882882882882883
0.93,0.03,0.2,2025-02-11 11:14:25,0.9517352573063583,0.2972972972972973
0.95,0.02,0.2,2025-02-11 11:14:25,0.9710303805751909,0.3063063063063063
0.96,0.02,0.21,2025-02-11 11:14:25,0.9829038610159184,0.3153153153153153
0.96,0.02,0.22,2025-02-11 11:14:25,0.9850888284819801,0.32432432432432434
0.96,0.03,0.23,2025-02-11 11:14:25,0.9876234100101111,0.3333333333333333
0.95,0.03,0.23,2025-02-11 11:14:25,0.9779059259458447,0.34234234234234234
0.93,0.02,0.24,2025-02-11 11:14:25,0.9606768447297979,0.35135135135135137
0.92,0.02,0.24,2025-02-11 11:14:25,0.9509994742374992,0.36036036036036034
0.92,0.03,0.24,2025-02-11 11:14:25,0.951262319236918,0.36936936936936937
0.92,0.03,0.24,2025-02-11 11:14:25,0.951262319236918,0.3783783783783784
0.92,0.03,0.24,2025-02-11 11:14:25,0.951262319236918,0.38738738738738737
0.93,0.03,0.24,2025-02-11 11:14:25,0.9609370426828181,0.3963963963963964
0.93,0.02,0.23,2025-02-11 11:14:25,0.9582275303913993,0.40540540540540543
0.93,0.02,0.23,2025-02-11 11:14:25,0.9582275303913993,0.4144144144144144
0.93,0.01,0.22,2025-02-11 11:14:25,0.9557196241576292,0.42342342342342343
0.93,0.01,0.22,2025-02-11 11:14:25,0.9557196241576292,0.43243243243243246
0.92,-0.0,0.21,2025-02-11 11:14:25,0.9436630754670864,0.44144144144144143
0.92,-0.0,0.22,2025-02-11 11:14:25,0.9459386872308374,0.45045045045045046
0.91,0.03,0.25,2025-02-11 11:14:25,0.9441927769264071,0.45945945945945943
0.91,0.03,0.26,2025-02-11 11:14:25,0.9468896451012653,0.46846846846846846
0.89,0.02,0.25,2025-02-11 11:14:25,0.9246621004453465,0.4774774774774775
0.88,0.01,0.23,2025-02-11 11:14:25,0.9096153033013461,0.48648648648648646
0.87,0.0,0.21,2025-02-11 11:14:25,0.8949860334105779,0.4954954954954955
0.86,-0.01,0.19,2025-02-11 11:14:25,0.8807950953541919,0.5045045045045045
0.86,-0.01,0.18,2025-02-11 11:14:25,0.878692210048547,0.5135135135135135
0.86,-0.03,0.18,2025-02-11 11:14:25,0.8791473141629905,0.5225225225225225
0.82,0.0,0.2,2025-02-11 11:14:25,0.8440379138403676,0.5315315315315315
0.83,-0.02,0.2,2025-02-11 11:14:25,0.8539906322671227,0.5405405405405406
0.82,-0.03,0.21,2025-02-11 11:14:25,0.846994687114388,0.5495495495495496
0.8,-0.03,0.21,2025-02-11 11:14:25,0.8276472678623426,0.5585585585585585
0.8,-0.03,0.21,2025-02-11 11:14:25,0.8276472678623426,0.5675675675675675
0.79,-0.05,0.18,2025-02-11 11:14:25,0.8117881497040962,0.5765765765765766
0.81,-0.05,0.17,2025-02-11 11:14:25,0.8291561975888501,0.5855855855855856
0.84,-0.08,0.16,2025-02-11 11:14:25,0.8588364221433554,0.5945945945945946
0.89,-0.11,0.15,2025-02-11 11:14:25,0.9092304438369846,0.6036036036036035
0.92,-0.09,0.16,2025-02-11 11:14:25,0.9381364506296512,0.6126126126126126
1.01,-0.1,0.16,2025-02-11 11:14:25,1.0274726273726225,0.6216216216216216
1.07,-0.1,0.16,2025-02-11 11:14:25,1.0865081684000355,0.6306306306306306
1.11,-0.07,0.16,2025-02-11 11:14:25,1.123654751247019,0.6396396396396397
1.19,-0.05,0.18,2025-02-11 11:14:25,1.204574613712243,0.6486486486486487
1.22,-0.05,0.2,2025-02-11 11:14:25,1.2372954376380767,0.6576576576576576
1.21,-0.06,0.19,2025-02-11 11:14:25,1.2262952336203545,0.6666666666666666
1.21,-0.08,0.2,2025-02-11 11:14:25,1.2290240030202828,0.6756756756756757
1.18,-0.12,0.19,2025-02-11 11:14:25,1.2012077255828817,0.6846846846846847
1.18,-0.13,0.19,2025-02-11 11:14:25,1.2022478945708326,0.6936936936936937
1.19,-0.15,0.19,2025-02-11 11:14:25,1.214372265822964,0.7027027027027027
1.19,-0.18,0.2,2025-02-11 11:14:25,1.2200409829181968,0.7117117117117117
1.17,-0.18,0.21,2025-02-11 11:14:25,1.2022478945708326,0.7207207207207207
1.16,-0.16,0.24,2025-02-11 11:14:25,1.1953242237987147,0.7297297297297297
1.1,-0.15,0.25,2025-02-11 11:14:25,1.1379806676741042,0.7387387387387387
1.16,-0.21,0.21,2025-02-11 11:14:25,1.1974138799930456,0.7477477477477478
1.15,-0.17,0.26,2025-02-11 11:14:25,1.191217864204529,0.7567567567567568
1.05,-0.16,0.25,2025-02-11 11:14:25,1.091146186356347,0.7657657657657657
1.04,-0.14,0.27,2025-02-11 11:14:25,1.0835589508651573,0.7747747747747747
0.99,-0.12,0.29,2025-02-11 11:14:25,1.0385566907973778,0.7837837837837838
0.96,-0.14,0.28,2025-02-11 11:14:25,1.0097524449091468,0.7927927927927928
0.9,-0.15,0.27,2025-02-11 11:14:25,0.9515250916292224,0.8018018018018018
0.9,-0.14,0.25,2025-02-11 11:14:25,0.9445104552094699,0.8108108108108109
0.91,-0.14,0.24,2025-02-11 11:14:25,0.9514725429564429,0.8198198198198198
0.91,-0.14,0.24,2025-02-11 11:14:25,0.9514725429564429,0.8288288288288288
0.9,-0.12,0.23,2025-02-11 11:14:25,0.9366429415737888,0.8378378378378378
0.92,-0.11,0.23,2025-02-11 11:14:25,0.9546727187890099,0.8468468468468469
0.93,-0.09,0.24,2025-02-11 11:14:25,0.9646761114488117,0.8558558558558559
0.95,-0.06,0.24,2025-02-11 11:14:25,0.9816822296446035,0.8648648648648649
0.97,-0.06,0.24,2025-02-11 11:14:25,1.001049449328054,0.8738738738738738
0.98,-0.04,0.25,2025-02-11 11:14:25,1.0121758740456126,0.8828828828828829
1.0,-0.04,0.21,2025-02-11 11:14:25,1.0225947388873073,0.8918918918918919
1.02,-0.05,0.22,2025-02-11 11:14:25,1.0446530524533013,0.9009009009009009
1.02,-0.02,0.23,2025-02-11 11:14:25,1.0458011283222064,0.9099099099099099
1.06,-0.02,0.22,2025-02-11 11:14:25,1.0827742146911332,0.9189189189189189
1.06,-0.01,0.21,2025-02-11 11:14:25,1.0806479537758817,0.9279279279279279
1.07,0.01,0.21,2025-02-11 11:14:25,1.0904586191139947,0.9369369369369369
1.1,0.02,0.21,2025-02-11 11:14:25,1.120044641967453,0.9459459459459459
1.13,0.04,0.22,2025-02-11 11:14:25,1.1519114549304559,0.954954954954955
1.13,0.05,0.23,2025-02-11 11:14:25,1.1542530051942683,0.963963963963964
1.15,0.04,0.24,2025-02-11 11:14:25,1.1754573577973808,0.9729729729729729
1.17,0.04,0.24,2025-02-11 11:14:25,1.1950313803411188,0.9819819819819819
1.19,0.02,0.24,2025-02-11 11:14:25,1.214125199474914,0.990990990990991
1.2,-0.01,0.24,2025-02-11 11:14:26,1.223805540108395,1.0
1.2,-0.0,0.23,2025-02-11 11:14:26,1.2218428704215611,1.0092592592592593
1.21,0.01,0.23,2025-02-11 11:14:26,1.2317061337835418,1.0185185185185186
1.23,0.02,0.23,2025-02-11 11:14:26,1.2514791248758406,1.0277777777777777
1.23,0.01,0.21,2025-02-11 11:14:26,1.2478381305281547,1.037037037037037
1.23,0.02,0.21,2025-02-11 11:14:26,1.2479583326377528,1.0462962962962963
1.24,0.03,0.21,2025-02-11 11:14:26,1.2580143083447024,1.0555555555555556
1.26,0.04,0.24,2025-02-11 11:14:26,1.2832770550430646,1.0648148148148149
1.27,0.03,0.24,2025-02-11 11:14:26,1.2928263611173776,1.074074074074074
1.28,0.03,0.26,2025-02-11 11:14:26,1.3064838307457158,1.0833333333333333
1.28,0.03,0.28,2025-02-11 11:14:26,1.3106105447462262,1.0925925925925926
1.27,0.03,0.3,2025-02-11 11:14:26,1.3052969010918551,1.1018518518518519
1.24,0.0,0.29,2025-02-11 11:14:26,1.2734598540982751,1.1111111111111112
1.22,-0.01,0.29,2025-02-11 11:14:26,1.2540334923757022,1.1203703703703705
1.2,-0.02,0.29,2025-02-11 11:14:26,1.2347064428438042,1.1296296296296295
1.22,-0.02,0.29,2025-02-11 11:14:26,1.2541531007018243,1.1388888888888888
1.22,-0.02,0.27,2025-02-11 11:14:26,1.249679959029511,1.1481481481481481
1.2,-0.0,0.26,2025-02-11 11:14:26,1.2278436382536662,1.1574074074074074
1.18,-0.0,0.25,2025-02-11 11:14:26,1.2061923561356207,1.1666666666666667
1.12,0.01,0.24,2025-02-11 11:14:26,1.1454693361238442,1.175925925925926
1.09,0.01,0.24,2025-02-11 11:14:26,1.1161541112229978,1.1851851851851851
1.05,0.0,0.23,2025-02-11 11:14:26,1.0748953437428221,1.1944444444444444
1.01,0.02,0.25,2025-02-11 11:14:26,1.0406728592598156,1.2037037037037037
0.97,0.01,0.26,2025-02-11 11:14:26,1.004290794541103,1.212962962962963
0.94,0.01,0.28,2025-02-11 11:14:26,0.9808669634563089,1.2222222222222223
0.9,0.0,0.28,2025-02-11 11:14:26,0.9425497334358544,1.2314814814814814
0.85,-0.01,0.27,2025-02-11 11:14:26,0.8919080670113932,1.2407407407407407
0.81,-0.02,0.26,2025-02-11 11:14:26,0.8509406559801923,1.25
0.79,-0.02,0.24,2025-02-11 11:14:26,0.8258934555982388,1.2592592592592593
0.77,-0.01,0.23,2025-02-11 11:14:26,0.8036790404135222,1.2685185185185186
0.77,-0.0,0.21,2025-02-11 11:14:26,0.7981227975693966,1.2777777777777777
0.78,0.01,0.19,2025-02-11 11:14:26,0.8028698524667619,1.287037037037037
0.79,0.03,0.18,2025-02-11 11:14:26,0.8108020720249796,1.2962962962962963
0.8,0.04,0.16,2025-02-11 11:14:26,0.8168231142664856,1.3055555555555556
0.8,0.05,0.13,2025-02-11 11:14:26,0.8120344820264717,1.3148148148148149
0.79,0.06,0.12,2025-02-11 11:14:26,0.8013114251026252,1.324074074074074
0.79,0.06,0.09,2025-02-11 11:14:26,0.7973706791699832,1.3333333333333333
0.78,0.05,0.1,2025-02-11 11:14:26,0.7879720807236764,1.3425925925925926
0.78,0.07,0.12,2025-02-11 11:14:26,0.7922752047110903,1.3518518518518519
0.77,0.07,0.14,2025-02-11 11:14:26,0.7857480512225277,1.3611111111111112
0.76,0.06,0.16,2025-02-11 11:14:26,0.7789736837660178,1.3703703703703702
0.75,0.06,0.16,2025-02-11 11:14:26,0.7692203845452875,1.3796296296296295
0.74,0.05,0.17,2025-02-11 11:14:26,0.7609204951898719,1.3888888888888888
0.72,0.04,0.17,2025-02-11 11:14:26,0.7408778576796583,1.3981481481481481
0.69,0.04,0.17,2025-02-11 11:14:26,0.7117583859709697,1.4074074074074074
0.65,0.05,0.15,2025-02-11 11:14:26,0.6689544080129827,1.4166666666666665
0.62,0.05,0.15,2025-02-11 11:14:26,0.6398437309218556,1.425925925925926
0.6,0.05,0.16,2025-02-11 11:14:26,0.6229767250869008,1.4351851851851851
0.6,0.04,0.17,2025-02-11 11:14:26,0.6248999919987197,1.4444444444444444
0.59,0.02,0.17,2025-02-11 11:14:26,0.6143289021363068,1.4537037037037037
0.59,0.03,0.17,2025-02-11 11:14:26,0.6147357155721472,1.4629629629629628
0.61,0.05,0.16,2025-02-11 11:14:26,0.6326136261573885,1.4722222222222223
0.61,0.02,0.17,2025-02-11 11:14:26,0.6335613624582863,1.4814814814814814
0.62,0.03,0.16,2025-02-11 11:14:26,0.6410148204214938,1.4907407407407407
0.63,0.06,0.16,2025-02-11 11:14:26,0.6527633568147035,1.5
0.63,0.06,0.16,2025-02-11 11:14:26,0.6527633568147035,1.509259259259259
0.64,0.06,0.17,2025-02-11 11:14:26,0.6649060083951716,1.5185185185185186
0.64,0.06,0.17,2025-02-11 11:14:26,0.6649060083951716,1.5277777777777777
0.66,0.07,0.17,2025-02-11 11:14:26,0.6851277253184256,1.537037037037037
0.67,0.08,0.17,2025-02-11 11:14:26,0.6958448102845922,1.5462962962962963
0.71,0.09,0.18,2025-02-11 11:14:26,0.7379701890998036,1.5555555555555556
0.74,0.09,0.18,2025-02-11 11:14:26,0.7668767828015136,1.5648148148148149
0.76,0.08,0.18,2025-02-11 11:14:26,0.7851114570556208,1.574074074074074
0.77,0.08,0.19,2025-02-11 11:14:26,0.7971198153351853,1.5833333333333333
0.78,0.09,0.19,2025-02-11 11:14:26,0.8078366171448285,1.5925925925925926
0.83,0.08,0.21,2025-02-11 11:14:26,0.8598837130682264,1.6018518518518519
0.85,0.07,0.21,2025-02-11 11:14:26,0.8783507272155013,1.6111111111111112
0.87,0.07,0.21,2025-02-11 11:14:26,0.8977193325310534,1.6203703703703702
