X (g),Y (g),Z (g),Timestamp,time (s)
-0.01,0.31,0.91,2025-02-04 14:01:03,0.0
-0.01,0.29,0.91,2025-02-04 14:01:03,0.008695652173913044
-0.02,0.32,0.91,2025-02-04 14:01:03,0.017391304347826087
-0.02,0.31,0.91,2025-02-04 14:01:03,0.026086956521739132
-0.01,0.31,0.91,2025-02-04 14:01:03,0.034782608695652174
-0.01,0.31,0.91,2025-02-04 14:01:03,0.043478260869565216
-0.01,0.32,0.92,2025-02-04 14:01:03,0.052173913043478265
-0.01,0.33,0.93,2025-02-04 14:01:03,0.06086956521739131
-0.01,0.32,0.93,2025-02-04 14:01:03,0.06956521739130435
-0.02,0.31,0.92,2025-02-04 14:01:03,0.0782608695652174
-0.02,0.29,0.91,2025-02-04 14:01:03,0.08695652173913043
-0.01,0.36,0.9,2025-02-04 14:01:03,0.09565217391304348
0.01,0.34,0.91,2025-02-04 14:01:03,0.10434782608695653
-0.02,0.32,0.92,2025-02-04 14:01:03,0.11304347826086956
-0.02,0.31,0.92,2025-02-04 14:01:03,0.12173913043478261
-0.01,0.33,0.91,2025-02-04 14:01:03,0.13043478260869565
-0.02,0.29,0.91,2025-02-04 14:01:03,0.1391304347826087
-0.03,0.31,0.91,2025-02-04 14:01:03,0.14782608695652175
-0.01,0.31,0.91,2025-02-04 14:01:03,0.1565217391304348
-0.01,0.31,0.91,2025-02-04 14:01:03,0.16521739130434782
-0.02,0.32,0.91,2025-02-04 14:01:03,0.17391304347826086
-0.01,0.31,0.91,2025-02-04 14:01:03,0.1826086956521739
-0.01,0.32,0.91,2025-02-04 14:01:03,0.19130434782608696
-0.01,0.33,0.92,2025-02-04 14:01:03,0.2
-0.01,0.33,0.92,2025-02-04 14:01:03,0.20869565217391306
-0.18,0.53,0.97,2025-02-04 14:01:03,0.21739130434782608
0.06,0.3,0.98,2025-02-04 14:01:03,0.22608695652173913
-0.03,0.36,0.96,2025-02-04 14:01:03,0.23478260869565218
-0.02,0.3,0.96,2025-02-04 14:01:03,0.24347826086956523
-0.01,0.26,0.94,2025-02-04 14:01:03,0.25217391304347825
-0.02,0.28,0.94,2025-02-04 14:01:03,0.2608695652173913
-0.02,0.25,0.93,2025-02-04 14:01:03,0.26956521739130435
-0.02,0.3,0.95,2025-02-04 14:01:03,0.2782608695652174
-0.04,0.25,0.95,2025-02-04 14:01:03,0.28695652173913044
-0.02,0.29,0.95,2025-02-04 14:01:03,0.2956521739130435
-0.02,0.29,0.93,2025-02-04 14:01:03,0.30434782608695654
-0.02,0.27,0.93,2025-02-04 14:01:03,0.3130434782608696
-0.01,0.29,0.9,2025-02-04 14:01:03,0.32173913043478264
-0.01,0.28,0.9,2025-02-04 14:01:03,0.33043478260869563
-0.01,0.29,0.89,2025-02-04 14:01:03,0.3391304347826087
-0.01,0.29,0.89,2025-02-04 14:01:03,0.34782608695652173
-0.02,0.29,0.91,2025-02-04 14:01:03,0.3565217391304348
-0.01,0.29,0.91,2025-02-04 14:01:03,0.3652173913043478
-0.0,0.28,0.91,2025-02-04 14:01:03,0.3739130434782609
-0.0,0.31,0.89,2025-02-04 14:01:03,0.3826086956521739
-0.02,0.3,0.9,2025-02-04 14:01:03,0.391304347826087
-0.01,0.3,0.9,2025-02-04 14:01:03,0.4
-0.01,0.33,0.94,2025-02-04 14:01:03,0.40869565217391307
-0.01,0.31,0.95,2025-02-04 14:01:03,0.4173913043478261
-0.02,0.29,0.95,2025-02-04 14:01:03,0.4260869565217391
-0.02,0.29,0.95,2025-02-04 14:01:03,0.43478260869565216
0.0,0.25,0.93,2025-02-04 14:01:03,0.4434782608695652
-0.0,0.28,0.93,2025-02-04 14:01:03,0.45217391304347826
-0.01,0.28,0.93,2025-02-04 14:01:03,0.4608695652173913
-0.0,0.26,0.93,2025-02-04 14:01:03,0.46956521739130436
0.0,0.23,0.92,2025-02-04 14:01:03,0.4782608695652174
-0.03,0.27,0.93,2025-02-04 14:01:03,0.48695652173913045
0.01,0.33,0.91,2025-02-04 14:01:03,0.4956521739130435
0.04,0.34,0.9,2025-02-04 14:01:03,0.5043478260869565
-0.05,0.29,0.92,2025-02-04 14:01:03,0.5130434782608696
-0.03,0.29,0.91,2025-02-04 14:01:03,0.5217391304347826
0.01,0.35,0.94,2025-02-04 14:01:03,0.5304347826086957
-0.02,0.23,0.92,2025-02-04 14:01:03,0.5391304347826087
-0.04,0.28,0.93,2025-02-04 14:01:03,0.5478260869565218
0.02,0.29,0.93,2025-02-04 14:01:03,0.5565217391304348
-0.03,0.25,0.93,2025-02-04 14:01:03,0.5652173913043478
-0.01,0.25,0.93,2025-02-04 14:01:03,0.5739130434782609
-0.0,0.25,0.93,2025-02-04 14:01:03,0.5826086956521739
-0.04,0.24,0.93,2025-02-04 14:01:03,0.591304347826087
-0.02,0.38,0.93,2025-02-04 14:01:03,0.6
0.01,0.21,0.91,2025-02-04 14:01:03,0.6086956521739131
-0.06,0.31,0.92,2025-02-04 14:01:03,0.6173913043478261
-0.01,0.32,0.91,2025-02-04 14:01:03,0.6260869565217392
-0.05,0.32,0.91,2025-02-04 14:01:03,0.6347826086956522
-0.03,0.3,0.92,2025-02-04 14:01:03,0.6434782608695653
-0.03,0.28,0.93,2025-02-04 14:01:03,0.6521739130434783
-0.03,0.3,0.93,2025-02-04 14:01:03,0.6608695652173913
-0.02,0.31,0.92,2025-02-04 14:01:03,0.6695652173913044
-0.02,0.32,0.91,2025-02-04 14:01:03,0.6782608695652174
-0.03,0.29,0.91,2025-02-04 14:01:03,0.6869565217391305
-0.02,0.32,0.91,2025-02-04 14:01:03,0.6956521739130435
-0.01,0.32,0.91,2025-02-04 14:01:03,0.7043478260869566
-0.02,0.37,0.93,2025-02-04 14:01:03,0.7130434782608696
-0.02,0.36,0.94,2025-02-04 14:01:03,0.7217391304347827
-0.01,0.35,0.94,2025-02-04 14:01:03,0.7304347826086957
-0.02,0.34,0.94,2025-02-04 14:01:03,0.7391304347826088
0.01,0.33,0.93,2025-02-04 14:01:03,0.7478260869565218
0.01,0.29,0.94,2025-02-04 14:01:03,0.7565217391304347
0.0,0.28,0.92,2025-02-04 14:01:03,0.7652173913043478
-0.0,0.25,0.92,2025-02-04 14:01:03,0.7739130434782608
-0.01,0.24,0.93,2025-02-04 14:01:03,0.782608695652174
-0.01,0.26,0.93,2025-02-04 14:01:03,0.7913043478260869
