X (g),Y (g),Z (g),Timestamp,acceleration (g),time (s)
0.92,-0.12,0.26,2025-02-04 13:47:19,0.9635351576356723,0.0
0.92,-0.11,0.27,2025-02-04 13:47:19,0.965090669315583,0.008928571428571428
0.91,-0.11,0.27,2025-02-04 13:47:19,0.9555626614722867,0.017857142857142856
0.91,-0.11,0.27,2025-02-04 13:47:19,0.9555626614722867,0.026785714285714284
0.9,-0.11,0.27,2025-02-04 13:47:19,0.9460443964212251,0.03571428571428571
0.9,-0.11,0.27,2025-02-04 13:47:19,0.9460443964212251,0.04464285714285714
0.9,-0.11,0.27,2025-02-04 13:47:19,0.9460443964212251,0.05357142857142857
0.9,-0.11,0.27,2025-02-04 13:47:19,0.9460443964212251,0.0625
0.9,-0.11,0.27,2025-02-04 13:47:19,0.9460443964212251,0.07142857142857142
0.9,-0.11,0.27,2025-02-04 13:47:19,0.9460443964212251,0.08035714285714285
0.9,-0.1,0.27,2025-02-04 13:47:19,0.9449338601193208,0.08928571428571427
0.91,-0.09,0.26,2025-02-04 13:47:19,0.9506839643120105,0.09821428571428571
0.91,-0.1,0.26,2025-02-04 13:47:19,0.9516827202382105,0.10714285714285714
0.92,-0.1,0.26,2025-02-04 13:47:19,0.9612491872558333,0.11607142857142856
0.93,-0.1,0.26,2025-02-04 13:47:19,0.97082439194738,0.125
0.94,-0.1,0.26,2025-02-04 13:47:19,0.9804080783020915,0.13392857142857142
0.95,-0.1,0.26,2025-02-04 13:47:19,0.99,0.14285714285714285
0.96,-0.08,0.25,2025-02-04 13:47:19,0.995238664843765,0.15178571428571427
0.96,-0.09,0.25,2025-02-04 13:47:19,0.9960923651951158,0.1607142857142857
0.99,-0.1,0.25,2025-02-04 13:47:19,1.0259629622944486,0.16964285714285712
0.98,-0.06,0.25,2025-02-04 13:47:19,1.01316336293808,0.17857142857142855
0.99,-0.09,0.25,2025-02-04 13:47:19,1.0250365847129554,0.1875
0.98,-0.09,0.24,2025-02-04 13:47:19,1.0129659421717987,0.19642857142857142
0.96,-0.07,0.24,2025-02-04 13:47:19,0.9920181449953422,0.20535714285714285
0.97,-0.08,0.23,2025-02-04 13:47:19,1.0000999950004998,0.21428571428571427
0.96,-0.07,0.22,2025-02-04 13:47:19,0.9873702446397704,0.2232142857142857
0.95,-0.06,0.22,2025-02-04 13:47:19,0.976985158536198,0.23214285714285712
0.95,-0.07,0.22,2025-02-04 13:47:19,0.9776502442080194,0.24107142857142855
0.95,-0.06,0.23,2025-02-04 13:47:19,0.9792854537876073,0.25
0.95,-0.07,0.23,2025-02-04 13:47:19,0.9799489782636644,0.2589285714285714
0.96,-0.08,0.23,2025-02-04 13:47:19,0.9904039579888602,0.26785714285714285
0.97,-0.07,0.23,2025-02-04 13:47:19,0.9993497886125758,0.27678571428571425
0.97,-0.07,0.23,2025-02-04 13:47:19,0.9993497886125758,0.2857142857142857
0.98,-0.07,0.23,2025-02-04 13:47:19,1.009058967553433,0.29464285714285715
0.99,-0.07,0.24,2025-02-04 13:47:19,1.021077861869505,0.30357142857142855
0.99,-0.07,0.24,2025-02-04 13:47:19,1.021077861869505,0.3125
1.0,-0.07,0.25,2025-02-04 13:47:19,1.0331505214633538,0.3214285714285714
0.99,-0.07,0.25,2025-02-04 13:47:19,1.023474474522936,0.33035714285714285
0.98,-0.06,0.25,2025-02-04 13:47:19,1.01316336293808,0.33928571428571425
0.97,-0.07,0.25,2025-02-04 13:47:19,1.0041414243023739,0.3482142857142857
0.95,-0.06,0.25,2025-02-04 13:47:19,0.9841747812253675,0.3571428571428571
0.94,-0.05,0.24,2025-02-04 13:47:19,0.9714422267947795,0.36607142857142855
0.92,-0.05,0.24,2025-02-04 13:47:19,0.9521029356114811,0.375
0.9,-0.04,0.23,2025-02-04 13:47:19,0.9297849213662265,0.3839285714285714
0.9,-0.04,0.23,2025-02-04 13:47:19,0.9297849213662265,0.39285714285714285
0.89,-0.03,0.23,2025-02-04 13:47:19,0.9197282207261013,0.40178571428571425
0.89,-0.03,0.23,2025-02-04 13:47:19,0.9197282207261013,0.4107142857142857
0.9,-0.03,0.24,2025-02-04 13:47:19,0.931933474020544,0.4196428571428571
0.9,-0.02,0.25,2025-02-04 13:47:19,0.9342911751697112,0.42857142857142855
0.91,-0.02,0.26,2025-02-04 13:47:19,0.9466255859631093,0.4375
0.93,-0.03,0.26,2025-02-04 13:47:19,0.9661262857411551,0.4464285714285714
0.94,-0.03,0.26,2025-02-04 13:47:19,0.9757561170702441,0.45535714285714285
0.96,-0.04,0.26,2025-02-04 13:47:19,0.9953893710503443,0.46428571428571425
0.97,-0.05,0.26,2025-02-04 13:47:19,1.0054849576199536,0.4732142857142857
0.98,-0.07,0.27,2025-02-04 13:47:19,1.018920997918877,0.4821428571428571
0.99,-0.08,0.27,2025-02-04 13:47:19,1.0292715870944849,0.49107142857142855
