time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.95,-0.01,0.215,0.9740886931264227
0.01,0.95,-0.02,0.21,0.973139250056229
0.02,0.95,-0.01,0.21,0.9729850975220535
0.03,0.95,-0.01,0.21,0.9729850975220535
0.04,0.95,-0.01,0.22,0.9751922887307918
0.05,0.96,-0.01,0.22,0.9849365461794988
0.06,0.96,-0.01,0.22,0.9849365461794988
0.07,0.96,-0.01,0.22,0.9849365461794988
0.08,0.96,-0.01,0.22,0.9849365461794988
0.09,0.96,-0.02,0.22,0.9850888284819801
0.1,0.955,-0.01,0.215,0.9790112681992017
0.11,0.97,-0.02,0.22,0.994836670011716
0.12,0.96,-0.02,0.23,0.9873702446397703
0.13,0.97,-0.03,0.24,0.9996999549864949
0.14,0.96,-0.03,0.24,0.99
0.15,0.96,-0.03,0.23,0.9876234100101111
0.16,0.94,-0.03,0.23,0.9681941953967707
0.17,0.94,-0.06,0.24,0.9720082304178294
0.18,0.95,-0.07,0.25,0.9848350115628506
0.19,0.96,-0.08,0.26,0.9977975746613137
0.2,0.97,-0.07500000000000001,0.265,1.0083645731632545
0.21,0.97,-0.06,0.27,1.0086624807139404
0.22,0.97,-0.06,0.27,1.0086624807139404
0.23,0.96,-0.06,0.27,0.9990495483208027
0.24,0.94,-0.06,0.26,0.9771386800244887
0.25,0.93,-0.07,0.25,0.9655568341635826
0.26,0.92,-0.07,0.25,0.9559288676465421
0.27,0.91,-0.09,0.25,0.9479978902930112
0.28,0.91,-0.09,0.24,0.9454099639838793
0.29,0.9,-0.09,0.24,0.9357884376289334
0.3,0.9,-0.095,0.23,0.9337824913976596
0.31,0.9,-0.08,0.22,0.9299462350050136
0.32,0.9,-0.07,0.22,0.9291393867445293
0.33,0.91,-0.07,0.22,0.938829057922687
0.34,0.92,-0.07,0.22,0.948525170989152
0.35,0.92,-0.07,0.22,0.948525170989152
0.36,0.92,-0.06,0.22,0.947839648885823
0.37,0.93,-0.07,0.22,0.9582275303913993
0.38,0.93,-0.06,0.22,0.9575489543621256
0.39,0.93,-0.06,0.22,0.9575489543621256
0.4,0.94,-0.055,0.23,0.9693038324020661
0.41,0.94,-0.04,0.24,0.9709788875150684
0.42,0.94,-0.03,0.24,0.9706183596038146
0.43,0.94,-0.03,0.24,0.9706183596038146
0.44,0.94,-0.02,0.23,0.9679359482941007
0.45,0.93,-0.02,0.23,0.9582275303913993
0.46,0.93,-0.02,0.23,0.9582275303913993
0.47,0.93,0.0,0.23,0.9580187889597992
0.48,0.94,0.0,0.24,0.9701546268507922
0.49,0.94,0.01,0.25,0.9727281223445737
0.5,0.94,-0.005,0.265,0.9766770650622162
0.51,0.93,-0.01,0.27,0.9684523736353792
0.52,0.92,-0.01,0.28,0.9617172141539321
0.53,0.91,-0.01,0.28,0.9521554494934112
0.54,0.9,0.0,0.27,0.9396275858019495
0.55,0.9,0.0,0.27,0.9396275858019495
0.56,0.86,0.04,0.27,0.9022749026765623
0.57,0.88,0.06,0.28,0.9254188241007419
0.58,0.89,0.07,0.29,0.938669270829721
0.59,0.91,0.09,0.29,0.9593226777263216
0.6,0.94,0.10500000000000001,0.295,0.9907914074268367
0.61,0.97,0.12,0.31,1.025377979088687
0.62,0.99,0.13,0.31,1.0455142275454696
0.63,1.0,0.14,0.32,1.059245014149229
0.64,1.0,0.13,0.32,1.0579697538209683
0.65,1.01,0.13,0.33,1.070467187726929
0.66,1.01,0.13,0.33,1.070467187726929
0.67,1.01,0.13,0.33,1.070467187726929
0.68,1.0,0.13,0.32,1.0579697538209683
0.69,0.99,0.12,0.32,1.047329938462565
0.7,0.97,0.12,0.305,1.0238797821134304
0.71,0.96,0.13,0.29,1.011236866416568
0.72,0.95,0.13,0.29,1.00174847142384
0.73,0.95,0.14,0.3,1.0060318086422517
0.74,0.94,0.13,0.3,0.995238664843765
0.75,0.93,0.13,0.3,0.9857991681879226
0.76,0.92,0.13,0.3,0.9763708311906906
0.77,0.91,0.13,0.3,0.9669539802906858
0.78,0.91,0.13,0.29,0.9638983348880732
0.79,0.91,0.12,0.28,0.9596353474106715
0.8,0.91,0.11,0.27,0.9555626614722867
0.81,0.92,0.1,0.27,0.9640020746865642
0.82,0.93,0.09,0.27,0.9725739046468397
0.83,0.95,0.08,0.27,0.9908582138732059
0.84,0.95,0.06,0.27,0.9894442884771228
0.85,0.97,0.05,0.26,1.0054849576199536
0.86,0.97,0.05,0.26,1.0054849576199536
0.87,0.98,0.04,0.26,1.0146920715172658
0.88,0.99,0.04,0.26,1.02435345462394
0.89,0.99,0.03,0.25,1.021518477561713
0.9,0.985,0.025,0.24,1.0141376650056055
