time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.945,0.26,0.0,0.9801156866992138
0.01,0.94,0.26,0.0,0.9752948272189287
0.02,0.94,0.26,0.0,0.9752948272189287
0.03,0.94,0.26,0.01,0.9753460924205315
0.04,0.93,0.25,0.01,0.9630680142129112
0.05,0.92,0.25,0.01,0.9534149149242422
0.06,0.91,0.25,0.01,0.9437690395430441
0.07,0.9,0.24,0.01,0.9315041599477697
0.08,0.9,0.235,0.005,0.9302141343981403
0.09,0.9,0.23,0.0,0.9289241088485108
0.1,0.91,0.23,0.0,0.9386160024205852
0.11,0.92,0.23,0.01,0.9483670175622938
0.12,0.93,0.23,0.01,0.9580709785814411
0.13,0.97,0.23,0.0,0.9968951800465282
0.14,0.99,0.23,-0.01,1.0164152694642086
0.15,1.0,0.24,-0.01,1.0284454287904634
0.16,0.99,0.24,-0.01,1.0187274220045859
0.17,0.93,0.24,-0.01,0.9605206921248496
0.18,0.91,0.25,0.0,0.9437160589923221
0.19,0.89,0.25,0.0,0.9244457799135654
0.2,0.87,0.25,0.0,0.9052071586106686
0.21,0.85,0.25,0.01,0.8860586888011425
0.22,0.85,0.25,0.01,0.8860586888011425
0.23,0.85,0.26,0.01,0.8889319434017432
0.24,0.85,0.26,0.01,0.8889319434017432
0.25,0.905,0.265,0.02,0.943218709061616
0.26,0.93,0.28,0.02,0.9714422267947797
0.27,0.94,0.29,0.02,0.9839207285142436
0.28,0.95,0.3,0.01,0.9962931295557548
0.29,0.97,0.3,0.01,1.0153817016275208
0.3,0.98,0.32,0.01,1.030970416646375
0.31,0.99,0.33,0.02,1.0437432634513144
0.32,0.99,0.34,0.02,1.0469479452198185
0.33,0.99,0.34,0.025,1.047067326272845
0.34,0.99,0.35,0.03,1.0504760825454333
0.35,0.98,0.35,0.03,1.0410571550111933
0.36,0.98,0.35,0.03,1.0410571550111933
0.37,0.97,0.36,0.04,1.0354226190305098
0.38,0.96,0.36,0.04,1.0260604270704528
0.39,0.95,0.35,0.05,1.0136567466356645
0.4,0.94,0.34,0.05,1.0008496390567367
0.41,0.93,0.33,0.05,0.9881239024822247
0.42,0.92,0.32,0.05,0.9753460924205315
0.43,0.92,0.31,0.04,0.9716480844420988
0.44,0.91,0.31,0.04,0.9621850133939939
0.45,0.91,0.31,0.05,0.9626525853079084
0.46,0.92,0.31,0.06,0.9726767191621274
0.47,0.92,0.32,0.07,0.976575649911465
0.48,0.92,0.32,0.08,0.9773433378296493
0.49,0.92,0.33,0.08,0.9806630410084801
0.5,0.91,0.33,0.065,0.9701803377631353
0.51,0.91,0.33,0.06,0.9698453484963466
0.52,0.92,0.33,0.06,0.9792343948207702
0.53,0.93,0.33,0.05,0.9880789442144793
0.54,0.94,0.33,0.05,0.9974968671630001
0.55,0.95,0.33,0.05,1.0069260151570223
0.56,0.95,0.32,0.05,1.0036931802099682
0.57,0.96,0.32,0.05,1.01316336293808
0.58,0.97,0.315,0.06,1.0216396739300415
0.59,0.97,0.31,0.07,1.020735029280371
0.6,0.96,0.3,0.07,1.0082162466455298
0.61,0.95,0.3,0.09,1.000299955013495
0.62,0.94,0.3,0.1,0.991766101457395
0.63,0.93,0.29,0.11,0.980357077803797
0.64,0.92,0.28,0.11,0.9679359482941008
