time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.85,0.03,0.29,0.8986100377805714
0.01,0.81,-0.02,0.31,0.8675252157718529
0.02,0.81,-0.04,0.31,0.8682165628459296
0.03,0.82,-0.06,0.33,0.8859458222713169
0.04,0.825,-0.075,0.325,0.8900187700808007
0.05,0.83,-0.09,0.32,0.8940917178902844
0.06,0.84,-0.12,0.35,0.9178779875342908
0.07,0.91,-0.04,0.47,1.0249878048055012
0.08,0.9,-0.06,0.54,1.051284928076114
0.09,0.915,-0.08499999999999999,0.5549999999999999,1.073798463731575
0.1,0.93,-0.11,0.57,1.0963119993870358
0.11,0.93,-0.18,0.55,1.0953538241134688
0.12,0.94,-0.2,0.47,1.0698130677833393
0.13,0.82,-0.26,0.37,0.9364293886887574
0.14,0.8,-0.275,0.355,0.9176866067037608
0.15,0.78,-0.29,0.34,0.8989438247187641
0.16,0.73,-0.28,0.34,0.8525843066817498
0.17,0.71,-0.23,0.34,0.820121942152507
0.18,0.69,-0.25,0.34,0.8088263101556477
0.19,0.685,-0.255,0.345,0.8083005156129117
0.2,0.68,-0.26,0.35,0.8077747210701757
0.21,0.64,-0.22,0.37,0.7712976079309465
0.22,0.68,-0.24,0.39,0.8198170527623831
0.23,0.68,-0.22,0.47,0.8553946457629953
0.24,0.67,-0.22999999999999998,0.46499999999999997,0.8474591601178048
0.25,0.66,-0.24,0.46,0.8395236744726143
0.26,0.69,-0.26,0.45,0.8638286867197685
0.27,0.71,-0.26,0.45,0.8798863562983574
0.28,0.67,-0.25,0.46,0.8502940667792526
0.29,0.7,-0.25,0.47,0.8795147259030796
0.3,0.73,-0.25,0.48,0.9087353850269064
0.31,0.71,-0.23,0.51,0.9039358384310249
0.32,0.74,-0.2,0.53,0.931933474020544
0.33,0.75,-0.21,0.55,0.9534673565466203
0.34,0.75,-0.20500000000000002,0.55,0.9523911180343214
0.35,0.75,-0.2,0.55,0.9513148795220224
0.36,0.78,-0.22,0.55,0.979438614717635
0.37,0.8,-0.24,0.54,0.9945853407325085
0.38,0.83,-0.25,0.53,1.0160216533125659
0.39,0.885,-0.255,0.56,1.0779450333854457
0.4,0.94,-0.26,0.59,1.1398684134583255
0.41,0.98,-0.27,0.6,1.1803812943282352
0.42,0.99,-0.27,0.61,1.1937755232873557
0.43,1.0,-0.28,0.61,1.2043670536842164
0.44,1.01,-0.275,0.61,1.2115684626585428
0.45,1.02,-0.27,0.61,1.218769871632869
0.46,1.03,-0.26,0.6,1.2200409829181968
0.47,1.04,-0.25,0.59,1.22155638429014
0.48,1.04,-0.23,0.59,1.217620630574236
