time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.93,-0.27,0.19,0.9868637190615531
0.01,0.94,-0.27,0.2,0.9982484660644363
0.02,0.94,-0.26,0.2,0.9955902771722914
0.03,0.95,-0.26,0.21,1.0070749723828907
0.04,0.95,-0.26,0.21,1.0070749723828907
0.05,0.96,-0.25,0.21,1.0140019723846694
0.06,0.97,-0.25,0.2,1.0214695296483396
0.07,0.97,-0.25,0.18,1.017742600071354
0.08,0.97,-0.24,0.17,1.0136074190730846
0.09,0.97,-0.24,0.16,1.0119782606360672
0.1,0.98,-0.23,0.15,1.0177426000713539
0.11,0.98,-0.23,0.14,1.016316879718132
0.12,0.98,-0.23,0.12,1.013755394560246
0.13,0.99,-0.22,0.11,1.0200980345045274
0.14,0.99,-0.21,0.1,1.0169562429131354
0.15,0.99,-0.21,0.1,1.0169562429131354
0.16,0.99,-0.21,0.1,1.0169562429131354
0.17,0.98,-0.22,0.11,1.0103959619871805
0.18,0.98,-0.23,0.11,1.0126203632161461
0.19,0.98,-0.23,0.12,1.013755394560246
0.2,0.97,-0.24,0.11,1.0052860289489753
0.21,0.96,-0.25,0.1,0.9970456358662827
0.22,0.94,-0.26,0.09,0.979438614717635
0.23,0.92,-0.26,0.07,0.9585927185202274
0.24,0.89,-0.28,0.06,0.9349331526906082
0.25,0.835,-0.28,0.065,0.8830911617721016
0.26,0.77,-0.28,0.07,0.8223138087129511
0.27,0.73,-0.3,0.08,0.7932843122109499
0.28,0.69,-0.3,0.09,0.7577598564189053
0.29,0.66,-0.31,0.09,0.7347108274688757
0.3,0.63,-0.31,0.09,0.7078841713161836
0.31,0.62,-0.32,0.09,0.7034912934784623
0.32,0.64,-0.31,0.09,0.7167984374982971
0.33,0.67,-0.3,0.11,0.7422937423958255
0.34,0.73,-0.3,0.11,0.7968688725254613
0.35,0.8,-0.28,0.12,0.8560373823613079
0.36,0.87,-0.26,0.13,0.9172785836374902
0.37,0.94,-0.24,0.15,0.9816822296446034
0.38,1.0,-0.25,0.16,1.0431203190428227
0.39,1.07,-0.26,0.17,1.1141813137905339
0.4,1.11,-0.26,0.17,1.1526491226735047
0.41,1.16,-0.27,0.18,1.2045331045679069
0.42,1.21,-0.27,0.17,1.2513592609638529
0.43,1.24,-0.29,0.16,1.2834718539960275
0.44,1.26,-0.3,0.14,1.3027662875589006
0.45,1.27,-0.34,0.13,1.3211358749197601
0.46,1.26,-0.35,0.14,1.3151805959639156
0.47,1.16,-0.41,0.13,1.2371741995369931
0.48,1.13,-0.39,0.1,1.1995832609702421
0.49,1.07,-0.4,0.1,1.1466908912169835
0.5,1.04,-0.37,0.095,1.107937272592632
0.51,0.99,-0.37,0.09,1.0607073111843814
0.52,0.97,-0.35,0.09,1.035132841716463
0.53,0.95,-0.34,0.1,1.0139526616169021
0.54,0.93,-0.32,0.09,0.9876234100101112
0.55,0.92,-0.32,0.1,0.9791833331914919
0.56,0.91,-0.3,0.1,0.9633794683301072
0.57,0.89,-0.29,0.1,0.9413819628609845
0.58,0.88,-0.28,0.1,0.9288702815786497
0.59,0.88,-0.28,0.1,0.9288702815786497
0.6,0.87,-0.27,0.1,0.9164060235506967
0.61,0.86,-0.27,0.09,0.905869747811461
0.62,0.86,-0.26,0.09,0.9029396436085858
0.63,0.86,-0.27,0.09,0.905869747811461
0.64,0.86,-0.26,0.1,0.9039911503991618
0.65,0.87,-0.26,0.1,0.9135097153287425
0.66,0.89,-0.26,0.11,0.933702308018996
0.67,0.91,-0.26,0.11,0.9527853903162034
0.68,0.93,-0.26,0.11,0.971905345185425
0.69,0.95,-0.27,0.11,0.9937303457175894
0.7,0.96,-0.28,0.11,1.0060318086422517
0.71,0.97,-0.29,0.1,1.0173494974687902
0.72,0.98,-0.29,0.1,1.0268885041717042
0.73,0.98,-0.3,0.09,1.0288342918079665
0.74,0.98,-0.31,0.09,1.0317945531936095
0.75,0.99,-0.32,0.09,1.044317959244214
0.76,0.99,-0.32,0.09,1.044317959244214
0.77,0.97,-0.31,0.09,1.02230132544177
0.78,0.97,-0.31,0.1,1.0232301793829186
0.79,0.96,-0.32,0.09,1.0159232254457027
0.8,0.95,-0.3,0.1,1.0012492197250393
0.81,0.93,-0.27,0.09,0.9725739046468397
0.82,0.92,-0.27,0.09,0.9630160954002794
0.83,0.92,-0.26,0.09,0.9602603813549739
0.84,0.9,-0.25,0.08,0.9374966666607407
0.85,0.9,-0.25,0.07,0.9366963221877195
0.86,0.92,-0.25,0.07,0.9559288676465421
0.87,0.95,-0.25,0.05,0.9836157786453
0.88,1.12,-0.26,0.03,1.150173899895142
0.89,1.2,-0.26,0.03,1.228210079750203
0.9,1.24,-0.25,0.03,1.2653062870309306
0.91,1.23,-0.25,0.04,1.2557866060760483
0.92,1.21,-0.25,0.05,1.236567830731497
0.93,1.15,-0.26,0.05,1.180084742719776
0.94,1.16,-0.25,0.03,1.1870130580579137
0.95,1.13,-0.23,0.01,1.1532129031536196
0.96,1.08,-0.21,-0.01,1.1002726934719411
0.97,1.09,-0.19,-0.02,1.1066164647247936
0.98,1.08,-0.2,-0.02,1.0985444915887568
0.99,1.11,-0.18,-0.02,1.1246777316191514
1.0,1.17,-0.175,-0.02,1.1831842629108957
1.01,1.22,-0.1,-0.02,1.2242548754242313
1.02,1.25,-0.08,-0.03,1.25291659738388
1.03,1.19,-0.08,-0.04,1.1933566105737212
1.04,1.19,0.0,-0.04,1.1906720791217034
1.05,1.06,-0.04,-0.04,1.061508360777248
1.06,1.04,0.05,-0.04,1.0419692893746917
1.07,0.95,0.03,-0.04,0.9513148795220224
1.08,0.88,0.08,-0.03,0.8841379982785492
1.09,0.89,0.06,-0.04,0.8929165694509202
1.1,0.87,0.09,-0.04,0.8755569655939013
1.11,0.85,0.07,-0.05,0.8543418519538885
1.12,0.91,0.09,-0.045,0.9155462850123963
1.13,0.94,0.08,-0.05,0.9447221813845591
1.14,0.97,0.1,-0.05,0.9764220398987314
1.15,0.98,0.1,-0.05,0.9863569333664157
1.16,0.97,0.11,-0.06,0.9780593029055038
1.17,0.95,0.11,-0.06,0.9582275303913993
1.18,0.93,0.1,-0.06,0.9372833082905084
1.19,0.92,0.09,-0.05,0.9257429448826494
1.2,0.89,0.07,-0.04,0.8936442245099557
1.21,0.86,0.01,-0.03,0.8605811989580064
1.22,0.88,-0.02,-0.04,0.8811356308764275
1.23,0.85,0.06,-0.01,0.8521736912155878
1.24,0.86,-0.02,-0.01,0.8602906485601246
1.25,0.85,-0.015,0.005,0.8501470461043783
1.26,0.81,-0.05,0.03,0.8120960534321049
1.27,0.84,-0.02,0.04,0.8411896337925235
1.28,0.79,-0.08,0.04,0.7950471684120384
1.29,0.8,-0.02,0.06,0.8024961059095552
1.3,0.81,-0.08,0.07,0.8169455306200041
1.31,0.8,-0.05,0.1,0.8077747210701757
1.32,0.8,0.01,0.13,0.8105553651663778
1.33,0.78,-0.05,0.13,0.7923383115816123
1.34,0.76,0.0,0.14,0.7727871634544663
1.35,0.78,-0.05,0.13,0.7923383115816123
1.36,0.75,-0.06,0.12,0.7619055059520177
1.37,0.74,-0.075,0.13,0.7550662222613325
1.38,0.72,-0.13,0.14,0.7449161026585477
1.39,0.71,-0.15,0.14,0.739053448676075
1.4,0.7,-0.17,0.14,0.7338255923582931
1.41,0.7,-0.16,0.14,0.7315736463268752
1.42,0.7,-0.17,0.14,0.7338255923582931
1.43,0.7,-0.17,0.15,0.735798885565886
1.44,0.71,-0.17,0.16,0.7473954776421918
1.45,0.71,-0.19,0.16,0.7521967827636595
1.46,0.74,-0.18,0.17,0.7803204469959761
1.47,0.74,-0.19,0.18,0.7849203781276162
1.48,0.77,-0.18,0.18,0.8109870529176159
1.49,0.79,-0.19,0.18,0.8322259308625273
1.5,1.045,-0.21,0.21,1.0863816088281317
1.51,1.12,-0.22,0.2,1.158792474949678
1.52,1.1,-0.21,0.2,1.13758516164725
1.53,1.1,-0.2,0.19,1.1340634902861482
1.54,1.09,-0.21,0.19,1.1261882613488743
1.55,1.07,-0.2,0.19,1.1049886877249016
1.56,1.07,-0.2,0.2,1.1067520047418031
1.57,1.06,-0.2,0.21,1.0989540481748998
1.58,1.07,-0.19,0.19,1.1032225523438144
1.59,1.13,-0.19,0.19,1.1615076409563563
1.6,1.2,-0.2,0.2,1.2328828005937953
1.61,1.25,-0.21,0.21,1.2847957036042734
1.62,1.3050000000000002,-0.21,0.195,1.3360950564986012
1.63,1.37,-0.2,0.18,1.3961733416735904
1.64,1.4,-0.21,0.17,1.4258330898110059
1.65,1.42,-0.22,0.16,1.4458215657542253
1.66,1.43,-0.22,0.17,1.456777265061478
1.67,1.41,-0.24,0.17,1.440347180370066
1.68,1.38,-0.25,0.17,1.4127278577277365
1.69,1.34,-0.26,0.17,1.3755362590640787
1.7,1.3,-0.25,0.16,1.3334541611919024
1.71,1.28,-0.24,0.14,1.3098091464026353
1.72,1.25,-0.24,0.12,1.2784756548327387
1.73,1.23,-0.23,0.1,1.255308726967195
1.74,1.22,-0.23,0.08,1.244065914652435
1.75,1.21,-0.235,0.060000000000000005,1.2340684745993635
1.76,1.21,-0.23,0.03,1.2320308437697491
1.77,1.21,-0.23,0.01,1.2317061337835418
1.78,1.2,-0.23,0.0,1.2218428704215611
1.79,1.18,-0.23,0.0,1.2022063050907692
1.8,1.15,-0.24,0.0,1.1747765745025731
1.81,1.13,-0.2,0.01,1.1476062042355817
1.82,1.07,-0.21,0.02,1.090596167240652
1.83,1.04,-0.19,0.02,1.0574024777727733
1.84,0.99,-0.21,0.01,1.0120770721639731
1.85,0.95,-0.19,0.0,0.9688137075826291
1.86,0.91,-0.21,0.0,0.9339164844888435
1.87,0.84,-0.225,0.005,0.8696263565463043
1.88,0.79,-0.23,0.0,0.8228000972289685
1.89,0.76,-0.22,0.0,0.7912016177940993
1.9,0.75,-0.23,0.0,0.7844743462982074
1.91,0.71,-0.21,0.0,0.7404052944165108
1.92,0.7,-0.21,0.0,0.7308214556237385
1.93,0.7,-0.19,0.0,0.7253275122315435
1.94,0.68,-0.18,0.0,0.703420215802759
1.95,0.66,-0.17,0.0,0.6815423684555495
1.96,0.66,-0.16,0.0,0.6791170738539858
1.97,0.67,-0.15,0.01,0.6866585760041158
1.98,0.66,-0.15,0.01,0.6769047200308179
1.99,0.66,-0.15,0.02,0.677126280689208
2.0,0.67,-0.15500000000000003,0.02,0.6879861917218979
2.01,0.68,-0.16,0.02,0.698856208386246
2.02,0.71,-0.16,0.02,0.7280796659706957
