time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.965,0.03,0.22,0.9902152579162358
0.01,0.96,0.03,0.22,0.9853425800197615
0.02,0.96,0.03,0.22,0.9853425800197615
0.03,0.96,0.03,0.22,0.9853425800197615
0.04,0.96,0.03,0.22,0.9853425800197615
0.05,0.96,0.03,0.22,0.9853425800197615
0.06,0.96,0.03,0.22,0.9853425800197615
0.07,0.96,0.03,0.22,0.9853425800197615
0.08,0.96,0.03,0.22,0.9853425800197615
0.09,0.96,0.03,0.22,0.9853425800197615
0.1,0.95,0.03,0.22,0.975602378020882
0.11,0.95,0.03,0.21,0.9733961166965892
0.12,0.95,0.03,0.21,0.9733961166965892
0.13,0.95,0.02,0.21,0.973139250056229
0.14,0.95,0.02,0.21,0.973139250056229
0.15,0.96,0.03,0.21,0.9831581764904364
0.16,0.96,0.03,0.21,0.9831581764904364
0.17,0.96,0.03,0.21,0.9831581764904364
0.18,0.96,0.03,0.21,0.9831581764904364
0.19,0.96,0.03,0.21,0.9831581764904364
0.2,0.95,0.04,0.21,0.973755616158387
0.21,0.95,0.04,0.21,0.973755616158387
0.22,0.95,0.03,0.22,0.975602378020882
0.23,0.95,0.03,0.22,0.975602378020882
0.24,0.95,0.03,0.22,0.975602378020882
0.25,0.96,0.03,0.22,0.9853425800197615
0.26,0.96,0.03,0.22,0.9853425800197615
0.27,0.96,0.03,0.22,0.9853425800197615
0.28,0.96,0.02,0.22,0.9850888284819801
0.29,0.96,0.02,0.22,0.9850888284819801
0.3,0.96,0.03,0.23,0.9876234100101111
0.31,0.96,0.03,0.22,0.9853425800197615
0.32,0.96,0.03,0.22,0.9853425800197615
0.33,0.96,0.03,0.22,0.9853425800197615
0.34,0.96,0.02,0.22,0.9850888284819801
0.35,0.95,0.02,0.22,0.9753460924205315
0.36,0.94,0.02,0.22,0.9656086163658648
0.37,0.94,0.03,0.22,0.9658674857349738
0.38,0.95,0.03,0.22,0.975602378020882
0.39,0.95,0.03,0.22,0.975602378020882
0.4,0.96,0.02,0.22,0.9850888284819801
0.41,0.98,0.02,0.22,1.0045894683899488
0.42,1.0,0.02,0.21,1.0220078277586724
0.43,1.01,0.03,0.21,1.0320368210485515
0.44,1.02,0.02,0.22,1.04364745005198
0.45,0.99,0.02,0.225,1.015468033627959
0.46,0.93,0.02,0.24,0.9606768447297979
0.47,0.89,0.01,0.24,0.9218459741193211
0.48,0.86,0.01,0.24,0.8929165694509201
0.49,0.84,0.0,0.24,0.8736131867136622
0.5,0.84,0.0,0.24,0.8736131867136622
0.51,0.85,0.01,0.24,0.8832893070789434
0.52,0.87,0.02,0.24,0.9027181176868003
0.53,0.89,0.03,0.25,0.9249324299644812
0.54,0.915,0.055,0.26,0.9528582632181694
0.55,0.94,0.06,0.3,0.9885342685005917
0.56,0.96,0.04,0.33,1.0159232254457027
0.57,0.96,0.02,0.33,1.015332457867865
0.58,0.96,0.0,0.33,1.0151354589413177
0.59,0.96,-0.02,0.33,1.015332457867865
0.6,0.96,-0.02,0.35,1.0220078277586724
0.61,0.96,-0.03,0.35,1.0222524150130436
0.62,0.96,-0.05,0.36,1.026498904042279
0.63,0.97,-0.04,0.375,1.0407433661804848
0.64,0.97,-0.05,0.4,1.0504284840006957
0.65,1.0,-0.09,0.46,1.1044002897500524
0.66,1.03,-0.16,0.51,1.1604309544302926
0.67,1.03,-0.24,0.52,1.178516016013359
0.68,1.04,-0.37,0.53,1.2244998979175132
0.69,1.06,-0.43,0.64,1.3107631364972088
0.7,1.05,-0.46,0.64,1.3128975588369414
0.71,1.0,-0.4,0.59,1.22804723036209
0.72,0.96,-0.31000000000000005,0.525,1.1377440457558208
0.73,0.96,-0.22,0.5,1.104536101718726
0.74,0.96,-0.17,0.54,1.1144954015158608
0.75,0.93,-0.13,0.56,1.0933434958877288
0.76,0.91,-0.06,0.58,1.0807867504739315
0.77,0.87,-0.05,0.61,1.0637198879404295
0.78,0.84,0.0,0.62,1.0440306508910548
0.79,0.83,0.01,0.64,1.0481412118603104
0.8,0.81,0.0,0.63,1.0261578825892244
0.81,0.77,-0.05,0.605,0.9809396798993923
0.82,0.76,-0.09,0.53,0.9309135298189624
0.83,0.8,-0.12,0.49,0.9457801012920498
0.84,0.84,-0.14,0.45,0.9631718434422799
0.85,0.88,-0.15,0.43,0.9908582138732059
0.86,0.92,-0.13,0.41,1.0155786527886455
0.87,0.96,-0.1,0.39,1.0410091258005378
0.88,0.99,-0.05,0.41,1.072706856508338
0.89,1.05,-0.07,0.42,1.133048983936705
0.9,1.0350000000000001,-0.04,0.38,1.1033351471479245
0.91,1.04,-0.07,0.38,1.109459327780879
0.92,1.02,-0.08,0.37,1.0879797792238604
0.93,1.01,-0.1,0.35,1.0735921013122256
0.94,0.99,-0.12,0.33,1.0504284840006957
0.95,0.98,-0.1,0.33,1.0388936422945325
0.96,0.95,-0.11,0.31,1.0053357648069623
0.97,0.92,-0.11,0.31,0.9770363350459388
0.98,0.86,-0.13,0.29,0.9168424073961675
0.99,0.82,-0.14,0.27,0.874585616163449
1.0,0.785,-0.14,0.26,0.8387229873444668
1.01,0.74,-0.14,0.24,0.7904429138147802
1.02,0.69,-0.16,0.23,0.7447147104764347
1.03,0.65,-0.15,0.22,0.7024243731534379
1.04,0.62,-0.15,0.22,0.6747592163134936
1.05,0.58,-0.15,0.2,0.6315853069855252
1.06,0.56,-0.11,0.21,0.6081764841449268
1.07,0.56,-0.09,0.23,0.6120457499239743
1.08,0.57,-0.06,0.23,0.6175759062657804
1.09,0.59,-0.05,0.24,0.6389053137985314
1.1,0.61,-0.03,0.25,0.6599242380758567
1.11,0.63,-0.02,0.27,0.6857113095173508
1.12,0.65,0.0,0.29,0.7117583859709699
1.13,0.69,-0.01,0.33999999999999997,0.7693393490646423
1.14,0.74,0.02,0.39,0.8367197858303579
1.15,0.77,0.02,0.38,0.858894638474359
1.16,0.79,0.05,0.36,0.8695976080923866
1.17,0.81,0.05,0.34,0.8798863562983575
1.18,0.83,0.08,0.33,0.8967719888578144
1.19,0.86,0.08,0.32,0.9210863151735563
1.2,0.895,0.08,0.3,0.9474328075245881
1.21,0.94,0.09,0.28,0.9849365461794988
1.22,0.99,0.09,0.27,1.0300970828033638
1.23,1.04,0.1,0.26,1.0766615066955818
1.24,1.09,0.1,0.25,1.1227644454648535
1.25,1.15,0.1,0.24,1.1790250209389113
1.26,1.25,0.1,0.245,1.2777055258782561
1.27,1.35,0.1,0.26,1.3784411485442534
1.28,1.4,0.09,0.25,1.4249912280431762
1.29,1.44,0.08,0.26,1.4654692081377896
1.3,1.46,0.06,0.27,1.485967698168436
1.31,1.45,0.05,0.26,1.4739742195845897
1.32,1.44,0.03,0.27,1.4654009690183776
1.33,1.45,0.07500000000000001,0.3,1.4828483374034953
1.34,1.45,0.11,0.29,1.4828014027508876
