time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.885,-0.18,0.24,0.9344650876303513
0.01,0.88,-0.17,0.23,0.9253107586103169
0.02,0.87,-0.17,0.23,0.9158056562393574
0.03,0.86,-0.17,0.21,0.901443287178955
0.04,0.87,-0.16,0.2,0.9069178573608527
0.05,0.88,-0.15,0.19,0.9126883367283708
0.06,0.9,-0.16,0.19,0.9336487562247379
0.07,0.925,-0.135,0.195,0.954921462739214
0.08,0.94,-0.12,0.21,0.9706183596038146
0.09,0.95,-0.1,0.2,0.9759610647971567
0.1,0.96,-0.08,0.21,0.9859513172565875
0.11,0.96,-0.07,0.21,0.985190336940025
0.12,0.96,-0.05,0.2,0.9818859404228171
0.13,0.96,-0.05,0.21,0.9839715443040007
0.14,0.96,-0.04,0.2,0.9814275317108238
0.15,0.97,-0.015,0.21,0.9925850089538931
0.16,0.97,0.0,0.21,0.9924716620639604
0.17,0.98,0.0,0.22,1.0043903623591774
0.18,0.97,0.0,0.22,0.9946356116689167
0.19,0.97,0.01,0.22,0.9946858800646564
0.2,0.97,0.01,0.23,0.9969453345093702
0.21,0.97,0.02,0.23,0.9970957827611147
0.22,0.97,0.02,0.23,0.9970957827611147
0.23,0.965,0.015,0.24,0.9945099295633
0.24,0.96,0.01,0.24,0.9895958771134811
0.25,0.95,0.01,0.24,0.9798979538707079
0.26,0.95,0.01,0.24,0.9798979538707079
0.27,0.94,0.01,0.24,0.9702061636580134
0.28,0.94,0.0,0.24,0.9701546268507922
0.29,0.94,0.0,0.23,0.9677293009927931
0.3,0.955,-0.015,0.235,0.9836030703490102
0.31,0.97,-0.03,0.24,0.9996999549864949
0.32,0.98,-0.03,0.25,1.011830025251277
0.33,0.98,-0.04,0.25,1.0121758740456126
0.34,0.99,-0.05,0.25,1.02230132544177
0.35,0.99,-0.05,0.24,1.019901956072249
0.36,1.0,-0.06,0.24,1.030145620774073
0.37,1.0,-0.06,0.24,1.030145620774073
0.38,1.01,-0.07,0.24,1.0404806581575652
0.39,1.01,-0.08,0.24,1.0412012293500235
0.4,1.02,-0.09,0.24,1.0517128885774862
0.41,1.02,-0.09,0.24,1.0517128885774862
0.42,1.02,-0.09,0.24,1.0517128885774862
0.43,1.01,-0.09,0.24,1.0420172743289815
0.44,1.01,-0.09,0.24,1.0420172743289815
0.45,1.0,-0.09,0.24,1.0323274674249445
0.46,1.0,-0.09,0.23,1.030048542545447
0.47,1.0,-0.09,0.24,1.0323274674249445
0.48,1.0,-0.09,0.23,1.030048542545447
0.49,1.0,-0.09,0.24,1.0323274674249445
0.5,1.0,-0.09,0.24,1.0323274674249445
0.51,1.01,-0.1,0.24,1.0429285689825551
0.52,1.02,-0.11,0.25,1.0559356040971437
0.53,1.0350000000000001,-0.125,0.25,1.0720774225773064
0.54,1.04,-0.13,0.25,1.0774970997640783
0.55,1.04,-0.13,0.25,1.0774970997640783
0.56,1.05,-0.14,0.25,1.088393311262064
0.57,1.06,-0.15,0.25,1.0993634521849451
0.58,1.07,-0.16,0.25,1.110405331399305
0.59,1.07,-0.18,0.26,1.1157508682497181
0.6,1.07,-0.2,0.26,1.1191514642799696
0.61,1.0750000000000002,-0.24,0.26,1.1317353931021157
0.62,1.08,-0.31,0.27,1.1555950847939775
0.63,1.07,-0.33,0.27,1.1518246394308467
0.64,1.06,-0.33,0.28,1.1449454135459909
0.65,1.04,-0.32,0.27,1.1211155159036914
0.66,1.02,-0.29,0.25,1.089495295997188
0.67,1.01,-0.25,0.22,1.0634848376916335
0.68,1.02,-0.2,0.21,1.0604244433244643
0.69,1.07,-0.16,0.195,1.0993293410075071
0.7,1.11,-0.15,0.22,1.1414902540100813
0.71,1.11,-0.15,0.24,1.145512985522207
0.72,1.1,-0.16,0.26,1.141577855426427
0.73,1.07,-0.17,0.25,1.1118902823570318
0.74,1.02,-0.18,0.23,1.0609901036296239
0.75,0.96,-0.17,0.21,0.9972963451251589
0.76,0.895,-0.15000000000000002,0.15500000000000003,0.9206247878479049
0.77,0.86,-0.13,0.11,0.8766983517721474
0.78,0.86,-0.12,0.09,0.8729833904490967
0.79,0.87,-0.12,0.08,0.8818730067305609
0.8,0.9,-0.14,0.06,0.9127978965795221
0.81,0.92,-0.14,0.05,0.9319334740205439
0.82,0.94,-0.15,0.05,0.9532051195833979
0.83,0.96,-0.15,0.05,0.9729337079164232
0.84,0.975,-0.165,0.045,0.989886357113785
0.85,0.98,-0.18,0.05,0.9976472322419382
0.86,0.96,-0.2,0.04,0.9814275317108238
0.87,0.94,-0.21,0.04,0.9640020746865642
0.88,0.9,-0.19,0.04,0.9207062506576135
0.89,0.87,-0.19,0.04,0.8914033879226622
0.9,0.82,-0.19,0.04,0.8426743143112884
0.91,0.79,-0.18,0.04,0.8112336284942828
0.92,0.745,-0.15000000000000002,0.05,0.7615937237136345
0.93,0.72,-0.13,0.06,0.7340980860893183
0.94,0.7,-0.13,0.05,0.713722635202219
0.95,0.69,-0.15,0.04,0.7072481884034769
0.96,0.67,-0.17,0.03,0.6918814927427963
0.97,0.65,-0.2,0.02,0.6803675477269621
0.98,0.64,-0.22,0.01,0.6768308503607087
0.99,0.64,-0.23,0.02,0.6803675477269621
1.0,0.69,-0.22,0.07,0.7275987905432498
1.01,0.76,-0.21,0.12,0.7975587752636165
1.02,0.79,-0.2,0.15,0.828613299434664
1.03,0.82,-0.18,0.17,0.8565628990331066
1.04,0.84,-0.17,0.18,0.875728268357257
1.05,0.85,-0.16,0.19,0.8855506761332181
1.06,0.86,-0.16,0.19,0.8951536181013848
1.07,0.86,-0.16,0.19,0.8951536181013848
1.08,0.86,-0.16,0.19,0.8951536181013848
1.09,0.87,-0.165,0.21000000000000002,0.9100686787270509
1.1,0.87,-0.17,0.23,0.9158056562393574
1.11,0.87,-0.17,0.24,0.9183681179135086
1.12,0.87,-0.17,0.25,0.9210320298447824
1.13,0.88,-0.16,0.27,0.9342911751697112
1.14,0.89,-0.16,0.29,0.9496315074806648
1.15,0.9,-0.16,0.3,0.9620810776644555
1.16,0.91,-0.16,0.3,0.9714422267947795
1.17,0.94,-0.16,0.31,1.002646498024104
1.18,0.98,-0.17,0.31,1.0418253212511202
1.19,1.02,-0.18,0.32,1.0840664186294122
1.2,1.05,-0.19,0.33,1.116915395184434
1.21,1.08,-0.2,0.34,1.1497825881443848
1.22,1.1,-0.2,0.35,1.1715374513859982
1.23,1.11,-0.21,0.37,1.188738827497445
1.24,1.12,-0.21,0.38,1.201207725582882
1.25,1.08,-0.22,0.38,1.1658473313431739
1.26,1.09,-0.21,0.39,1.1765627905046123
1.27,1.06,-0.18,0.37,1.1370576062803504
1.28,1.05,-0.16,0.33,1.1122050170719426
1.29,1.05,-0.13,0.32,1.105350623105628
1.3,1.09,-0.13,0.31,1.1406577050105786
1.31,1.07,-0.13,0.32,1.1243664882946307
1.32,1.1,-0.12,0.33,1.1546861045323098
1.33,1.12,-0.09,0.34,1.1739250401963492
1.34,1.14,-0.1,0.34,1.1938174064738711
1.35,1.15,-0.11,0.36,1.210041321608481
1.36,1.22,-0.07,0.365,1.2753528923399984
1.37,1.25,-0.06,0.37,1.3049904214207857
1.38,1.2,-0.07,0.36,1.2547908192204786
1.39,1.13,-0.07,0.35,1.185031645147082
1.4,1.08,-0.06,0.33,1.1308846094982459
1.41,1.05,-0.06,0.3,1.0936635680134912
1.42,1.03,-0.05,0.27,1.0659737332598773
1.43,1.02,-0.04,0.24,1.0486181383134663
1.44,1.03,-0.05,0.22,1.0544192714475584
1.45,1.07,-0.055,0.21,1.0917989741706118
1.46,1.13,-0.06,0.22,1.1527792503337313
1.47,1.15,-0.07,0.24,1.1768602295939818
1.48,1.17,-0.07,0.25,1.1984573417523043
1.49,1.17,-0.08,0.25,1.1990829829498872
1.5,1.15,-0.09,0.23,1.176222768016331
1.51,1.13,-0.1,0.21,1.1536897329871665
1.52,1.11,-0.11,0.19,1.1315034246523517
1.53,1.09,-0.11,0.18,1.1102252023801298
1.54,1.03,-0.13,0.155,1.0496785222152543
1.55,0.97,-0.15,0.14,0.9914635646356349
1.56,0.94,-0.15,0.14,0.9621330469326993
1.57,0.93,-0.15,0.14,0.9523654760647301
1.58,0.89,-0.15,0.14,0.9133454987024351
1.59,0.88,-0.12,0.14,0.8991106717195608
1.6,0.88,-0.11,0.14,0.8978307190111062
1.61,0.87,-0.1,0.14,0.8868483523128404
1.62,0.86,-0.08,0.13,0.8734414691323054
