time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.92,0.36,0.17,1.0024470060806208
0.01,0.93,0.37,0.165,1.0144206911279783
0.02,0.9316666666666668,0.37,0.16666666666666669,1.0162198320721028
0.03,0.9333333333333333,0.37,0.16833333333333333,1.0180189730162275
0.04,0.935,0.37,0.17,1.019818113960352
0.05,0.94,0.365,0.165,1.0218088246185526
0.06,0.95,0.36,0.16,1.0284454287904634
0.07,0.945,0.355,0.16,1.0220858849441503
0.08,0.94,0.35,0.16,1.0157263410978372
0.09,0.94,0.345,0.16,1.0140251999426693
0.1,0.94,0.34,0.16,1.012324058787501
0.11,0.94,0.34,0.16,1.012324058787501
0.12,0.94,0.34,0.16,1.012324058787501
0.13,0.93,0.33,0.16,0.999699954986495
0.14,0.93,0.33,0.16,0.999699954986495
0.15,0.93,0.32,0.15,0.9948869282486328
0.16,0.92,0.32,0.16,0.9871170143402453
0.17,0.92,0.32,0.16,0.9871170143402453
0.18,0.9166666666666667,0.32,0.15833333333333333,0.9837481512639691
0.19,0.9133333333333333,0.32,0.15666666666666668,0.9803792881876929
0.2,0.91,0.32,0.155,0.9770104251114167
0.21,0.915,0.32,0.155,0.9816745977414623
0.22,0.92,0.32,0.15,0.9855455342093535
0.23,0.92,0.33,0.15,0.9888377015466189
0.24,0.9233333333333333,0.33,0.15,0.9919412295566951
0.25,0.9266666666666667,0.33,0.15,0.9950447575667714
0.26,0.93,0.33,0.15,0.9981482855768475
0.27,0.93,0.34,0.14,1.0000499987500626
0.28,0.93,0.34,0.14,1.0000499987500626
0.29,0.9277777777777778,0.34222222222222226,0.14,0.9987538386634633
0.3,0.9255555555555556,0.34444444444444444,0.14,0.9974576785768641
0.31,0.9233333333333333,0.3466666666666667,0.14,0.9961615184902648
0.32,0.9255555555555556,0.3461111111111111,0.14,0.998031661509215
0.33,0.9277777777777778,0.34555555555555556,0.14,0.9999018045281652
0.34,0.93,0.345,0.14,1.0017719475471154
0.35,0.925,0.34,0.14,0.9954036424350647
0.36,0.9225000000000001,0.34,0.14,0.9930804642775658
0.37,0.92,0.34,0.14,0.9907572861200669
0.38,0.915,0.34,0.14,0.9861178813526321
0.39,0.9125000000000001,0.34,0.14,0.9837981789689147
0.4,0.91,0.34,0.14,0.9814784765851975
0.41,0.91,0.335,0.135,0.9790782598749417
0.42,0.91,0.3325,0.1325,0.9778781515198138
0.43,0.91,0.33,0.13,0.9766780431646859
0.44,0.915,0.33,0.13,0.9813400357800828
0.45,0.9175,0.33,0.135,0.9843551402099266
0.46,0.92,0.33,0.14,0.9873702446397704
0.47,0.92,0.33125000000000004,0.14,0.9877936248248075
0.48,0.92,0.3325,0.14,0.9882170050098444
0.49,0.92,0.33375,0.14,0.9886403851948815
0.5,0.92,0.335,0.14,0.9890637653799186
0.51,0.92,0.345,0.14500000000000002,0.9932240005757986
0.52,0.915,0.3475,0.14750000000000002,0.9898411559549178
0.53,0.91,0.35,0.15,0.986458311334037
0.54,0.91,0.36,0.15,0.9900505037623081
0.55,0.91,0.3575,0.15166666666666667,0.9894141270453218
0.56,0.91,0.355,0.15333333333333332,0.9887777503283355
0.57,0.91,0.3524999999999999,0.15499999999999997,0.9881413736113491
0.58,0.91,0.3499999999999999,0.15666666666666665,0.9875049968943629
0.59,0.92,0.35,0.16,0.9972462083156797
0.6,0.92,0.35,0.16,0.9972462083156797
0.61,0.92,0.35,0.16,0.9972462083156797
0.62,0.93,0.35,0.16,1.0064790112068907
0.63,0.9275,0.35,0.16,1.0041708104840879
0.64,0.925,0.35,0.16,1.001862609761285
0.65,0.92,0.35,0.16,0.9972462083156797
0.66,0.92,0.35,0.1575,0.9968573349946424
0.67,0.92,0.35,0.155,0.996468461673605
0.68,0.92,0.35,0.15,0.9956907150315303
0.69,0.92,0.35,0.1525,0.9960795883525677
0.7,0.92,0.35,0.155,0.996468461673605
0.71,0.92,0.35,0.16,0.9972462083156797
0.72,0.92,0.345,0.16,0.9955134341100336
0.73,0.92,0.34,0.16,0.9937806599043876
0.74,0.92,0.34,0.16,0.9937806599043876
0.75,0.925,0.34,0.16,0.9984130113934224
0.76,0.93,0.34,0.16,1.0030453628824572
0.77,0.93,0.34,0.16,1.0030453628824572
0.78,0.93,0.34,0.16,1.0030453628824572
0.79,0.93,0.34,0.16,1.0030453628824572
0.8,0.92,0.34,0.16,0.9937806599043876
0.81,0.92,0.34,0.16,0.9937806599043876
0.82,0.92,0.34,0.16,0.9937806599043876
0.83,0.91,0.35,0.16,0.9880283396745257
0.84,0.9,0.35,0.16,0.9788258272031853
0.85,0.89,0.34,0.16,0.9660745312862771
0.86,0.89,0.34,0.16,0.9660745312862771
0.87,0.89,0.34,0.165,0.9669277491205469
0.88,0.89,0.34,0.17,0.9677809669548167
0.89,0.895,0.34,0.17,0.9723830627455075
0.9,0.8975,0.34,0.175,0.97557890350244
0.91,0.9,0.34,0.18,0.9787747442593725
0.92,0.915,0.345,0.185,0.9952373076653812
0.93,0.9225000000000001,0.3475,0.1925,1.004422363369233
0.94,0.93,0.35,0.2,1.0136074190730848
0.95,0.94,0.36,0.2,1.0262553288533998
0.96,0.9533333333333334,0.3566666666666667,0.20500000000000002,1.0383479417811128
0.97,0.9666666666666667,0.35333333333333333,0.21,1.0504405547088258
0.98,0.9694444444444444,0.35388888888888886,0.21333333333333332,1.0538614647528346
0.99,0.9722222222222222,0.35444444444444445,0.21666666666666667,1.0572823747968432
1.0,0.975,0.355,0.22,1.060703284840852
1.01,0.9450000000000001,0.36,0.21,1.032841538819263
1.02,0.9225000000000001,0.3575,0.20500000000000002,1.0103921876682331
1.03,0.9,0.355,0.2,0.9879428365172032
1.04,0.8866666666666667,0.35,0.19666666666666668,0.973324177815012
1.05,0.8733333333333333,0.34500000000000003,0.19333333333333333,0.958705519112821
1.06,0.86,0.34,0.19,0.9440868604106298
1.07,0.855,0.33,0.18,0.9339855724903279
1.08,0.8525,0.325,0.18,0.9299452676079923
1.09,0.85,0.32,0.18,0.9259049627256568
1.1,0.865,0.32,0.18,0.9396961298835095
1.11,0.8674999999999999,0.32,0.175,0.9410698810750913
1.12,0.87,0.32,0.17,0.942443632266673
1.13,0.8677777777777778,0.33999999999999997,0.16444444444444445,0.9469393374102972
1.14,0.8655555555555555,0.36,0.15888888888888889,0.9514350425539213
1.15,0.8633333333333333,0.37999999999999995,0.15333333333333332,0.9559307476975455
1.16,0.86,0.44,0.13,0.9747307320486002
1.17,0.855,0.45,0.12,0.973729427196587
1.18,0.85,0.46,0.11,0.9727281223445737
1.19,0.84,0.49,0.09,0.9766268478799873
1.2,0.83,0.52,0.07,0.9819368615140182
1.21,0.83,0.565,0.06,1.0059219739007876
1.22,0.84,0.5733333333333333,0.049999999999999996,1.0184859384286078
1.23,0.85,0.5816666666666667,0.039999999999999994,1.0310499029564277
1.24,0.86,0.59,0.03,1.043613867484248
1.25,0.89,0.58,0.0,1.0623088063270492
1.26,0.89,0.585,-0.005,1.0650785550802553
1.27,0.89,0.59,-0.01,1.0678483038334612
1.28,0.895,0.64,-0.015,1.1005642851433293
1.29,0.86,0.72,-0.02,1.1217842929904127
1.3,0.85,0.73,-0.025,1.1208251782052492
1.31,0.84,0.74,-0.03,1.1198660634200859
1.32,0.8374999999999999,0.74,-0.02,1.1178387856684457
1.33,0.835,0.74,-0.01,1.1158115079168058
1.34,0.82,0.73,0.02,1.098043714976776
1.35,0.8049999999999999,0.7125,0.0325,1.0756157817370902
1.36,0.79,0.6950000000000001,0.045,1.0531878484974042
1.37,0.77,0.67,0.06,1.0224480426897007
1.38,0.76,0.67,0.065,1.0152825496925018
1.39,0.75,0.67,0.07,1.0081170566953026
1.4,0.72,0.67,0.07,0.9860020283954796
1.41,0.6975,0.6725000000000001,0.065,0.9712530398076686
1.42,0.675,0.675,0.06,0.9565040512198577
1.43,0.668888888888889,0.6766666666666667,0.06222222222222222,0.9535608992054299
1.44,0.6627777777777778,0.6783333333333333,0.06444444444444444,0.9506177471910021
1.45,0.6566666666666667,0.68,0.06666666666666667,0.9476745951765743
1.46,0.655,0.665,0.06,0.9353608913903396
1.47,0.6575,0.6575,0.065,0.9321694121949136
1.48,0.66,0.65,0.07,0.9289779329994874
1.49,0.6766666666666666,0.6566666666666667,0.07111111111111112,0.9456518445492852
1.5,0.6933333333333334,0.6633333333333333,0.07222222222222223,0.9623257560990829
1.51,0.71,0.67,0.07333333333333335,0.9789996676488807
1.52,0.7233333333333333,0.6766666666666666,0.07055555555555557,0.9930732748427876
1.53,0.7366666666666667,0.6833333333333333,0.06777777777777778,1.0071468820366947
1.54,0.75,0.69,0.065,1.0212204892306016
1.55,0.78,0.7,0.07,1.050380883299006
1.56,0.8025,0.7,0.07,1.0673204390345543
1.57,0.825,0.7,0.07,1.0842599947701026
1.58,0.86,0.7,0.08,1.1117553687749835
1.59,0.87,0.7066666666666667,0.08333333333333333,1.1239379444755537
1.6,0.88,0.7133333333333333,0.08666666666666667,1.1361205201761237
1.61,0.89,0.72,0.09,1.148303095876694
1.62,0.895,0.72,0.09,1.1521870139782777
1.63,0.9,0.72,0.09,1.1560709320798617
1.64,0.91,0.715,0.09,1.1607930542897833
1.65,0.92,0.7024999999999999,0.09,1.1611503476230698
1.66,0.93,0.69,0.09,1.1615076409563563
1.67,0.96,0.67,0.08,1.1734138229968147
1.68,1.0,0.64,0.07,1.1893275410920239
1.69,1.0699999999999998,0.62,0.07,1.23974128526808
1.7,1.14,0.6,0.07,1.2901550294441362
1.71,1.22,0.58,0.07,1.3526640381114594
1.72,1.29,0.57,0.06,1.4115948427222311
1.73,1.3033333333333335,0.5533333333333333,0.06,1.4174967378916556
1.74,1.3166666666666667,0.5366666666666666,0.06,1.4233986330610804
1.75,1.33,0.52,0.06,1.429300528230505
1.76,1.26,0.4675,0.0625,1.3461251076913685
1.77,1.1900000000000002,0.41500000000000004,0.065,1.262949687152232
1.78,1.12,0.36250000000000004,0.0675,1.1797742666130957
1.79,0.97,0.27,0.07,1.0093066927351666
1.8,0.955,0.265,0.065,0.9932226863798277
1.81,0.94,0.26,0.06,0.9771386800244887
1.82,0.93,0.26,0.05,0.9669539802906858
1.83,0.9383333333333334,0.23333333333333334,0.023333333333333334,0.9684197123575116
1.84,0.9466666666666667,0.20666666666666667,-0.0033333333333333335,0.9698854444243374
1.85,0.9477777777777777,0.14111111111111113,-0.005555555555555556,0.9633614744636239
1.86,0.9488888888888889,0.07555555555555557,-0.0077777777777777776,0.9568375045029103
1.87,0.95,0.009999999999999998,-0.01,0.9503135345421967
1.88,0.94,0.009999999999999998,-0.015,0.9403724720998121
1.89,0.9299999999999999,0.009999999999999998,-0.019999999999999997,0.9304314096574277
1.9,0.92,0.01,-0.024999999999999998,0.9204903472150432
1.91,0.91,0.01,-0.03,0.9105492847726586
1.92,0.915,0.034999999999999996,-0.035,0.9166855221887025
1.93,0.92,0.06,-0.04,0.9228217596047463
1.94,0.945,0.12000000000000001,-0.035,0.9534394918796127
1.95,0.96,0.15,-0.02,0.9718538984847465
1.96,0.935,0.125,-0.01,0.9434595809213749
1.97,0.88,0.09,-0.02,0.8848163651289458
1.98,0.8574999999999999,0.0875,-0.02,0.862197503090016
1.99,0.835,0.08499999999999999,-0.02,0.8395786410510861
2.0,0.78,0.135,-0.015,0.7919251424960423
2.01,0.77,0.15333333333333335,-0.009999999999999998,0.7858475767824908
2.02,0.76,0.17166666666666666,-0.004999999999999999,0.7797700110689394
2.03,0.75,0.19,0.0,0.773692445355388
2.04,0.74,0.20500000000000002,0.0,0.7680613850204319
2.05,0.73,0.22,0.0,0.7624303246854757
2.06,0.715,0.27,0.005,0.7643943769253204
2.07,0.7,0.29,0.01,0.7577598564189053
2.08,0.705,0.295,0.015,0.7643990587334774
2.09,0.725,0.305,0.02,0.7868018534685972
2.1,0.7335,0.313,0.021,0.7978264663560359
2.11,0.742,0.321,0.022000000000000002,0.8088510792434745
2.12,0.7505000000000001,0.32899999999999996,0.023,0.8198756921309133
2.13,0.759,0.33699999999999997,0.024,0.8309003050183519
2.14,0.7675000000000001,0.345,0.025,0.8419249179057906
2.15,0.79,0.365,0.035,0.8712144426724372
2.16,0.8125,0.385,0.045,0.9005039674390839
2.17,0.835,0.405,0.055,0.9297934922057305
2.18,0.852,0.42000000000000004,0.07,0.9529950194290256
2.19,0.869,0.435,0.085,0.9761965466523208
2.2,0.886,0.45,0.1,0.9993980738756161
2.21,0.903,0.46499999999999997,0.11500000000000002,1.0225996010989111
2.22,0.92,0.48,0.13,1.0458011283222064
2.23,0.95,0.495,0.125,1.078512517595399
2.24,0.99,0.5,0.1,1.113597772986279
2.25,1.01,0.5,0.08,1.1298229949863827
2.26,1.06,0.52,0.07,1.1827517831752106
2.27,1.09,0.5333333333333333,0.07333333333333333,1.2157016366155886
2.28,1.1199999999999999,0.5466666666666667,0.07666666666666667,1.2486514900559664
2.29,1.15,0.56,0.08,1.2816013434963445
2.3,1.18,0.59,0.08,1.3217034463146413
2.31,1.17,0.5925,0.07500000000000001,1.3136558900150221
2.32,1.16,0.595,0.07,1.305608333715403
2.33,1.14,0.57,0.03,1.2749117616525465
2.34,1.1566666666666665,0.5666666666666667,0.028333333333333332,1.2884258390411776
2.35,1.1733333333333333,0.5633333333333334,0.02666666666666667,1.3019399164298087
2.36,1.19,0.56,0.025,1.3154539938184397
2.37,1.2333333333333334,0.6333333333333333,0.11,1.3913377626139252
2.38,1.2016666666666667,0.6541666666666667,0.12,1.3742156886000787
2.39,1.17,0.675,0.13,1.357093614586232
2.4,1.1400000000000001,0.6825,0.125,1.3347860929199369
2.41,1.11,0.69,0.12,1.3124785712536415
2.42,1.06,0.68,0.13,1.2660568707605517
2.43,1.01,0.66,0.12,1.2124768039018314
2.44,0.97,0.63,0.1,1.1609478885807063
2.45,0.95,0.575,0.07500000000000001,1.1130744005894093
2.46,0.96,0.5575,0.07250000000000001,1.1127296130441056
2.47,0.97,0.54,0.07,1.1123848254988018
2.48,0.99,0.54,0.06,1.1292918134831227
2.49,1.0150000000000001,0.5366666666666666,0.051666666666666666,1.149484811888418
2.5,1.04,0.5333333333333333,0.043333333333333335,1.169677810293713
2.51,1.055,0.5322222222222223,0.03388888888888889,1.1823299419576954
