X (g),Y (g),Z (g),Timestamp
0.9,0.37,0.11,2025-02-04 14:08:01
0.9,0.36,0.1,2025-02-04 14:08:01
0.9,0.36,0.1,2025-02-04 14:08:01
0.9,0.36,0.1,2025-02-04 14:08:01
0.9,0.36,0.1,2025-02-04 14:08:01
0.9,0.36,0.1,2025-02-04 14:08:01
0.9,0.36,0.1,2025-02-04 14:08:01
0.9,0.36,0.11,2025-02-04 14:08:01
0.89,0.35,0.1,2025-02-04 14:08:01
0.89,0.35,0.1,2025-02-04 14:08:01
0.89,0.35,0.1,2025-02-04 14:08:01
0.9,0.35,0.1,2025-02-04 14:08:01
0.91,0.35,0.1,2025-02-04 14:08:01
0.92,0.33,0.1,2025-02-04 14:08:01
0.93,0.31,0.11,2025-02-04 14:08:01
0.94,0.31,0.12,2025-02-04 14:08:01
0.93,0.39,0.1,2025-02-04 14:08:01
0.94,0.28,0.11,2025-02-04 14:08:01
0.93,0.3,0.11,2025-02-04 14:08:01
0.91,0.31,0.11,2025-02-04 14:08:01
0.91,0.32,0.1,2025-02-04 14:08:01
0.91,0.32,0.1,2025-02-04 14:08:01
0.91,0.31,0.1,2025-02-04 14:08:01
0.91,0.32,0.11,2025-02-04 14:08:01
0.91,0.32,0.1,2025-02-04 14:08:01
0.92,0.31,0.11,2025-02-04 14:08:01
0.93,0.32,0.11,2025-02-04 14:08:01
0.93,0.32,0.1,2025-02-04 14:08:01
0.94,0.32,0.1,2025-02-04 14:08:01
0.94,0.32,0.1,2025-02-04 14:08:01
0.94,0.32,0.09,2025-02-04 14:08:01
0.94,0.31,0.09,2025-02-04 14:08:01
0.94,0.31,0.09,2025-02-04 14:08:01
0.94,0.3,0.09,2025-02-04 14:08:01
0.94,0.3,0.09,2025-02-04 14:08:01
0.94,0.29,0.09,2025-02-04 14:08:01
0.94,0.29,0.09,2025-02-04 14:08:01
0.93,0.28,0.09,2025-02-04 14:08:01
0.93,0.28,0.1,2025-02-04 14:08:01
0.94,0.28,0.11,2025-02-04 14:08:01
0.93,0.27,0.11,2025-02-04 14:08:01
0.93,0.27,0.11,2025-02-04 14:08:01
0.93,0.26,0.1,2025-02-04 14:08:01
0.92,0.26,0.1,2025-02-04 14:08:01
0.92,0.26,0.1,2025-02-04 14:08:01
0.91,0.26,0.09,2025-02-04 14:08:01
0.91,0.26,0.09,2025-02-04 14:08:01
0.91,0.26,0.09,2025-02-04 14:08:01
0.91,0.26,0.09,2025-02-04 14:08:01
0.9,0.26,0.09,2025-02-04 14:08:01
0.9,0.27,0.1,2025-02-04 14:08:01
0.9,0.27,0.1,2025-02-04 14:08:01
0.9,0.27,0.1,2025-02-04 14:08:01
0.9,0.27,0.09,2025-02-04 14:08:01
0.9,0.28,0.09,2025-02-04 14:08:01
0.91,0.28,0.08,2025-02-04 14:08:01
0.91,0.28,0.08,2025-02-04 14:08:01
0.92,0.28,0.08,2025-02-04 14:08:01
0.92,0.28,0.09,2025-02-04 14:08:01
0.92,0.28,0.09,2025-02-04 14:08:01
0.91,0.28,0.09,2025-02-04 14:08:01
0.91,0.28,0.08,2025-02-04 14:08:01
0.91,0.29,0.08,2025-02-04 14:08:01
0.92,0.29,0.08,2025-02-04 14:08:01
0.92,0.29,0.08,2025-02-04 14:08:01
0.92,0.29,0.08,2025-02-04 14:08:01
0.92,0.29,0.08,2025-02-04 14:08:01
0.91,0.29,0.08,2025-02-04 14:08:01
0.9,0.29,0.08,2025-02-04 14:08:01
0.9,0.29,0.08,2025-02-04 14:08:01
0.9,0.29,0.08,2025-02-04 14:08:01
0.9,0.29,0.08,2025-02-04 14:08:01
0.9,0.3,0.09,2025-02-04 14:08:01
0.9,0.3,0.09,2025-02-04 14:08:01
0.9,0.31,0.09,2025-02-04 14:08:01
0.89,0.31,0.09,2025-02-04 14:08:01
0.89,0.31,0.09,2025-02-04 14:08:01
0.9,0.31,0.08,2025-02-04 14:08:01
0.9,0.31,0.08,2025-02-04 14:08:01
0.91,0.31,0.08,2025-02-04 14:08:01
0.92,0.31,0.08,2025-02-04 14:08:01
0.93,0.32,0.08,2025-02-04 14:08:01
0.93,0.32,0.08,2025-02-04 14:08:01
0.93,0.33,0.08,2025-02-04 14:08:01
0.94,0.33,0.09,2025-02-04 14:08:01
0.94,0.33,0.09,2025-02-04 14:08:01
0.95,0.33,0.09,2025-02-04 14:08:01
0.96,0.33,0.09,2025-02-04 14:08:01
0.96,0.33,0.1,2025-02-04 14:08:01
0.97,0.32,0.11,2025-02-04 14:08:01
0.97,0.32,0.11,2025-02-04 14:08:01
0.96,0.31,0.11,2025-02-04 14:08:01
0.95,0.31,0.1,2025-02-04 14:08:01
0.94,0.31,0.1,2025-02-04 14:08:01
0.94,0.31,0.1,2025-02-04 14:08:01
0.93,0.32,0.1,2025-02-04 14:08:02
0.93,0.32,0.1,2025-02-04 14:08:02
0.94,0.32,0.09,2025-02-04 14:08:02
0.94,0.32,0.09,2025-02-04 14:08:02
0.94,0.32,0.1,2025-02-04 14:08:02
0.94,0.32,0.1,2025-02-04 14:08:02
0.94,0.32,0.1,2025-02-04 14:08:02
0.93,0.31,0.1,2025-02-04 14:08:02
0.93,0.31,0.1,2025-02-04 14:08:02
0.93,0.3,0.1,2025-02-04 14:08:02
0.92,0.3,0.09,2025-02-04 14:08:02
0.91,0.29,0.08,2025-02-04 14:08:02
0.91,0.29,0.07,2025-02-04 14:08:02
0.9,0.29,0.07,2025-02-04 14:08:02
0.9,0.28,0.06,2025-02-04 14:08:02
0.9,0.27,0.07,2025-02-04 14:08:02
0.91,0.26,0.07,2025-02-04 14:08:02
0.91,0.26,0.07,2025-02-04 14:08:02
0.91,0.25,0.07,2025-02-04 14:08:02
0.9,0.25,0.08,2025-02-04 14:08:02
0.9,0.25,0.07,2025-02-04 14:08:02
0.9,0.26,0.07,2025-02-04 14:08:02
0.9,0.27,0.07,2025-02-04 14:08:02
0.9,0.26,0.08,2025-02-04 14:08:02
0.89,0.26,0.07,2025-02-04 14:08:02
0.89,0.26,0.07,2025-02-04 14:08:02
0.91,0.26,0.06,2025-02-04 14:08:02
