X (g),Y (g),Z (g),Timestamp
0.92,-0.07,0.33,2025-02-11 11:05:19
0.91,-0.07,0.34,2025-02-11 11:05:19
0.92,-0.04,0.33,2025-02-11 11:05:19
0.91,-0.03,0.33,2025-02-11 11:05:19
0.93,-0.02,0.33,2025-02-11 11:05:19
0.94,-0.02,0.33,2025-02-11 11:05:19
0.95,-0.03,0.33,2025-02-11 11:05:19
0.95,-0.05,0.33,2025-02-11 11:05:19
0.95,-0.07,0.32,2025-02-11 11:05:19
0.94,-0.07,0.31,2025-02-11 11:05:19
0.94,-0.1,0.31,2025-02-11 11:05:19
0.92,-0.1,0.31,2025-02-11 11:05:19
0.92,-0.1,0.31,2025-02-11 11:05:19
0.92,-0.09,0.31,2025-02-11 11:05:19
0.93,-0.08,0.32,2025-02-11 11:05:19
0.92,-0.07,0.32,2025-02-11 11:05:19
0.93,-0.07,0.33,2025-02-11 11:05:19
0.9,-0.06,0.33,2025-02-11 11:05:19
0.94,-0.1,0.33,2025-02-11 11:05:19
0.87,-0.07,0.32,2025-02-11 11:05:19
0.93,-0.09,0.32,2025-02-11 11:05:19
0.9,-0.09,0.3,2025-02-11 11:05:19
0.92,-0.09,0.3,2025-02-11 11:05:19
0.92,-0.09,0.29,2025-02-11 11:05:19
0.91,-0.1,0.28,2025-02-11 11:05:19
0.92,-0.1,0.27,2025-02-11 11:05:19
0.92,-0.08,0.27,2025-02-11 11:05:19
0.92,-0.08,0.28,2025-02-11 11:05:19
0.92,-0.08,0.28,2025-02-11 11:05:19
0.92,-0.07,0.29,2025-02-11 11:05:19
0.92,-0.06,0.29,2025-02-11 11:05:19
0.93,-0.03,0.31,2025-02-11 11:05:19
0.93,-0.02,0.31,2025-02-11 11:05:19
0.93,-0.01,0.31,2025-02-11 11:05:19
0.93,0.0,0.31,2025-02-11 11:05:19
0.93,0.0,0.3,2025-02-11 11:05:19
0.94,0.01,0.31,2025-02-11 11:05:19
0.94,0.02,0.3,2025-02-11 11:05:19
0.94,0.02,0.3,2025-02-11 11:05:19
0.94,0.01,0.31,2025-02-11 11:05:19
0.94,0.01,0.31,2025-02-11 11:05:19
0.95,0.0,0.31,2025-02-11 11:05:19
0.94,-0.01,0.31,2025-02-11 11:05:19
0.94,-0.03,0.32,2025-02-11 11:05:19
0.93,-0.04,0.32,2025-02-11 11:05:19
0.93,-0.04,0.33,2025-02-11 11:05:19
0.93,-0.03,0.33,2025-02-11 11:05:19
0.93,-0.03,0.33,2025-02-11 11:05:19
0.93,-0.04,0.33,2025-02-11 11:05:19
0.93,-0.03,0.33,2025-02-11 11:05:19
0.94,-0.03,0.33,2025-02-11 11:05:19
0.94,-0.03,0.33,2025-02-11 11:05:19
0.94,-0.03,0.33,2025-02-11 11:05:19
0.93,-0.03,0.31,2025-02-11 11:05:19
0.92,-0.03,0.31,2025-02-11 11:05:19
0.92,-0.02,0.31,2025-02-11 11:05:19
0.92,-0.02,0.31,2025-02-11 11:05:19
0.92,-0.03,0.31,2025-02-11 11:05:19
0.91,-0.03,0.3,2025-02-11 11:05:19
0.91,-0.04,0.3,2025-02-11 11:05:19
0.91,-0.04,0.3,2025-02-11 11:05:19
0.91,-0.04,0.3,2025-02-11 11:05:19
0.91,-0.04,0.3,2025-02-11 11:05:19
0.92,-0.05,0.31,2025-02-11 11:05:19
0.95,-0.08,0.32,2025-02-11 11:05:19
0.96,-0.09,0.33,2025-02-11 11:05:19
0.97,-0.09,0.34,2025-02-11 11:05:19
0.98,-0.11,0.35,2025-02-11 11:05:19
0.98,-0.11,0.35,2025-02-11 11:05:19
0.98,-0.08,0.36,2025-02-11 11:05:19
0.98,-0.0,0.39,2025-02-11 11:05:19
0.96,0.03,0.4,2025-02-11 11:05:19
0.94,0.06,0.41,2025-02-11 11:05:19
0.94,0.1,0.41,2025-02-11 11:05:19
0.94,0.15,0.39,2025-02-11 11:05:19
0.92,0.1,0.36,2025-02-11 11:05:19
0.9,0.09,0.34,2025-02-11 11:05:19
0.86,0.07,0.3,2025-02-11 11:05:19
0.85,0.03,0.29,2025-02-11 11:05:20
0.81,-0.02,0.31,2025-02-11 11:05:20
0.81,-0.04,0.31,2025-02-11 11:05:20
0.82,-0.06,0.33,2025-02-11 11:05:20
0.83,-0.09,0.32,2025-02-11 11:05:20
0.84,-0.12,0.35,2025-02-11 11:05:20
0.91,-0.04,0.47,2025-02-11 11:05:20
0.9,-0.06,0.54,2025-02-11 11:05:20
0.93,-0.11,0.57,2025-02-11 11:05:20
0.93,-0.18,0.55,2025-02-11 11:05:20
0.94,-0.2,0.47,2025-02-11 11:05:20
0.82,-0.26,0.37,2025-02-11 11:05:20
0.78,-0.29,0.34,2025-02-11 11:05:20
0.73,-0.28,0.34,2025-02-11 11:05:20
