X (g),Y (g),Z (g),Timestamp
0.93,-0.13,0.28,2025-02-11 11:06:56
0.94,-0.12,0.28,2025-02-11 11:06:56
0.94,-0.12,0.28,2025-02-11 11:06:56
0.94,-0.12,0.28,2025-02-11 11:06:56
0.94,-0.12,0.28,2025-02-11 11:06:56
0.93,-0.12,0.28,2025-02-11 11:06:56
0.93,-0.12,0.28,2025-02-11 11:06:56
0.93,-0.12,0.28,2025-02-11 11:06:56
0.93,-0.11,0.28,2025-02-11 11:06:56
0.93,-0.11,0.28,2025-02-11 11:06:56
0.93,-0.11,0.28,2025-02-11 11:06:56
0.93,-0.11,0.28,2025-02-11 11:06:56
0.93,-0.11,0.28,2025-02-11 11:06:56
0.93,-0.11,0.28,2025-02-11 11:06:56
0.93,-0.11,0.28,2025-02-11 11:06:56
0.94,-0.12,0.28,2025-02-11 11:06:56
0.94,-0.12,0.28,2025-02-11 11:06:56
0.94,-0.12,0.28,2025-02-11 11:06:56
0.94,-0.13,0.28,2025-02-11 11:06:56
0.94,-0.13,0.28,2025-02-11 11:06:56
0.94,-0.13,0.28,2025-02-11 11:06:56
0.94,-0.13,0.28,2025-02-11 11:06:56
0.93,-0.12,0.28,2025-02-11 11:06:56
0.93,-0.12,0.29,2025-02-11 11:06:56
0.93,-0.12,0.29,2025-02-11 11:06:56
0.93,-0.12,0.29,2025-02-11 11:06:56
0.94,-0.12,0.29,2025-02-11 11:06:57
0.94,-0.13,0.29,2025-02-11 11:06:57
0.93,-0.12,0.28,2025-02-11 11:06:57
0.93,-0.12,0.28,2025-02-11 11:06:57
0.93,-0.11,0.28,2025-02-11 11:06:57
0.94,-0.12,0.29,2025-02-11 11:06:57
0.94,-0.12,0.29,2025-02-11 11:06:57
0.94,-0.11,0.29,2025-02-11 11:06:57
0.94,-0.12,0.29,2025-02-11 11:06:57
0.94,-0.12,0.3,2025-02-11 11:06:57
0.94,-0.12,0.3,2025-02-11 11:06:57
0.94,-0.13,0.3,2025-02-11 11:06:57
0.94,-0.13,0.3,2025-02-11 11:06:57
0.94,-0.14,0.3,2025-02-11 11:06:57
0.93,-0.13,0.29,2025-02-11 11:06:57
0.93,-0.13,0.28,2025-02-11 11:06:57
0.92,-0.13,0.28,2025-02-11 11:06:57
0.93,-0.13,0.28,2025-02-11 11:06:57
0.93,-0.13,0.28,2025-02-11 11:06:57
0.93,-0.13,0.28,2025-02-11 11:06:57
0.93,-0.13,0.27,2025-02-11 11:06:57
0.93,-0.13,0.27,2025-02-11 11:06:57
0.93,-0.13,0.27,2025-02-11 11:06:57
0.93,-0.13,0.27,2025-02-11 11:06:57
0.94,-0.13,0.27,2025-02-11 11:06:57
0.93,-0.13,0.27,2025-02-11 11:06:57
0.94,-0.12,0.28,2025-02-11 11:06:57
0.94,-0.12,0.28,2025-02-11 11:06:57
