X (g),Y (g),Z (g),Timestamp
0.97,-0.22,0.12,2025-02-11 14:57:52.903413
0.97,-0.22,0.13,2025-02-11 14:57:52.917300
0.97,-0.23,0.12,2025-02-11 14:57:52.918460
0.96,-0.23,0.12,2025-02-11 14:57:52.932238
0.96,-0.23,0.13,2025-02-11 14:57:52.933363
0.96,-0.23,0.13,2025-02-11 14:57:53.037271
0.96,-0.22,0.13,2025-02-11 14:57:53.038262
0.96,-0.22,0.13,2025-02-11 14:57:53.039506
0.96,-0.21,0.13,2025-02-11 14:57:53.041384
0.96,-0.2,0.13,2025-02-11 14:57:53.052413
0.96,-0.22,0.12,2025-02-11 14:57:53.067353
0.96,-0.22,0.12,2025-02-11 14:57:53.068458
0.96,-0.22,0.12,2025-02-11 14:57:53.141732
0.97,-0.23,0.12,2025-02-11 14:57:53.157784
0.96,-0.23,0.11,2025-02-11 14:57:53.158736
0.96,-0.22,0.11,2025-02-11 14:57:53.159890
0.95,-0.2,0.11,2025-02-11 14:57:53.162113
0.95,-0.22,0.1,2025-02-11 14:57:53.172724
0.95,-0.22,0.1,2025-02-11 14:57:53.173780
0.95,-0.22,0.11,2025-02-11 14:57:53.187807
0.96,-0.22,0.12,2025-02-11 14:57:53.217420
0.96,-0.22,0.12,2025-02-11 14:57:53.247166
0.96,-0.23,0.11,2025-02-11 14:57:53.248071
0.96,-0.23,0.11,2025-02-11 14:57:53.262471
0.96,-0.22,0.11,2025-02-11 14:57:53.263319
0.96,-0.21,0.12,2025-02-11 14:57:53.264476
0.95,-0.21,0.11,2025-02-11 14:57:53.292292
0.95,-0.22,0.11,2025-02-11 14:57:53.293150
0.96,-0.22,0.11,2025-02-11 14:57:53.294205
0.96,-0.22,0.12,2025-02-11 14:57:53.296086
0.96,-0.22,0.12,2025-02-11 14:57:53.307967
0.96,-0.22,0.13,2025-02-11 14:57:53.322943
0.96,-0.22,0.13,2025-02-11 14:57:53.336664
0.96,-0.22,0.12,2025-02-11 14:57:53.337672
0.96,-0.22,0.12,2025-02-11 14:57:53.339048
0.96,-0.22,0.12,2025-02-11 14:57:53.367422
0.96,-0.22,0.12,2025-02-11 14:57:53.368421
0.96,-0.22,0.13,2025-02-11 14:57:53.369522
0.96,-0.22,0.13,2025-02-11 14:57:53.371333
0.95,-0.22,0.13,2025-02-11 14:57:53.412768
0.95,-0.22,0.12,2025-02-11 14:57:53.413546
0.95,-0.21,0.12,2025-02-11 14:57:53.442530
0.96,-0.21,0.12,2025-02-11 14:57:53.443432
0.96,-0.21,0.12,2025-02-11 14:57:53.487316
0.96,-0.21,0.12,2025-02-11 14:57:53.488097
0.96,-0.21,0.12,2025-02-11 14:57:53.489202
0.96,-0.21,0.13,2025-02-11 14:57:53.491187
0.96,-0.22,0.12,2025-02-11 14:57:53.516870
0.96,-0.22,0.12,2025-02-11 14:57:53.517649
0.96,-0.22,0.12,2025-02-11 14:57:53.577240
0.96,-0.22,0.12,2025-02-11 14:57:53.577728
0.96,-0.22,0.12,2025-02-11 14:57:53.579118
0.96,-0.22,0.12,2025-02-11 14:57:53.592813
0.95,-0.22,0.12,2025-02-11 14:57:53.593604
0.95,-0.22,0.11,2025-02-11 14:57:53.607246
0.95,-0.22,0.11,2025-02-11 14:57:53.608073
0.95,-0.21,0.11,2025-02-11 14:57:53.621920
0.95,-0.21,0.11,2025-02-11 14:57:53.622926
0.96,-0.21,0.11,2025-02-11 14:57:53.652362
0.96,-0.21,0.12,2025-02-11 14:57:53.666856
0.96,-0.22,0.11,2025-02-11 14:57:53.667686
0.96,-0.22,0.11,2025-02-11 14:57:53.668931
0.95,-0.22,0.11,2025-02-11 14:57:53.670031
0.95,-0.21,0.1,2025-02-11 14:57:53.671960
0.95,-0.21,0.1,2025-02-11 14:57:53.697789
0.95,-0.21,0.1,2025-02-11 14:57:53.698838
0.96,-0.21,0.1,2025-02-11 14:57:53.700521
0.96,-0.21,0.1,2025-02-11 14:57:53.712729
0.96,-0.2,0.1,2025-02-11 14:57:53.713506
0.96,-0.2,0.1,2025-02-11 14:57:53.727953
0.95,-0.21,0.1,2025-02-11 14:57:53.742286
0.95,-0.21,0.1,2025-02-11 14:57:53.743406
0.95,-0.2,0.1,2025-02-11 14:57:53.802732
0.94,-0.2,0.1,2025-02-11 14:57:53.803743
0.94,-0.2,0.09,2025-02-11 14:57:53.817066
0.94,-0.2,0.1,2025-02-11 14:57:53.817803
0.94,-0.2,0.1,2025-02-11 14:57:53.818827
0.94,-0.2,0.1,2025-02-11 14:57:53.820748
0.95,-0.2,0.1,2025-02-11 14:57:53.861989
0.96,-0.21,0.1,2025-02-11 14:57:53.862740
0.97,-0.21,0.1,2025-02-11 14:57:53.863807
0.97,-0.22,0.09,2025-02-11 14:57:53.922701
0.96,-0.21,0.09,2025-02-11 14:57:53.923419
0.95,-0.2,0.09,2025-02-11 14:57:53.924527
0.93,-0.21,0.09,2025-02-11 14:57:53.925919
0.93,-0.19,0.1,2025-02-11 14:57:53.937790
0.93,-0.19,0.13,2025-02-11 14:57:53.938863
0.94,-0.19,0.14,2025-02-11 14:57:53.952518
0.94,-0.2,0.15,2025-02-11 14:57:53.953375
0.95,-0.2,0.15,2025-02-11 14:57:53.954705
0.96,-0.2,0.16,2025-02-11 14:57:53.997333
0.96,-0.2,0.16,2025-02-11 14:57:53.998116
0.97,-0.2,0.16,2025-02-11 14:57:53.999215
0.97,-0.2,0.16,2025-02-11 14:57:54.001003
0.97,-0.2,0.17,2025-02-11 14:57:54.012741
0.96,-0.2,0.17,2025-02-11 14:57:54.026703
0.95,-0.2,0.17,2025-02-11 14:57:54.027619
0.94,-0.2,0.17,2025-02-11 14:57:54.029073
0.93,-0.2,0.17,2025-02-11 14:57:54.043509
0.92,-0.2,0.17,2025-02-11 14:57:54.057443
0.91,-0.21,0.18,2025-02-11 14:57:54.072771
0.9,-0.21,0.18,2025-02-11 14:57:54.073465
0.91,-0.2,0.18,2025-02-11 14:57:54.087107
0.88,-0.23,0.18,2025-02-11 14:57:54.087735
0.88,-0.23,0.18,2025-02-11 14:57:54.089482
0.88,-0.25,0.18,2025-02-11 14:57:54.102553
0.88,-0.25,0.17,2025-02-11 14:57:54.103654
0.89,-0.25,0.17,2025-02-11 14:57:54.162019
0.89,-0.26,0.18,2025-02-11 14:57:54.162692
