X (g),Y (g),Z (g),Timestamp
0.96,-0.14,0.16,2025-02-11 10:41:05
0.96,-0.14,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.14,0.16,2025-02-11 10:41:05
0.96,-0.14,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.97,-0.14,0.16,2025-02-11 10:41:05
0.97,-0.14,0.16,2025-02-11 10:41:05
0.96,-0.14,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.16,2025-02-11 10:41:05
0.96,-0.15,0.17,2025-02-11 10:41:05
0.96,-0.15,0.17,2025-02-11 10:41:05
0.96,-0.15,0.17,2025-02-11 10:41:06
0.96,-0.16,0.16,2025-02-11 10:41:06
0.96,-0.16,0.16,2025-02-11 10:41:06
0.96,-0.16,0.16,2025-02-11 10:41:06
0.96,-0.16,0.16,2025-02-11 10:41:06
0.96,-0.16,0.16,2025-02-11 10:41:06
