X (g),Y (g),Z (g),Timestamp
0.99,0.04,0.2,2025-02-11 11:12:31
0.99,0.04,0.2,2025-02-11 11:12:31
0.99,0.03,0.2,2025-02-11 11:12:31
1.04,-0.02,0.15,2025-02-11 11:12:31
0.97,0.07,0.19,2025-02-11 11:12:31
0.98,0.03,0.2,2025-02-11 11:12:31
0.99,0.04,0.19,2025-02-11 11:12:31
0.99,0.04,0.2,2025-02-11 11:12:31
0.98,0.03,0.2,2025-02-11 11:12:31
0.98,0.03,0.19,2025-02-11 11:12:31
0.97,0.03,0.19,2025-02-11 11:12:31
0.98,0.03,0.19,2025-02-11 11:12:31
0.97,0.03,0.19,2025-02-11 11:12:31
0.97,0.03,0.18,2025-02-11 11:12:31
0.97,0.04,0.18,2025-02-11 11:12:31
0.97,0.04,0.18,2025-02-11 11:12:31
0.98,0.04,0.18,2025-02-11 11:12:31
0.98,0.04,0.17,2025-02-11 11:12:31
0.99,0.05,0.17,2025-02-11 11:12:31
0.99,0.05,0.16,2025-02-11 11:12:31
0.99,0.05,0.17,2025-02-11 11:12:31
0.99,0.05,0.17,2025-02-11 11:12:31
0.98,0.04,0.17,2025-02-11 11:12:31
0.98,0.05,0.17,2025-02-11 11:12:31
0.97,0.05,0.17,2025-02-11 11:12:31
0.97,0.05,0.17,2025-02-11 11:12:31
0.96,0.05,0.17,2025-02-11 11:12:31
0.96,0.05,0.16,2025-02-11 11:12:31
0.95,0.06,0.16,2025-02-11 11:12:31
0.95,0.06,0.16,2025-02-11 11:12:31
0.95,0.06,0.16,2025-02-11 11:12:31
0.95,0.06,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.96,0.05,0.16,2025-02-11 11:12:31
0.96,0.05,0.16,2025-02-11 11:12:31
0.96,0.05,0.16,2025-02-11 11:12:31
0.96,0.05,0.16,2025-02-11 11:12:31
0.95,0.05,0.16,2025-02-11 11:12:31
0.95,0.04,0.16,2025-02-11 11:12:31
0.95,0.04,0.16,2025-02-11 11:12:31
0.96,0.04,0.16,2025-02-11 11:12:31
0.96,0.04,0.17,2025-02-11 11:12:31
0.97,0.04,0.17,2025-02-11 11:12:31
0.97,0.04,0.17,2025-02-11 11:12:31
0.97,0.05,0.17,2025-02-11 11:12:32
0.97,0.05,0.18,2025-02-11 11:12:32
0.97,0.05,0.18,2025-02-11 11:12:32
0.97,0.05,0.19,2025-02-11 11:12:32
0.96,0.04,0.19,2025-02-11 11:12:32
0.96,0.04,0.18,2025-02-11 11:12:32
0.95,0.04,0.18,2025-02-11 11:12:32
0.95,0.04,0.18,2025-02-11 11:12:32
0.96,0.03,0.18,2025-02-11 11:12:32
0.97,0.03,0.18,2025-02-11 11:12:32
0.97,0.03,0.18,2025-02-11 11:12:32
0.97,0.03,0.18,2025-02-11 11:12:32
0.98,0.04,0.19,2025-02-11 11:12:32
0.98,0.04,0.19,2025-02-11 11:12:32
0.98,0.04,0.19,2025-02-11 11:12:32
0.97,0.04,0.19,2025-02-11 11:12:32
0.97,0.04,0.19,2025-02-11 11:12:32
0.97,0.04,0.19,2025-02-11 11:12:32
0.97,0.05,0.19,2025-02-11 11:12:32
0.96,0.05,0.19,2025-02-11 11:12:32
0.96,0.05,0.19,2025-02-11 11:12:32
0.96,0.05,0.19,2025-02-11 11:12:32
0.96,0.05,0.19,2025-02-11 11:12:32
0.96,0.05,0.19,2025-02-11 11:12:32
0.96,0.05,0.2,2025-02-11 11:12:32
0.96,0.05,0.2,2025-02-11 11:12:32
0.96,0.05,0.2,2025-02-11 11:12:32
0.96,0.05,0.2,2025-02-11 11:12:32
0.96,0.05,0.2,2025-02-11 11:12:32
0.96,0.05,0.2,2025-02-11 11:12:32
0.95,0.05,0.2,2025-02-11 11:12:32
0.95,0.05,0.2,2025-02-11 11:12:32
0.94,0.04,0.19,2025-02-11 11:12:32
