X (g),Y (g),Z (g),Timestamp
0.93,0.16,0.23,2025-02-04 13:45:30
0.94,0.16,0.23,2025-02-04 13:45:30
0.95,0.15,0.23,2025-02-04 13:45:30
0.96,0.14,0.23,2025-02-04 13:45:30
0.97,0.13,0.23,2025-02-04 13:45:30
0.97,0.13,0.23,2025-02-04 13:45:30
0.97,0.13,0.23,2025-02-04 13:45:30
0.98,0.12,0.23,2025-02-04 13:45:30
0.98,0.11,0.23,2025-02-04 13:45:30
0.98,0.1,0.23,2025-02-04 13:45:30
0.98,0.1,0.23,2025-02-04 13:45:30
0.97,0.1,0.22,2025-02-04 13:45:30
0.97,0.09,0.22,2025-02-04 13:45:30
0.96,0.08,0.23,2025-02-04 13:45:30
0.96,0.07,0.24,2025-02-04 13:45:30
0.95,0.06,0.25,2025-02-04 13:45:30
0.94,0.05,0.27,2025-02-04 13:45:30
0.91,0.04,0.28,2025-02-04 13:45:30
0.89,0.03,0.27,2025-02-04 13:45:30
0.87,0.04,0.25,2025-02-04 13:45:30
0.85,0.05,0.24,2025-02-04 13:45:30
0.85,0.06,0.24,2025-02-04 13:45:30
0.86,0.08,0.23,2025-02-04 13:45:30
0.87,0.09,0.23,2025-02-04 13:45:30
0.9,0.1,0.24,2025-02-04 13:45:30
0.93,0.1,0.25,2025-02-04 13:45:30
0.96,0.1,0.27,2025-02-04 13:45:30
0.99,0.09,0.3,2025-02-04 13:45:30
1.0,0.08,0.32,2025-02-04 13:45:30
1.0,0.07,0.34,2025-02-04 13:45:30
1.0,0.06,0.34,2025-02-04 13:45:30
0.99,0.06,0.33,2025-02-04 13:45:30
0.98,0.06,0.32,2025-02-04 13:45:30
0.96,0.06,0.31,2025-02-04 13:45:30
0.95,0.05,0.31,2025-02-04 13:45:30
0.94,0.04,0.31,2025-02-04 13:45:30
0.93,0.03,0.32,2025-02-04 13:45:30
0.92,0.05,0.34,2025-02-04 13:45:30
0.9,0.07,0.36,2025-02-04 13:45:30
0.89,0.08,0.36,2025-02-04 13:45:30
0.87,0.08,0.36,2025-02-04 13:45:30
0.85,0.08,0.36,2025-02-04 13:45:30
0.84,0.08,0.35,2025-02-04 13:45:30
0.82,0.08,0.35,2025-02-04 13:45:30
0.8,0.06,0.35,2025-02-04 13:45:30
0.83,0.1,0.3,2025-02-04 13:45:30
0.73,0.18,0.33,2025-02-04 13:45:30
0.85,-0.05,0.31,2025-02-04 13:45:30
0.79,0.06,0.28,2025-02-04 13:45:30
0.77,0.16,0.29,2025-02-04 13:45:30
0.86,0.06,0.29,2025-02-04 13:45:30
0.82,0.13,0.29,2025-02-04 13:45:30
0.83,0.12,0.31,2025-02-04 13:45:30
0.9,-0.0,0.32,2025-02-04 13:45:30
0.84,0.11,0.31,2025-02-04 13:45:30
0.89,0.13,0.33,2025-02-04 13:45:30
0.91,0.08,0.34,2025-02-04 13:45:30
0.87,0.13,0.33,2025-02-04 13:45:30
0.92,0.07,0.35,2025-02-04 13:45:30
0.9,0.05,0.34,2025-02-04 13:45:30
0.87,0.11,0.33,2025-02-04 13:45:30
0.92,0.09,0.34,2025-02-04 13:45:30
0.88,0.11,0.34,2025-02-04 13:45:30
0.88,0.11,0.33,2025-02-04 13:45:30
0.92,0.06,0.34,2025-02-04 13:45:30
0.88,0.09,0.34,2025-02-04 13:45:30
0.9,0.13,0.34,2025-02-04 13:45:30
0.92,0.13,0.35,2025-02-04 13:45:30
0.87,0.12,0.35,2025-02-04 13:45:30
0.91,0.09,0.36,2025-02-04 13:45:30
0.9,0.09,0.37,2025-02-04 13:45:30
0.87,0.1,0.32,2025-02-04 13:45:30
0.9,0.12,0.35,2025-02-04 13:45:30
0.88,0.12,0.34,2025-02-04 13:45:30
0.86,0.09,0.34,2025-02-04 13:45:30
0.9,0.09,0.34,2025-02-04 13:45:30
0.9,0.12,0.35,2025-02-04 13:45:30
0.86,0.13,0.35,2025-02-04 13:45:30
0.88,0.14,0.35,2025-02-04 13:45:30
0.87,0.15,0.35,2025-02-04 13:45:30
0.88,0.11,0.35,2025-02-04 13:45:30
0.9,0.11,0.33,2025-02-04 13:45:30
0.9,0.15,0.34,2025-02-04 13:45:30
0.95,0.15,0.33,2025-02-04 13:45:30
0.94,0.15,0.35,2025-02-04 13:45:30
1.02,0.16,0.35,2025-02-04 13:45:30
1.09,0.12,0.37,2025-02-04 13:45:30
1.05,0.15,0.37,2025-02-04 13:45:30
1.09,0.17,0.34,2025-02-04 13:45:30
1.13,0.2,0.37,2025-02-04 13:45:30
1.12,0.2,0.36,2025-02-04 13:45:30
1.16,0.19,0.36,2025-02-04 13:45:30
1.16,0.21,0.35,2025-02-04 13:45:30
1.12,0.19,0.35,2025-02-04 13:45:30
1.07,0.2,0.34,2025-02-04 13:45:30
1.06,0.22,0.32,2025-02-04 13:45:30
1.01,0.22,0.31,2025-02-04 13:45:30
0.99,0.19,0.29,2025-02-04 13:45:30
0.98,0.2,0.27,2025-02-04 13:45:30
0.94,0.21,0.26,2025-02-04 13:45:30
0.94,0.19,0.25,2025-02-04 13:45:30
0.92,0.2,0.23,2025-02-04 13:45:30
0.91,0.18,0.22,2025-02-04 13:45:30
0.91,0.16,0.2,2025-02-04 13:45:30
0.93,0.16,0.19,2025-02-04 13:45:30
0.94,0.17,0.18,2025-02-04 13:45:30
0.96,0.16,0.18,2025-02-04 13:45:30
1.01,0.14,0.16,2025-02-04 13:45:30
1.03,0.15,0.18,2025-02-04 13:45:30
1.07,0.15,0.17,2025-02-04 13:45:30
1.08,0.16,0.18,2025-02-04 13:45:30
1.09,0.13,0.19,2025-02-04 13:45:30
1.09,0.13,0.18,2025-02-04 13:45:31
1.08,0.13,0.17,2025-02-04 13:45:31
1.11,0.11,0.16,2025-02-04 13:45:31
1.06,0.14,0.16,2025-02-04 13:45:31
1.06,0.11,0.15,2025-02-04 13:45:31
1.07,0.1,0.15,2025-02-04 13:45:31
1.01,0.13,0.16,2025-02-04 13:45:31
1.01,0.11,0.15,2025-02-04 13:45:31
0.98,0.12,0.15,2025-02-04 13:45:31
0.78,0.25,0.12,2025-02-04 13:45:31
0.87,0.12,0.1,2025-02-04 13:45:31
0.87,0.14,0.14,2025-02-04 13:45:31
1.0,0.03,0.12,2025-02-04 13:45:31
0.84,0.16,0.12,2025-02-04 13:45:31
0.9,0.13,0.12,2025-02-04 13:45:31
0.94,0.12,0.1,2025-02-04 13:45:31
0.82,0.17,0.1,2025-02-04 13:45:31
0.93,0.09,0.11,2025-02-04 13:45:31
0.92,0.09,0.12,2025-02-04 13:45:31
0.83,0.15,0.14,2025-02-04 13:45:31
0.94,0.1,0.14,2025-02-04 13:45:31
0.89,0.17,0.15,2025-02-04 13:45:31
0.88,0.14,0.15,2025-02-04 13:45:31
0.93,0.09,0.14,2025-02-04 13:45:31
0.87,0.12,0.15,2025-02-04 13:45:31
0.89,0.1,0.16,2025-02-04 13:45:31
0.91,0.14,0.16,2025-02-04 13:45:31
0.86,0.15,0.17,2025-02-04 13:45:31
0.89,0.1,0.17,2025-02-04 13:45:31
0.86,0.11,0.17,2025-02-04 13:45:31
0.85,0.1,0.17,2025-02-04 13:45:31
0.86,0.09,0.17,2025-02-04 13:45:31
0.83,0.13,0.17,2025-02-04 13:45:31
0.84,0.11,0.18,2025-02-04 13:45:31
0.84,0.09,0.19,2025-02-04 13:45:31
0.83,0.09,0.19,2025-02-04 13:45:31
0.86,0.07,0.19,2025-02-04 13:45:31
0.84,0.09,0.2,2025-02-04 13:45:31
0.86,0.08,0.21,2025-02-04 13:45:31
0.89,0.05,0.22,2025-02-04 13:45:31
0.9,0.07,0.22,2025-02-04 13:45:31
0.92,0.06,0.23,2025-02-04 13:45:31
0.94,0.06,0.24,2025-02-04 13:45:31
0.97,0.06,0.26,2025-02-04 13:45:31
0.99,0.04,0.27,2025-02-04 13:45:31
1.01,0.04,0.28,2025-02-04 13:45:31
1.02,0.05,0.29,2025-02-04 13:45:31
1.02,0.06,0.3,2025-02-04 13:45:31
1.02,0.06,0.31,2025-02-04 13:45:31
1.03,0.04,0.32,2025-02-04 13:45:31
1.06,0.03,0.32,2025-02-04 13:45:31
1.09,0.04,0.32,2025-02-04 13:45:31
1.11,0.04,0.31,2025-02-04 13:45:31
1.11,0.04,0.3,2025-02-04 13:45:31
1.11,0.03,0.3,2025-02-04 13:45:31
1.1,0.03,0.3,2025-02-04 13:45:31
1.08,0.03,0.3,2025-02-04 13:45:31
1.06,0.04,0.29,2025-02-04 13:45:31
1.06,0.05,0.27,2025-02-04 13:45:31
1.11,0.08,0.25,2025-02-04 13:45:31
1.14,0.08,0.24,2025-02-04 13:45:31
1.13,0.1,0.26,2025-02-04 13:45:31
1.08,0.11,0.27,2025-02-04 13:45:31
1.02,0.11,0.27,2025-02-04 13:45:31
0.97,0.1,0.24,2025-02-04 13:45:31
0.92,0.08,0.21,2025-02-04 13:45:31
0.87,0.07,0.2,2025-02-04 13:45:31
0.89,0.09,0.18,2025-02-04 13:45:31
0.95,0.12,0.19,2025-02-04 13:45:31
0.99,0.13,0.2,2025-02-04 13:45:31
1.01,0.13,0.21,2025-02-04 13:45:31
1.02,0.16,0.21,2025-02-04 13:45:31
1.0,0.15,0.22,2025-02-04 13:45:31
0.98,0.15,0.22,2025-02-04 13:45:31
0.95,0.13,0.23,2025-02-04 13:45:31
0.9,0.11,0.23,2025-02-04 13:45:31
0.86,0.08,0.22,2025-02-04 13:45:31
0.82,0.05,0.21,2025-02-04 13:45:31
0.78,0.05,0.2,2025-02-04 13:45:31
0.76,0.04,0.2,2025-02-04 13:45:31
0.73,0.04,0.19,2025-02-04 13:45:31
0.72,0.04,0.19,2025-02-04 13:45:31
0.72,0.04,0.19,2025-02-04 13:45:31
0.72,0.05,0.19,2025-02-04 13:45:31
0.73,0.06,0.19,2025-02-04 13:45:31
0.75,0.06,0.19,2025-02-04 13:45:31
0.76,0.07,0.19,2025-02-04 13:45:31
0.78,0.07,0.2,2025-02-04 13:45:31
0.8,0.08,0.21,2025-02-04 13:45:31
0.82,0.09,0.22,2025-02-04 13:45:31
0.84,0.1,0.23,2025-02-04 13:45:31
0.85,0.11,0.24,2025-02-04 13:45:31
0.86,0.12,0.25,2025-02-04 13:45:31
0.87,0.13,0.26,2025-02-04 13:45:31
0.87,0.12,0.27,2025-02-04 13:45:31
0.86,0.12,0.28,2025-02-04 13:45:31
0.85,0.13,0.3,2025-02-04 13:45:32
0.84,0.13,0.31,2025-02-04 13:45:32
0.84,0.12,0.32,2025-02-04 13:45:32
0.84,0.12,0.32,2025-02-04 13:45:32
0.84,0.12,0.33,2025-02-04 13:45:32
0.85,0.12,0.34,2025-02-04 13:45:32
0.85,0.12,0.33,2025-02-04 13:45:32
0.86,0.11,0.33,2025-02-04 13:45:32
0.89,0.12,0.33,2025-02-04 13:45:32
0.91,0.12,0.34,2025-02-04 13:45:32
