X (g),Y (g),Z (g),Timestamp
1.07,0.49,0.16,2025-03-11 11:11:39.126637
0.96,0.46,0.13,2025-03-11 11:11:39.141805
0.91,0.44,0.13,2025-03-11 11:11:39.142678
0.87,0.44,0.13,2025-03-11 11:11:39.156780
0.84,0.44,0.15,2025-03-11 11:11:39.186748
0.85,0.45,0.16,2025-03-11 11:11:39.187646
0.87,0.47,0.17,2025-03-11 11:11:39.189068
0.9,0.47,0.18,2025-03-11 11:11:39.216526
0.92,0.47,0.19,2025-03-11 11:11:39.217750
0.95,0.46,0.19,2025-03-11 11:11:39.231652
1.0,0.42,0.19,2025-03-11 11:11:39.246572
1.03,0.4,0.19,2025-03-11 11:11:39.247779
1.04,0.37,0.18,2025-03-11 11:11:39.292202
1.05,0.35,0.18,2025-03-11 11:11:39.292746
1.05,0.33,0.17,2025-03-11 11:11:39.293834
1.05,0.32,0.17,2025-03-11 11:11:39.306545
1.05,0.31,0.16,2025-03-11 11:11:39.307087
1.05,0.31,0.15,2025-03-11 11:11:39.350897
1.05,0.31,0.14,2025-03-11 11:11:39.351790
1.05,0.32,0.13,2025-03-11 11:11:39.366587
1.04,0.33,0.13,2025-03-11 11:11:39.367565
1.02,0.36,0.12,2025-03-11 11:11:39.381524
1.0,0.36,0.11,2025-03-11 11:11:39.395831
0.98,0.37,0.11,2025-03-11 11:11:39.397028
0.95,0.37,0.11,2025-03-11 11:11:39.398065
0.92,0.36,0.12,2025-03-11 11:11:39.399478
0.87,0.34,0.12,2025-03-11 11:11:39.427245
0.85,0.33,0.12,2025-03-11 11:11:39.442260
0.84,0.32,0.12,2025-03-11 11:11:39.442631
0.84,0.31,0.12,2025-03-11 11:11:39.456118
0.85,0.31,0.12,2025-03-11 11:11:39.471701
0.85,0.31,0.12,2025-03-11 11:11:39.472592
0.86,0.3,0.11,2025-03-11 11:11:39.473912
0.87,0.3,0.11,2025-03-11 11:11:39.502136
0.87,0.3,0.11,2025-03-11 11:11:39.502861
0.88,0.3,0.11,2025-03-11 11:11:39.504058
0.87,0.3,0.11,2025-03-11 11:11:39.531657
0.87,0.3,0.11,2025-03-11 11:11:39.546576
0.86,0.3,0.11,2025-03-11 11:11:39.561543
0.85,0.3,0.11,2025-03-11 11:11:39.562835
0.84,0.31,0.11,2025-03-11 11:11:39.591627
0.84,0.32,0.11,2025-03-11 11:11:39.592612
0.84,0.32,0.12,2025-03-11 11:11:39.594429
0.85,0.34,0.13,2025-03-11 11:11:39.621746
0.86,0.34,0.13,2025-03-11 11:11:39.637144
0.87,0.34,0.14,2025-03-11 11:11:39.651063
0.88,0.35,0.14,2025-03-11 11:11:39.652695
0.89,0.35,0.15,2025-03-11 11:11:39.666520
0.9,0.36,0.16,2025-03-11 11:11:39.667662
0.91,0.36,0.16,2025-03-11 11:11:39.681644
0.92,0.36,0.17,2025-03-11 11:11:39.711563
0.93,0.36,0.18,2025-03-11 11:11:39.726960
0.93,0.37,0.18,2025-03-11 11:11:39.727623
0.94,0.37,0.19,2025-03-11 11:11:39.729440
0.94,0.37,0.19,2025-03-11 11:11:39.741739
0.94,0.37,0.2,2025-03-11 11:11:39.771463
0.94,0.38,0.2,2025-03-11 11:11:39.772277
0.93,0.38,0.2,2025-03-11 11:11:39.786521
0.93,0.38,0.21,2025-03-11 11:11:39.787513
0.92,0.38,0.21,2025-03-11 11:11:39.801890
0.92,0.38,0.21,2025-03-11 11:11:39.802749
0.91,0.38,0.22,2025-03-11 11:11:39.804417
0.9,0.38,0.22,2025-03-11 11:11:39.831698
0.9,0.38,0.21,2025-03-11 11:11:39.832891
0.89,0.37,0.21,2025-03-11 11:11:39.861608
0.9,0.37,0.21,2025-03-11 11:11:39.862563
0.9,0.37,0.21,2025-03-11 11:11:39.863918
0.91,0.37,0.22,2025-03-11 11:11:39.876812
0.91,0.37,0.22,2025-03-11 11:11:39.906961
0.91,0.37,0.22,2025-03-11 11:11:39.907890
0.9,0.36,0.22,2025-03-11 11:11:39.908790
0.88,0.36,0.22,2025-03-11 11:11:39.910620
0.87,0.36,0.21,2025-03-11 11:11:39.922060
0.87,0.36,0.2,2025-03-11 11:11:39.936814
0.87,0.35,0.2,2025-03-11 11:11:39.965977
0.87,0.35,0.2,2025-03-11 11:11:39.967030
0.88,0.36,0.2,2025-03-11 11:11:39.981810
0.89,0.36,0.2,2025-03-11 11:11:39.995848
0.89,0.36,0.2,2025-03-11 11:11:39.996799
0.9,0.37,0.19,2025-03-11 11:11:40.011551
0.9,0.38,0.19,2025-03-11 11:11:40.012611
0.89,0.38,0.19,2025-03-11 11:11:40.026728
0.89,0.38,0.19,2025-03-11 11:11:40.056918
0.88,0.38,0.19,2025-03-11 11:11:40.057629
0.87,0.38,0.19,2025-03-11 11:11:40.058937
0.86,0.39,0.19,2025-03-11 11:11:40.071869
0.85,0.39,0.19,2025-03-11 11:11:40.072838
0.85,0.39,0.19,2025-03-11 11:11:40.087122
0.85,0.39,0.19,2025-03-11 11:11:40.088044
0.86,0.4,0.2,2025-03-11 11:11:40.117016
0.86,0.4,0.2,2025-03-11 11:11:40.117620
0.87,0.41,0.21,2025-03-11 11:11:40.119061
0.88,0.41,0.22,2025-03-11 11:11:40.131778
0.9,0.41,0.22,2025-03-11 11:11:40.146669
0.91,0.4,0.22,2025-03-11 11:11:40.160883
0.93,0.4,0.22,2025-03-11 11:11:40.162030
0.95,0.39,0.21,2025-03-11 11:11:40.176870
0.97,0.38,0.21,2025-03-11 11:11:40.191232
1.0,0.38,0.22,2025-03-11 11:11:40.192024
1.02,0.37,0.22,2025-03-11 11:11:40.207124
1.04,0.37,0.23,2025-03-11 11:11:40.221861
1.06,0.37,0.24,2025-03-11 11:11:40.222489
1.07,0.36,0.25,2025-03-11 11:11:40.236827
1.07,0.35,0.26,2025-03-11 11:11:40.251962
1.06,0.34,0.27,2025-03-11 11:11:40.266042
1.04,0.33,0.28,2025-03-11 11:11:40.266893
1.01,0.32,0.27,2025-03-11 11:11:40.268297
0.98,0.31,0.26,2025-03-11 11:11:40.281817
0.94,0.31,0.26,2025-03-11 11:11:40.296605
0.91,0.32,0.27,2025-03-11 11:11:40.297642
0.87,0.33,0.28,2025-03-11 11:11:40.313571
0.84,0.33,0.28,2025-03-11 11:11:40.317544
0.81,0.33,0.28,2025-03-11 11:11:40.341919
0.79,0.33,0.28,2025-03-11 11:11:40.343746
0.78,0.33,0.27,2025-03-11 11:11:40.356628
0.77,0.32,0.26,2025-03-11 11:11:40.357728
0.77,0.32,0.25,2025-03-11 11:11:40.386868
0.77,0.32,0.26,2025-03-11 11:11:40.387711
0.78,0.32,0.27,2025-03-11 11:11:40.416621
0.78,0.32,0.27,2025-03-11 11:11:40.417789
0.78,0.32,0.26,2025-03-11 11:11:40.431700
0.78,0.31,0.26,2025-03-11 11:11:40.445956
0.78,0.32,0.26,2025-03-11 11:11:40.461667
0.78,0.32,0.26,2025-03-11 11:11:40.476589
0.78,0.33,0.27,2025-03-11 11:11:40.490846
0.78,0.33,0.27,2025-03-11 11:11:40.492060
0.79,0.33,0.26,2025-03-11 11:11:40.506512
0.79,0.33,0.26,2025-03-11 11:11:40.520798
0.8,0.34,0.26,2025-03-11 11:11:40.522432
0.81,0.35,0.26,2025-03-11 11:11:40.536490
0.82,0.36,0.25,2025-03-11 11:11:40.537700
0.82,0.37,0.24,2025-03-11 11:11:40.551603
0.83,0.38,0.23,2025-03-11 11:11:40.552994
0.84,0.39,0.23,2025-03-11 11:11:40.567145
0.85,0.39,0.22,2025-03-11 11:11:40.567883
0.86,0.4,0.22,2025-03-11 11:11:40.596584
0.86,0.4,0.21,2025-03-11 11:11:40.597659
0.87,0.41,0.2,2025-03-11 11:11:40.611611
0.88,0.41,0.19,2025-03-11 11:11:40.626293
0.89,0.42,0.19,2025-03-11 11:11:40.627161
0.91,0.43,0.19,2025-03-11 11:11:40.642065
0.93,0.44,0.19,2025-03-11 11:11:40.656436
0.96,0.44,0.18,2025-03-11 11:11:40.657390
1.01,0.44,0.18,2025-03-11 11:11:40.659461
1.06,0.44,0.17,2025-03-11 11:11:40.686962
1.13,0.44,0.17,2025-03-11 11:11:40.688043
1.2,0.45,0.18,2025-03-11 11:11:40.689269
1.26,0.46,0.2,2025-03-11 11:11:40.702055
1.31,0.47,0.23,2025-03-11 11:11:40.717031
1.34,0.49,0.25,2025-03-11 11:11:40.717662
1.34,0.5,0.26,2025-03-11 11:11:40.731582
1.33,0.5,0.26,2025-03-11 11:11:40.746573
1.31,0.5,0.26,2025-03-11 11:11:40.761071
1.29,0.48,0.24,2025-03-11 11:11:40.762073
1.27,0.47,0.22,2025-03-11 11:11:40.776704
1.25,0.46,0.2,2025-03-11 11:11:40.790894
1.24,0.45,0.19,2025-03-11 11:11:40.792698
1.21,0.44,0.19,2025-03-11 11:11:40.806638
1.14,0.43,0.17,2025-03-11 11:11:40.821566
1.09,0.43,0.17,2025-03-11 11:11:40.837073
1.05,0.43,0.17,2025-03-11 11:11:40.851465
1.02,0.43,0.16,2025-03-11 11:11:40.852606
0.99,0.43,0.15,2025-03-11 11:11:40.866796
0.98,0.43,0.14,2025-03-11 11:11:40.867883
0.97,0.42,0.14,2025-03-11 11:11:40.881713
0.97,0.43,0.13,2025-03-11 11:11:40.896560
0.97,0.43,0.13,2025-03-11 11:11:40.911766
0.97,0.42,0.13,2025-03-11 11:11:40.926708
0.98,0.4,0.12,2025-03-11 11:11:40.927694
0.98,0.38,0.11,2025-03-11 11:11:40.942239
