time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.96,0.21,0.04,0.9835141076771599
0.01,0.96,0.21,0.04,0.9835141076771599
0.02,0.96,0.2,0.04,0.9814275317108238
0.03,0.96,0.2,0.04,0.9814275317108238
0.04,0.96,0.2,0.04,0.9814275317108238
0.05,0.96,0.2,0.04,0.9814275317108238
0.06,0.96,0.2,0.04,0.9814275317108238
0.07,0.96,0.20000000000000004,0.04,0.9814275317108238
0.08,0.96,0.2,0.04,0.9814275317108238
0.09,0.96,0.2,0.04,0.9814275317108238
0.1,0.96,0.2,0.04,0.9814275317108238
0.11,0.955,0.21,0.035,0.9784551121868745
0.12,0.95,0.21,0.04,0.973755616158387
0.13,0.96,0.21,0.04,0.9835141076771599
0.14,0.96,0.2,0.04,0.9814275317108238
0.15,0.955,0.20500000000000002,0.04,0.9775915739346054
0.16,0.95,0.21,0.04,0.973755616158387
0.17,0.9533333333333333,0.20833333333333334,0.0375,0.9765716381230185
0.18,0.9566666666666667,0.20666666666666667,0.035,0.97938766008765
0.19,0.96,0.20500000000000002,0.0325,0.9822036820522815
0.2,0.96,0.2,0.04,0.9814275317108238
0.21,0.96,0.2,0.04,0.9814275317108238
0.22,0.96,0.20000000000000004,0.04,0.9814275317108238
0.23,0.97,0.2,0.03,0.9908582138732059
0.24,0.9692,0.2,0.030799999999999998,0.9901036184207493
0.25,0.9683999999999999,0.2,0.031599999999999996,0.9893490229682927
0.26,0.9676,0.2,0.0324,0.9885944275158363
0.27,0.9668,0.2,0.03319999999999999,0.9878398320633797
0.28,0.966,0.2,0.033999999999999996,0.9870852366109231
0.29,0.9623333333333333,0.2,0.036,0.9835694270994358
0.3,0.9586666666666667,0.2,0.038,0.9800536175879485
0.31,0.955,0.2,0.04,0.9765378080764613
0.32,0.95,0.2,0.04,0.9716480844420988
0.33,0.95,0.2,0.04,0.9716480844420988
0.34,0.95,0.2,0.04,0.9716480844420988
0.35,0.95,0.2,0.04,0.9716480844420988
0.36,0.95,0.2,0.04,0.9716480844420988
0.37,0.95,0.2,0.03,0.9712878049270464
0.38,0.95,0.2,0.0325,0.9713778748058095
0.39,0.95,0.2,0.035,0.9714679446845726
0.4,0.95,0.2,0.0375,0.9715580145633357
0.41,0.95,0.2,0.04,0.9716480844420988
0.42,0.96,0.2075,0.0375,0.982903480888895
0.43,0.96,0.21,0.04,0.9835141076771599
0.44,0.96,0.21,0.04,0.9835141076771599
0.45,0.96,0.21,0.04,0.9835141076771597
0.46,0.96,0.21,0.04,0.9835141076771597
0.47,0.96,0.21,0.04,0.9835141076771599
0.48,0.96,0.2,0.04,0.9814275317108238
0.49,0.96,0.2,0.04,0.9814275317108238
