time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.94,-0.04,0.24,0.9709788875150684
0.01,0.95,-0.04,0.24,0.9806630410084801
0.02,0.95,-0.04,0.24,0.9806630410084801
0.03,0.95,-0.04,0.24,0.9806630410084801
0.04,0.95,-0.035,0.245,0.9817325787041589
0.05,0.95,-0.03,0.25,0.9828021163998376
0.06,0.95,-0.04,0.25,0.9831581764904364
0.07,0.95,-0.04,0.25,0.9831581764904364
0.08,0.95,-0.04,0.25,0.9831581764904364
0.09,0.95,-0.04,0.25,0.9831581764904364
0.1,0.95,-0.04,0.25,0.9831581764904364
0.11,0.95,-0.04,0.26,0.9857484466130292
0.12,0.95,-0.04,0.26,0.9857484466130292
0.13,0.95,-0.04,0.26,0.9857484466130292
0.14,0.95,-0.04,0.26,0.9857484466130292
0.15,0.95,-0.04,0.26,0.9857484466130292
0.16,0.95,-0.04,0.26,0.9857484466130292
0.17,0.95,-0.04,0.26,0.9857484466130292
0.18,0.95,-0.04,0.26,0.9857484466130292
0.19,0.95,-0.05,0.26,0.9862048468751307
0.2,0.95,-0.05,0.25,0.9836157786453
0.21,0.95,-0.05,0.25,0.9836157786453
0.22,0.95,-0.05,0.25,0.9836157786453
0.23,0.95,-0.05,0.25,0.9836157786453
0.24,0.94,-0.05,0.25,0.9739609848448756
0.25,0.94,-0.04,0.25,0.9734988443752771
0.26,0.945,-0.04,0.255,0.9796236454941532
0.27,0.95,-0.04,0.26,0.9857484466130292
0.28,0.95,-0.05,0.25,0.9836157786453
0.29,0.95,-0.04,0.26,0.9857484466130292
0.3,0.95,-0.045,0.26,0.9859766467440799
0.31,0.95,-0.05,0.26,0.9862048468751307
0.32,0.95,-0.04,0.26,0.9857484466130292
0.33,0.95,-0.04,0.26,0.9857484466130292
0.34,0.95,-0.04,0.26,0.9857484466130292
0.35,0.95,-0.04,0.26,0.9857484466130292
0.36,0.95,-0.04,0.25,0.9831581764904364
0.37,0.94,-0.04,0.25,0.9734988443752771
0.38,0.95,-0.04,0.25,0.9831581764904364
0.39,0.95,-0.04,0.25,0.9831581764904364
0.4,0.95,-0.04,0.25,0.9831581764904364
0.41,0.95,-0.04,0.25,0.9831581764904364
0.42,0.94,-0.05,0.25,0.9739609848448756
0.43,0.945,-0.045,0.25,0.9785595806676559
0.44,0.95,-0.04,0.25,0.9831581764904364
0.45,0.95,-0.04,0.25,0.9831581764904364
0.46,0.95,-0.04,0.25,0.9831581764904364
0.47,0.95,-0.04,0.25,0.9831581764904364
0.48,0.95,-0.04,0.25,0.9831581764904364
0.49,0.95,-0.04,0.26,0.9857484466130292
0.5,0.95,-0.04,0.26,0.9857484466130292
0.51,0.95,-0.04,0.26,0.9857484466130292
0.52,0.95,-0.04,0.26,0.9857484466130292
0.53,0.95,-0.04,0.26,0.9857484466130292
0.54,0.95,-0.04,0.26,0.9857484466130292
0.55,0.95,-0.04,0.26,0.9857484466130292
0.56,0.95,-0.04,0.255,0.9844533115517328
0.57,0.95,-0.04,0.25,0.9831581764904364
0.58,0.94,-0.04,0.25,0.9734988443752771
0.59,0.94,-0.04,0.25,0.9734988443752771
0.6,0.94,-0.04,0.25,0.9734988443752771
0.61,0.94,-0.04,0.25,0.9734988443752771
0.62,0.94,-0.04,0.25,0.9734988443752771
0.63,0.95,-0.04,0.25,0.9831581764904364
0.64,0.95,-0.04,0.25,0.9831581764904364
0.65,0.95,-0.04,0.25,0.9831581764904364
0.66,0.95,-0.04,0.25,0.9831581764904364
0.67,0.95,-0.04,0.26,0.9857484466130292
0.68,0.95,-0.05,0.26,0.9862048468751307
0.69,0.95,-0.05,0.26,0.9862048468751307
0.7,0.95,-0.05,0.26,0.9862048468751307
0.71,0.96,-0.04,0.26,0.9953893710503443
0.72,0.95,-0.04,0.26,0.9857484466130292
0.73,0.95,-0.04,0.26,0.9857484466130292
0.74,0.95,-0.04,0.26,0.9857484466130292
0.75,0.95,-0.04,0.26,0.9857484466130292
0.76,0.95,-0.04,0.26,0.9857484466130292
0.77,0.95,-0.03,0.26,0.985393322486001
0.78,0.945,-0.03,0.255,0.979266286271115
0.79,0.94,-0.03,0.25,0.973139250056229
0.8,0.95,-0.03,0.25,0.9828021163998376
0.81,0.94,-0.03,0.25,0.973139250056229
0.82,0.945,-0.03,0.255,0.979266286271115
0.83,0.95,-0.03,0.26,0.985393322486001
0.84,0.94,-0.03,0.26,0.9757561170702441
0.85,0.95,-0.04,0.26,0.9857484466130292
0.86,0.95,-0.035,0.26,0.985570884549515
0.87,0.95,-0.03,0.26,0.985393322486001
0.88,0.94,-0.03,0.25,0.973139250056229
0.89,0.94,-0.03,0.26,0.9757561170702441
0.9,0.94,-0.01,0.26,0.9753460924205315
0.91,0.935,-0.005,0.265,0.971873417957335
0.92,0.93,0.0,0.27,0.9684007434941384
0.93,0.94,0.01,0.27,0.9780593029055037
0.94,1.0,0.0,0.27,1.0358088626768938
0.95,1.0,-0.005,0.27,1.0358329978415892
0.96,1.0,-0.01,0.27,1.0358571330062847
0.97,0.99,-0.01,0.27,1.0262066068779716
0.98,0.98,0.0,0.27,1.0165136496870073
0.99,0.975,0.02,0.2625,1.0101555194326015
1.0,0.97,0.04,0.255,1.0037973891781957
1.01,0.93,-0.01,0.22,0.9557196241576292
1.02,0.91,-0.02,0.23,0.938829057922687
1.03,0.86,-0.04,0.24,0.8937561188601731
1.04,0.86,-0.07,0.25,0.8983317872590282
1.05,0.86,-0.09,0.25,0.9001111042532471
1.06,0.86,-0.1,0.25,0.9011659114724657
1.07,0.86,-0.09,0.24,0.8973850901368932
1.08,0.85,-0.09,0.24,0.8878062851771212
1.09,0.84,-0.07,0.24,0.8764131445842194
1.1,0.83,-0.07,0.23,0.8641180474911978
1.11,0.83,-0.05,0.23,0.8627282306729043
1.12,0.83,-0.04,0.23,0.8622064717919948
1.13,0.83,-0.02,0.23,0.8615103017375938
1.14,0.84,0.0,0.23,0.8709190547921202
1.15,0.86,-0.01,0.24,0.8929165694509201
1.16,1.03,-0.1,0.27,1.06948585778401
1.17,1.04,-0.23,0.34,1.1180787092150535
1.18,1.04,-0.24,0.33,1.1171839597846007
1.19,0.98,-0.24,0.32,1.0584894897919392
1.2,0.95,-0.23,0.31,1.0254267404354152
1.21,0.92,-0.23,0.29,0.9916652661054535
1.22,0.87,-0.21,0.27,0.9348261870529729
1.23,0.85,-0.19,0.27,0.9118662182579196
1.24,0.85,-0.18,0.29,0.9159694318043587
1.25,0.86,-0.17,0.31,0.9298386956886662
1.26,0.87,-0.17,0.33,0.9458858282054976
1.27,0.88,-0.17,0.35,0.9621850133939938
1.28,0.89,-0.16,0.36,0.9732933781753578
1.29,0.91,-0.15,0.36,0.9900505037623081
1.3,0.91,-0.13,0.36,0.9872183142547549
1.31,0.95,-0.09,0.36,1.019901956072249
1.32,0.96,-0.08,0.36,1.0283968105745953
1.33,0.97,-0.08,0.35,1.034311365112073
1.34,0.98,-0.07,0.35,1.0429765098025938
1.35,0.99,-0.07,0.35,1.0523782589924593
1.36,1.0,-0.07,0.35,1.0617909398747005
1.37,1.0,-0.07,0.34,1.058536725862641
1.38,0.98,-0.08,0.31,1.030970416646375
