time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.94,-0.26,0.12,0.9826494797230597
0.01,0.94,-0.26,0.13,0.9839207285142436
0.02,0.94,-0.26,0.12,0.9826494797230597
0.03,0.94,-0.26,0.13,0.9839207285142436
0.04,0.94,-0.26,0.13,0.9839207285142436
0.05,0.94,-0.27,0.13,0.986610358753647
0.06,0.95,-0.27,0.13,0.9961425600786264
0.07,0.95,-0.27,0.13,0.9961425600786264
0.08,0.95,-0.27,0.13,0.9961425600786264
0.09,0.95,-0.27,0.12,0.9948869282486327
0.1,0.96,-0.27,0.13,1.00568384694197
0.11,0.96,-0.27,0.13,1.00568384694197
0.12,0.95,-0.27,0.13,0.9961425600786264
0.13,0.96,-0.27,0.12,1.0044401425669924
0.14,0.95,-0.27,0.13,0.9961425600786264
0.15,0.95,-0.27,0.12,0.9948869282486327
0.16,0.95,-0.27,0.12,0.9948869282486327
0.17,0.95,-0.27,0.12,0.9948869282486327
0.18,0.95,-0.26,0.12,0.9922197337283712
0.19,0.95,-0.26,0.12,0.9922197337283712
0.2,0.95,-0.26,0.12,0.9922197337283712
0.21,0.95,-0.26,0.12,0.9922197337283712
0.22,0.95,-0.25,0.11,0.9884836872705588
0.23,0.95,-0.25,0.11,0.9884836872705588
0.24,0.96,-0.25,0.11,0.9980981915623331
0.25,0.96,-0.25,0.11,0.9980981915623331
0.26,0.96,-0.25,0.11,0.9980981915623331
0.27,0.96,-0.26,0.11,1.000649788887201
0.28,0.96,-0.26,0.11,1.000649788887201
0.29,0.96,-0.26,0.12,1.0017983829094554
0.3,0.96,-0.25,0.12,0.9992497185388645
0.31,0.96,-0.25,0.12,0.9992497185388645
0.32,0.96,-0.25,0.12,0.9992497185388645
0.33,0.955,-0.25,0.11,0.993290939416446
0.34,0.95,-0.25,0.11,0.9884836872705588
0.35,0.96,-0.25,0.11,0.9980981915623331
0.36,0.95,-0.24,0.12,0.9871676655968833
0.37,0.95,-0.24,0.11,0.9860020283954795
0.38,0.95,-0.24,0.11,0.9860020283954795
0.39,0.95,-0.24,0.11,0.9860020283954795
0.4,0.95,-0.24,0.11,0.9860020283954795
0.41,0.95,-0.24,0.11,0.9860020283954795
0.42,0.95,-0.24,0.12,0.9871676655968833
0.43,0.95,-0.24,0.12,0.9871676655968833
0.44,0.95,-0.24,0.12,0.9871676655968833
0.45,0.95,-0.24,0.11,0.9860020283954795
0.46,0.95,-0.24,0.12,0.9871676655968833
0.47,0.95,-0.24,0.11,0.9860020283954795
0.48,0.96,-0.25,0.12,0.9992497185388645
0.49,0.96,-0.25,0.12,0.9992497185388645
0.5,0.96,-0.25,0.12,0.9992497185388645
0.51,0.96,-0.26,0.12,1.0017983829094554
0.52,0.96,-0.26,0.12,1.0017983829094554
0.53,0.96,-0.26,0.12,1.0017983829094554
0.54,0.96,-0.26,0.12,1.0017983829094554
0.55,0.95,-0.26,0.12,0.9922197337283712
0.56,0.95,-0.26,0.12,0.9922197337283712
0.57,0.95,-0.26,0.12,0.9922197337283712
0.58,0.95,-0.26,0.12,0.9922197337283712
0.59,0.95,-0.26,0.12,0.9922197337283712
0.6,0.95,-0.26,0.12,0.9922197337283712
0.61,0.95,-0.26,0.12,0.9922197337283712
0.62,0.95,-0.26,0.12,0.9922197337283712
0.63,0.95,-0.26,0.12,0.9922197337283712
0.64,0.95,-0.26,0.12,0.9922197337283712
0.65,0.95,-0.27,0.12,0.9948869282486327
0.66,0.95,-0.27,0.12,0.9948869282486327
0.67,0.95,-0.27,0.12,0.9948869282486327
0.68,0.95,-0.27,0.12,0.9948869282486327
0.69,0.95,-0.27,0.12,0.9948869282486327
0.7,0.95,-0.27,0.12,0.9948869282486327
0.71,0.95,-0.27,0.12,0.9948869282486327
0.72,0.95,-0.27,0.12,0.9948869282486327
0.73,0.95,-0.27,0.12,0.9948869282486327
0.74,0.95,-0.27,0.12,0.9948869282486327
0.75,0.95,-0.27,0.12,0.9948869282486327
0.76,0.95,-0.27,0.12,0.9948869282486327
0.77,0.95,-0.27,0.12,0.9948869282486327
