time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.925,0.01,0.17,0.9405454904355832
0.01,0.91,0.01,0.18,0.9276852914647294
0.02,0.9,0.02,0.18,0.9180413934022801
0.03,0.89,0.03,0.17,0.9065870063044142
0.04,0.87,0.03,0.17,0.8869611039949836
0.05,0.86,0.05,0.17,0.8780660567406076
0.06,0.86,0.05,0.17,0.8780660567406076
0.07,0.86,0.06,0.17,0.8786922100485471
0.08,0.87,0.07,0.18,0.8911789943664516
0.09,0.88,0.07,0.18,0.9009439494219382
0.1,0.89,0.06,0.17,0.9080748867797194
0.11,0.9,0.06,0.17,0.9178779875342911
0.12,0.92,0.06,0.18,0.9393614852653903
0.13,0.92,0.06,0.18,0.9393614852653903
0.14,0.93,0.05,0.185,0.9495520265073985
0.15,0.93,0.03,0.19,0.9496841580230767
0.16,0.93,0.03,0.2,0.9517352573063583
0.17,0.94,0.05,0.19,0.9603124491539199
0.18,0.92,0.0,0.2,0.9414881836751856
0.19,0.91,-0.01,0.2,0.9317725044236925
0.2,0.9,-0.01,0.21,0.9242294087508793
0.21,0.87,-0.02,0.21,0.8952659788831615
0.22,0.87,-0.04,0.23,0.9007774419910837
0.23,0.87,-0.11,0.24,0.9091754506144565
0.24,0.9,-0.21,0.26,0.9600520819205591
0.25,0.93,-0.25,0.3,1.0086624807139404
0.26,1.03,-0.32,0.35,1.1339312148450629
0.27,1.14,-0.43,0.43,1.2920526305069775
0.28,1.2850000000000001,-0.45999999999999996,0.45999999999999996,1.4406125530651686
0.29,1.36,-0.34,0.42,1.4634206503941376
0.3,1.32,-0.22,0.37,1.3884163640637488
0.31,1.26,-0.19,0.36,1.3241223508422475
0.32,1.19,-0.17,0.35,1.2519984025548914
0.33,1.15,-0.16,0.39,1.2248265183282079
0.34,1.14,-0.19,0.41,1.2262952336203545
0.35,1.12,-0.24,0.42,1.220060644454912
0.36,1.1,-0.27,0.41,1.2045746137122433
0.37,1.08,-0.27,0.41,1.1863389060466658
0.38,1.06,-0.28,0.4,1.1670475568716128
0.39,1.03,-0.28,0.38,1.1330048543585327
0.4,0.98,-0.26,0.35,1.0726136303441236
0.41,0.96,-0.28,0.35,1.0594810050208545
0.42,0.895,-0.235,0.345,0.9875610049300441
0.43,0.87,-0.23,0.34,0.9619771307052991
0.44,0.85,-0.22,0.35,0.9451983918733674
0.45,0.84,-0.23,0.35,0.9386160024205852
0.46,0.83,-0.24,0.36,0.9360021367496978
0.47,0.83,-0.23,0.37,0.9373899935459094
0.48,0.84,-0.23,0.37,0.946255779374689
0.49,0.85,-0.21,0.36,0.9466784036831092
0.5,0.855,-0.19,0.33999999999999997,0.9395654702228683
0.51,0.85,-0.17,0.32,0.9240129869217207
0.52,0.85,-0.16,0.3,0.9154780172128656
0.53,0.84,-0.14,0.29,0.8996110270555824
0.54,0.85,-0.13,0.28,0.9043229511629128
0.55,0.85,-0.13,0.28,0.9043229511629128
0.56,0.85,-0.12,0.28,0.9029396436085858
0.57,0.875,-0.1,0.265,0.9197222421439214
0.58,0.89,-0.08,0.26,0.9306449376641985
0.59,0.9,-0.07,0.25,0.9366963221877195
0.6,0.92,-0.06,0.24,0.9526804291051644
0.61,0.93,-0.05,0.24,0.9617692030835673
0.62,0.94,-0.03,0.24,0.9706183596038146
0.63,0.95,-0.03,0.23,0.9779059259458447
0.64,0.955,-0.02,0.225,0.9813695363449997
0.65,0.97,-0.02,0.21,0.9926731586982696
0.66,0.98,-0.02,0.2,1.000399920031984
0.67,0.99,-0.01,0.2,1.0100495037373167
0.68,1.0,-0.01,0.19,1.0179390944452424
0.69,0.98,-0.02,0.19,0.9984487968844471
0.7,0.99,-0.01,0.19,1.0081170566953026
0.71,1.005,-0.01,0.175,1.0201879495316049
0.72,1.02,0.0,0.16,1.0324727599312244
0.73,1.05,0.0,0.16,1.0621205204683695
0.74,1.07,0.01,0.15,1.0805091392487154
0.75,1.07,0.0,0.14,1.0791200118615167
0.76,1.08,0.03,0.14,1.0894494022211403
0.77,1.08,0.02,0.14,1.0892199043352082
0.78,1.045,0.055,0.135,1.055140549868556
0.79,1.03,0.07,0.12,1.0393267051317405
0.8,1.04,0.06,0.12,1.0486181383134663
0.81,1.06,0.06,0.11,1.067379969832674
0.82,1.08,0.05,0.1,1.0857716150277645
0.83,1.09,0.06,0.09,1.0953538241134688
0.84,1.09,0.07,0.07,1.0944861808172819
0.85,1.0550000000000002,0.07500000000000001,0.055,1.0591173488373749
0.86,1.03,0.07,0.05,1.0335859906171327
0.87,1.02,0.05,0.05,1.0224480426897007
0.88,1.02,0.04,0.06,1.0225458424931373
0.89,1.01,0.04,0.06,1.0125709851659783
0.9,0.98,0.07,0.08,0.9857484466130291
0.91,0.93,0.08,0.11,0.9398936110007345
0.92,0.895,0.09,0.095,0.9046311201678098
0.93,0.89,0.07,0.05,0.8941476388158726
0.94,0.89,0.06,0.01,0.8920762299265685
0.95,0.9,0.05,-0.01,0.901443287178955
0.96,0.93,0.05,-0.02,0.9315578350268973
0.97,0.96,0.06,-0.01,0.9619251530134764
0.98,0.98,0.07,0.02,0.982700361249552
0.99,0.98,0.08,0.05,0.9845303448853163
1.0,0.985,0.07500000000000001,0.07,0.9903428152799174
1.01,1.0,0.05,0.08,1.0044401425669924
1.02,1.01,0.03,0.08,1.0136074190730846
1.03,1.01,0.02,0.1,1.0151354589413177
1.04,1.02,-0.01,0.14,1.0296115772464878
1.05,1.0,0.0,0.2,1.019803902718557
1.06,1.02,-0.02,0.18,1.0359536669175895
1.07,0.995,-0.015,0.265,1.030017144588244
1.08,0.96,-0.1,0.23,0.9922197337283712
1.09,0.97,-0.11,0.29,1.0183810681665286
1.1,0.91,-0.05,0.34,0.9727281223445737
1.11,0.89,-0.08,0.37,0.9671607932500159
1.12,0.82,-0.05,0.37,0.9009994450608723
1.13,0.79,-0.04,0.36,0.8690799733051039
1.14,0.785,-0.01,0.315,0.84600485388505
1.15,0.79,0.02,0.28,0.8383913167489273
1.16,0.76,0.04,0.27,0.8075270893288967
1.17,0.82,-0.01,0.27,0.863365507765975
1.18,0.81,-0.02,0.25,0.8479386770280031
1.19,0.82,-0.02,0.27,0.8635392289873112
1.2,0.82,-0.03,0.25,0.8577878525602936
1.21,0.85,-0.045,0.245,0.8858891660649704
1.22,0.85,-0.02,0.24,0.8834591105421914
1.23,0.85,-0.07,0.23,0.8833459118601275
1.24,0.84,-0.06,0.24,0.8756711711595854
1.25,0.85,-0.02,0.23,0.8807950953541918
1.26,0.86,-0.04,0.24,0.8937561188601731
1.27,0.85,-0.02,0.23,0.8807950953541918
1.28,0.865,-0.01,0.255,0.9019525217910898
1.29,0.89,0.01,0.29,0.9361089680160104
1.3,0.9,0.03,0.29,0.9460443964212251
1.31,0.91,0.02,0.3,0.9583840566286566
1.32,0.95,0.04,0.29,0.9940824915468535
1.33,0.92,0.04,0.28,0.9624967532412773
1.34,0.95,0.03,0.28,0.9908582138732059
1.35,0.99,0.04,0.245,1.0207208012488824
1.36,1.05,0.05,0.24,1.0782393055347221
1.37,1.08,0.03,0.23,1.1046266337545914
1.38,1.1,0.06,0.23,1.1253888216967505
1.39,1.15,0.06,0.24,1.1763077828527702
1.4,1.18,0.05,0.24,1.205197079319395
1.41,1.2,0.07,0.24,1.2257650672131262
1.42,1.23,0.07,0.225,1.2524453387828616
1.43,1.28,0.06,0.2,1.296919426949878
1.44,1.3,0.08,0.21,1.319280106724876
1.45,1.32,0.06,0.2,1.3364131097830492
1.46,1.26,0.03,0.21,1.2777323663428113
1.47,1.21,0.05,0.21,1.2291053657030384
1.48,1.22,0.02,0.21,1.2381033882515629
1.49,1.23,0.01,0.22,1.2495599225327292
1.5,1.27,0.005,0.23,1.2906794952950806
1.51,1.26,0.01,0.26,1.2865846260545788
1.52,1.21,0.02,0.28,1.2421352583354197
1.53,1.16,0.02,0.26,1.188949115816148
1.54,1.08,-0.02,0.27,1.1134181604410807
1.55,1.01,-0.03,0.24,1.0385566907973778
1.56,1.01,-0.07,0.25,1.0428326807307104
1.57,1.05,-0.135,0.245,1.0868287370418455
1.58,1.14,-0.17,0.24,1.1773274820541648
1.59,1.16,-0.14,0.21,1.1871394189394942
1.6,1.16,-0.12,0.18,1.18
1.61,1.15,-0.11,0.16,1.1662761251093154
1.62,1.15,-0.09,0.14,1.1619810669714028
1.63,1.18,-0.06,0.15,1.1910079764636339
1.64,1.1949999999999998,-0.02,0.14500000000000002,1.2041745899065859
