time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,1.09,0.13,0.18,1.112384825498802
0.01,1.08,0.13,0.17,1.1009995458672996
0.02,1.11,0.11,0.16,1.1268540278137182
0.03,1.06,0.14,0.16,1.0811105401391665
0.04,1.06,0.11,0.15,1.0761970079869205
0.05,1.07,0.1,0.15,1.085080642164443
0.06,1.01,0.13,0.16,1.030824912388132
0.07,1.01,0.11,0.15,1.026985881110349
0.08,0.98,0.12,0.15,0.9986490875177325
0.09,0.78,0.25,0.12,0.8278284846512591
0.1,0.87,0.12,0.1,0.883911760301898
0.11,0.87,0.14,0.14,0.8922443611477743
0.12,1.0,0.03,0.12,1.0076209604806758
0.13,0.84,0.16,0.12,0.863481325796916
0.14,0.9,0.13,0.12,0.9172240729505523
0.15,0.94,0.12,0.1,0.9528903399657276
0.16,0.82,0.17,0.1,0.8433860326090301
0.17,0.93,0.09,0.11,0.9407975340103736
0.18,0.92,0.09,0.12,0.932148056909416
0.19,0.83,0.15,0.14,0.8549853799919621
0.2,0.94,0.1,0.14,0.9556149852320232
0.21,0.89,0.17,0.15,0.9184225606985055
0.22,0.88,0.14,0.15,0.903603895520598
0.23,0.93,0.09,0.14,0.9447751055145346
0.24,0.9,0.105,0.14500000000000002,0.9178648249047923
0.25,0.87,0.12,0.15,0.8909545442950498
0.26,0.89,0.1,0.16,0.9097801932335084
0.27,0.91,0.14,0.16,0.9345052166788583
0.28,0.86,0.15,0.17,0.8893818077743664
0.29,0.89,0.1,0.17,0.9115920140062659
0.3,0.86,0.11,0.17,0.8835157044444654
0.31,0.85,0.1,0.17,0.8725823743349392
0.32,0.86,0.09,0.17,0.8812491134747313
0.33,0.83,0.13,0.17,0.8571464285639881
0.34,0.84,0.11,0.18,0.8660831368869849
0.35,0.84,0.09,0.19,0.8659099260315705
0.36,0.83,0.09,0.19,0.8562125904236634
0.37,0.86,0.07,0.19,0.8835157044444654
0.38,0.84,0.09,0.2,0.8681589716175258
0.39,0.86,0.08,0.21,0.8888756943465155
0.4,0.89,0.05,0.22,0.9181503144910423
0.41,0.9,0.07,0.22,0.9291393867445293
0.42,0.92,0.06,0.23,0.9502105029939418
0.43,0.94,0.06,0.24,0.9720082304178294
0.44,0.97,0.06,0.26,1.0060318086422517
0.45,0.99,0.04,0.27,1.0269371937952194
0.46,1.01,0.04,0.28,1.0488565202161828
0.47,1.02,0.05,0.29,1.0616025621672172
0.48,1.02,0.06,0.3,1.0648943609579309
0.49,1.02,0.06,0.305,1.066324507212364
0.5,1.02,0.06,0.31,1.0677546534667972
0.51,1.03,0.04,0.32,1.0793053321465618
0.52,1.06,0.03,0.32,1.1076551810017412
0.53,1.09,0.04,0.32,1.1367057666784313
0.54,1.11,0.04,0.31,1.1531695452100703
0.55,1.11,0.04,0.3,1.1505216208311777
0.56,1.11,0.03,0.3,1.150217370760849
0.57,1.1,0.03,0.3,1.140570032922135
0.58,1.08,0.03,0.3,1.1212938954618454
0.59,1.06,0.04,0.29,1.099681772150471
0.6,1.06,0.05,0.27,1.094988584415381
0.61,1.11,0.08,0.25,1.1406138698087096
0.62,1.14,0.08,0.24,1.1677328461596
0.63,1.13,0.1,0.26,1.1638298844762494
0.64,1.08,0.11,0.27,1.1186599125739691
0.65,1.02,0.11,0.27,1.060848716830067
0.66,0.97,0.1,0.24,1.0042410069301093
0.67,0.92,0.08,0.21,0.9470480452437459
0.68,0.87,0.07,0.2,0.8954328562209453
0.69,0.89,0.09,0.18,0.9124691775616314
0.7,0.95,0.12,0.19,0.9762171889492625
0.71,0.99,0.13,0.2,1.0183319694480772
0.72,1.01,0.13,0.21,1.039759587597056
0.73,1.02,0.16,0.21,1.0536128321162381
0.74,1.01,0.155,0.215,1.0442279076875256
0.75,1.0,0.15,0.22,1.034842983258813
0.76,0.98,0.15,0.22,1.0155294185792945
0.77,0.95,0.13,0.23,0.9860527369263775
0.78,0.9,0.11,0.23,0.9354143466934853
0.79,0.86,0.08,0.22,0.8912911982062877
0.8,0.82,0.05,0.21,0.847938677028003
0.81,0.78,0.05,0.2,0.8067837380611982
0.82,0.76,0.04,0.2,0.7868926229162402
0.83,0.73,0.04,0.19,0.7553806987208503
0.84,0.72,0.04,0.19,0.7457211275000863
0.85,0.72,0.04,0.19,0.7457211275000863
0.86,0.72,0.05,0.19,0.7463243262818116
0.87,0.73,0.06,0.19,0.7567033764957045
0.88,0.75,0.06,0.19,0.7760154637634485
0.89,0.76,0.07,0.19,0.7865112840894274
0.9,0.78,0.07,0.2,0.8082697569499926
0.91,0.8,0.08,0.21,0.8309632964216892
0.92,0.82,0.09,0.22,0.8537564055396597
0.93,0.84,0.1,0.23,0.8766413177577247
0.94,0.85,0.11,0.24,0.8900561780022651
0.95,0.86,0.12,0.25,0.903603895520598
0.96,0.87,0.13,0.26,0.9172785836374902
0.97,0.87,0.12,0.27,0.9188035698668132
0.98,0.86,0.12,0.28,0.9123595782365634
0.99,0.8525,0.125,0.2925,0.9100495812441816
1.0,0.845,0.13,0.305,0.9077395842517997
1.01,0.84,0.12,0.32,0.9068627239003707
1.02,0.84,0.12,0.32,0.9068627239003707
1.03,0.84,0.12,0.33,0.910439454329611
1.04,0.85,0.12,0.34,0.9233092656309694
1.05,0.85,0.12,0.33,0.9196738552334734
1.06,0.86,0.11,0.33,0.9276852914647294
1.07,0.89,0.12,0.33,0.9567653839891993
1.08,0.91,0.12,0.34,0.9788258272031853
1.09,0.93,0.11,0.34,0.9962931295557549
1.1,0.96,0.1,0.34,1.0233279044372825
1.11,0.98,0.09,0.35,1.0445094542415592
1.12,1.0,0.09,0.36,1.0666302077102447
1.13,1.01,0.09,0.37,1.0793979803575695
1.14,1.01,0.08,0.37,1.0786102168995062
1.15,1.01,0.08,0.37,1.0786102168995062
1.16,1.0,0.06,0.37,1.0679419459877022
1.17,1.0,0.02,0.36,1.0630145812734648
1.18,1.0,0.03,0.36,1.0632497354808041
1.19,1.01,0.06,0.35,1.07060730429042
1.2,1.05,0.09,0.335,1.1060222379566542
1.21,1.12,0.14,0.33,1.175967686630887
1.22,1.17,0.17,0.34,1.230203235242047
1.23,1.23,0.19,0.35,1.2928650354928777
1.24,1.28,0.22,0.37,1.3504443713089407
1.25,1.31,0.24,0.39,1.3877319625922004
1.26,1.3,0.26,0.39,1.3819189556555045
1.27,1.25,0.25,0.38,1.3301879566437218
1.28,1.19,0.24,0.36,1.2662148316932635
1.29,1.14,0.24,0.32,1.2081390648431165
1.3,1.1,0.23,0.28,1.1581450686334593
1.31,1.07,0.21,0.25,1.1187046080176841
1.32,1.06,0.2,0.22,1.100908715561831
1.33,1.06,0.19,0.2,1.0953081758117211
1.34,1.08,0.16,0.19,1.1081967334368028
1.35,1.09,0.14,0.19,1.1152578177264665
1.36,1.12,0.12,0.2,1.1440279716860073
1.37,1.14,0.1,0.2,1.1617228585166084
1.38,1.14,0.08,0.21,1.1619380362136356
1.39,1.14,0.06,0.21,1.1607325273291862
1.4,1.1,0.035,0.22,1.1223416863513371
1.41,1.07,0.02,0.21,1.090596167240652
1.42,1.04,0.0,0.2,1.0590561835898982
1.43,1.0,-0.02,0.18,1.016267681273
1.44,0.97,-0.03,0.17,0.9852410872471773
1.45,0.9,-0.05,0.13,0.9107140056021978
1.46,0.88,-0.04,0.12,0.8890444308357147
1.47,0.84,-0.04,0.12,0.849470423263812
1.48,0.84,-0.03,0.12,0.8490583018850942
1.49,0.84,0.01,0.12,0.8485870609430713
1.5,0.84,0.03,0.12,0.8490583018850942
1.51,0.85,0.05,0.12,0.8598837130682263
1.52,0.86,0.07,0.12,0.8711486669908873
1.53,0.86,0.08,0.12,0.8720091742636655
1.54,0.86,0.09,0.13,0.874414089547967
1.55,0.86,0.1,0.14,0.8770404779712279
1.56,0.87,0.11,0.14,0.888031530971733
1.57,0.89,0.12,0.15,0.910494371207203
1.58,0.89,0.13,0.15,0.9118662182579197
1.59,0.89,0.14,0.16,0.9150409826887537
1.6,0.875,0.135,0.165,0.9006264446695833
1.61,0.86,0.12,0.18,0.8867919710958145
1.62,0.86,0.11,0.18,0.8854942122905152
1.63,0.86,0.1,0.17,0.8823264701911645
1.64,0.85,0.1,0.15,0.8689073598491382
1.65,0.86,0.09,0.14,0.875956619930462
1.66,0.86,0.08,0.13,0.8734414691323054
1.67,0.88,0.07,0.14,0.8938120607823549
1.68,0.9,0.06,0.15,0.9143850392476902
1.69,0.92,0.05,0.16,0.9351470472604829
1.7,0.97,0.02,0.2,0.9906058752097122
1.71,1.02,0.01,0.23,1.0456576877735848
1.72,1.04,0.0,0.23,1.0651291001564083
1.73,1.05,-0.01,0.23,1.0749418588928425
1.74,1.05,-0.01,0.23,1.0749418588928425
1.75,1.04,-0.02,0.21,1.0611785900591852
1.76,1.03,-0.03,0.19,1.047807234180028
1.77,1.01,-0.04,0.17,1.024987804805501
1.78,0.99,-0.05,0.15,1.002546757014355
1.79,0.99,-0.06,0.15,1.0030952098380292
1.8,1.005,-0.08,0.16999999999999998,1.0224949087882784
1.81,1.01,-0.11,0.22,1.0395191195932858
1.82,1.01,-0.12,0.25,1.047377677822093
1.83,1.0,-0.13,0.27,1.0439348638684312
1.84,0.99,-0.11,0.25,1.026985881110349
1.85,0.99,-0.1,0.23,1.0212737145349429
1.86,1.0,-0.07,0.21,1.0242070103255494
1.87,1.03,-0.05,0.19,1.0485704554296769
1.88,1.06,-0.02,0.18,1.0753604047016052
1.89,1.09,0.0,0.18,1.1047624178980746
1.9,1.11,0.01,0.2,1.127918436767482
1.91,1.12,0.01,0.21,1.1395613191048564
1.92,1.13,0.01,0.23,1.1532129031536196
1.93,1.12,0.0,0.26,1.1497825881443848
1.94,1.1,-0.01,0.27,1.1326958991715297
1.95,1.07,-0.03,0.28,1.1064357188738982
1.96,1.02,-0.04,0.28,1.0584894897919392
1.97,0.96,-0.04,0.27,0.9980480950335009
1.98,0.9,-0.04,0.26,0.9376566535784835
1.99,0.84,-0.05,0.25,0.8778382538941897
2.0,0.765,-0.035,0.24,0.8025517304132208
2.01,0.74,-0.02,0.24,0.7782030583337487
2.02,0.72,0.0,0.24,0.758946638440411
2.03,0.71,0.02,0.23,0.7465922581972035
2.04,0.72,0.05,0.23,0.7574958745762249
2.05,0.72,0.08,0.22,0.757099729229908
2.06,0.74,0.09,0.21,0.7744675590365293
2.07,0.75,0.11,0.21,0.7865748533992172
2.08,0.785,0.11499999999999999,0.20500000000000002,0.8194538067802744
2.09,0.82,0.15,0.21,0.8596510920134982
2.1,0.85,0.15,0.21,0.8883130078975541
2.11,0.87,0.15,0.23,0.9123047736365298
2.12,0.89,0.16,0.24,0.9355746896961247
2.13,0.91,0.15,0.25,0.9555626614722867
2.14,0.92,0.15,0.27,0.9704638066409277
2.15,0.93,0.15,0.29,0.9856469956328179
2.16,0.935,0.14500000000000002,0.315,0.9972639013739274
2.17,0.92,0.13,0.32,0.9827003612495521
2.18,0.9,0.12,0.31,0.9594269122762817
2.19,0.89,0.13,0.3,0.9481561052906847
2.2,0.88,0.12,0.3,0.9374433316206372
2.21,0.87,0.12,0.31,0.9313431161500041
2.22,0.86,0.11,0.32,0.9241753080449617
2.23,0.85,0.11,0.32,0.9148770409186143
2.24,0.85,0.12,0.33,0.9196738552334734
2.25,0.85,0.11,0.33,0.9184225606985055
2.26,0.87,0.1,0.34,0.9394147114027969
2.27,0.88,0.1,0.34,0.9486832980505138
2.28,0.9,0.1,0.35,0.9708243919473799
2.29,0.92,0.09,0.35,0.9884331034521254
2.3,0.95,0.1,0.37,1.0244022647378324
2.31,0.97,0.1,0.38,1.0465658125507444
2.32,0.99,0.1,0.4,1.0724271537032248
2.33,1.0,0.09,0.42,1.0883473710171767
2.34,0.99,0.08,0.42,1.0783784122468327
2.35,0.99,0.08,0.4,1.0707474025184465
2.36,1.0,0.08,0.38,1.0727534665523109
2.37,1.03,0.08,0.36,1.0940292500660116
2.38,1.07,0.09,0.35,1.1293803610830144
2.39,1.11,0.1,0.35,1.1681609478149833
2.4,1.15,0.11,0.35,1.2071039723238424
2.41,1.21,0.125,0.365,1.270023494846178
2.42,1.27,0.14,0.38,1.3330041260251222
2.43,1.31,0.15,0.39,1.375027272456805
2.44,1.34,0.16,0.4,1.4075510647930327
2.45,1.34,0.17,0.4,1.4087228258248676
2.46,1.31,0.16,0.4,1.3790213921473446
2.47,1.27,0.16,0.38,1.3352527850560731
2.48,1.23,0.16,0.35,1.2887978895078933
2.49,1.18,0.17,0.32,1.2343824366864589
