time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.86,0.405,0.31,0.9998685312009552
0.01,0.87,0.41,0.32,1.0136074190730848
0.02,0.87,0.41,0.32,1.0136074190730848
0.03,0.87,0.41,0.32,1.0136074190730848
0.04,0.84,0.4,0.32,0.9838699100999074
0.05,0.82,0.39,0.32,0.9627564593395361
0.06,0.81,0.39,0.32,0.9542536350467836
0.07,0.8,0.39,0.33,0.9492101980067429
0.08,0.8,0.39,0.33,0.9492101980067429
0.09,0.79,0.39,0.33,0.9407975340103736
0.1,0.79,0.38,0.33,0.9366963221877195
0.11,0.79,0.38,0.34,0.9402659198333204
0.12,0.79,0.38,0.34,0.9402659198333204
0.13,0.8,0.38,0.35,0.9523129737644027
0.14,0.8,0.38,0.35,0.9523129737644027
0.15,0.8,0.38,0.35,0.9523129737644027
0.16,0.8,0.38,0.35,0.9523129737644027
0.17,0.81,0.39,0.35,0.9647279409242795
0.18,0.81,0.39,0.34,0.9611451503285028
0.19,0.82,0.39,0.33,0.966126285741155
0.2,0.82,0.4,0.32,0.9668505572217456
0.21,0.83,0.4,0.32,0.9753460924205315
0.22,0.83,0.41,0.31,0.9762684057163787
0.23,0.84,0.41,0.3,0.9816822296446034
0.24,0.84,0.41,0.3,0.9816822296446034
0.25,0.84,0.41,0.29,0.9786725703727472
0.26,0.84,0.4,0.28,0.9715966241192895
0.27,0.84,0.4,0.27,0.9687620966986683
0.28,0.83,0.4,0.27,0.9601041610158764
0.29,0.83,0.4,0.27,0.9601041610158764
0.3,0.82,0.4,0.27,0.9514725429564428
0.31,0.82,0.39,0.27,0.9473119866232032
0.32,0.81,0.39,0.27,0.938669270829721
0.33,0.82,0.39,0.28,0.9502105029939418
0.34,0.82,0.37,0.29,0.9451983918733674
0.35,0.82,0.37,0.3,0.9483142938920619
0.36,0.81,0.355,0.305,0.9355994845588
0.37,0.8,0.33,0.32,0.9226592003551475
0.38,0.8,0.34,0.33,0.9297849213662266
0.39,0.8,0.34,0.34,0.9333809511662429
0.4,0.8,0.35,0.35,0.9407443861113389
0.41,0.82,0.36,0.36,0.9651942809610922
0.42,0.83,0.37,0.36,0.9774456506629922
0.43,0.86,-0.2,0.3,0.9325234581499813
0.44,0.83,0.61,0.37,1.0944861808172819
0.45,0.825,0.375,0.355,0.973733201266067
0.46,0.78,0.38,0.36,0.9393614852653903
0.47,0.74,0.35,0.35,0.8902808545621993
0.48,0.7,0.32,0.34,0.8414273587185052
0.49,0.66,0.32,0.33,0.8043009387039157
0.5,0.63,0.33,0.31,0.7758221445666525
0.51,0.62,0.34,0.3,0.7681145747868608
0.52,0.63,0.35,0.3,0.7806407624509496
0.53,0.65,0.37,0.3,0.8058535847162311
0.54,0.7050000000000001,0.4,0.315,0.8696483851200831
0.55,0.77,0.43,0.34,0.9451983918733675
0.56,0.8,0.44,0.35,0.9778036612735709
0.57,0.84,0.46,0.37,1.0266937225872181
0.58,0.86,0.47,0.38,1.051142235855833
0.59,0.87,0.49,0.38,1.068363234110946
0.6,0.86,0.6,0.41,1.125921844534513
0.61,0.86,0.61,0.39,1.1241885962773328
0.62,0.85,0.5,0.43,1.0758252646224664
